,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2008-12-31,-8889.039999999999,-3028.45,-15.00948840836761,1.301517919369298,-1960.11,-3386.8199999999997,-3501.54,28.0,-5502.22,-1523.73,875.15,575.58,1101.23,2644.04,3963.03,14391.57,0.78,207.4,350.92,123.79,474.71,201.6,13916.86,-775.3100000000001,2614.6499999999996,308.05,-114.72,-0.46659485050108146,0.41,0.03,-3.94,2.9,-0.74,-84.11408732404995,-80.60933368554787,-87.00931859063863,-85.02837088192007,-86.09503503276854,-68.09,-66.71,7.53,4.4,12,2008,262.60601532005353,201.76903553299493,-794.97
2009-03-31,2374.88,-913.61,-4.53,0.0,-195.92,-862.13,-621.29,23.4,3237.01,-330.66,566.55,696.78,946.53,2281.53,3936.16,14202.66,1.21,345.71,452.71,120.51,573.22,201.6,13629.43,440.74,-48.93,-267.95,240.84,-1.2925,0.35,0.04,-4.53,0.0,0.0,-25.72,-23.36,-26.8,-26.08,-25.08,-39.38,-38.47,5.04,2.95,3,2009,0.0,201.67991169977924,-913.61
2009-06-30,1704.6599999999999,411.11,2.037142089552239,0.0,252.69,411.36,546.87,30.25,1293.3000000000002,176.44000000000003,750.0,821.94,736.0,2390.49,3881.43,14667.79,1.96,218.35,344.5,121.74,466.23,201.6,14201.56,312.78999999999996,-131.82,2.4699999999999704,135.51000000000002,3.71273807496777,0.43,0.03,-2.49,0.0,0.0,11.22473472636816,9.653926368159205,11.584711641791046,11.32291024875622,10.308429850746268,-12.5,-12.32,6.94,4.8,6,2009,0.0,201.80722891566262,-502.5
2009-09-30,2235.45,965.15,4.777247379228358,0.0,731.07,965.4,1104.0600000000002,36.0,1270.0499999999993,650.54,1139.8,1154.98,894.75,3270.87,3798.06,16001.38,5.98,375.91,549.92,129.98,679.9,201.6,15321.48,511.3299999999999,-128.8,7.270000000000039,138.65999999999997,1.8838672745169145,0.47,0.04,2.29,0.0,0.0,24.115711661082894,27.036299578515077,25.200501458986277,25.53428293526424,27.787307900140494,7.44,7.33,5.95,4.32,9,2009,0.0,202.03056768558952,462.65
2009-12-31,-3551.2599999999998,544.44,2.703035478457735,1.0,39.99000000000001,575.2299999999999,198.7099999999998,48.0,-4126.5,240.91000000000003,1523.53,1158.5,1005.23,4015.58,3726.36,16992.57,0.0,347.4,590.98,129.12,720.1,201.6,16272.47,-567.9699999999999,4.900000000000034,249.70999999999998,-376.52,4.439453383292925,0.59,0.04,5.0,1.0,0.2,12.823200309803495,15.028877260225006,13.385431689322703,14.423397313050474,14.358524461567487,41.87,36.44,6.79,5.09,12,2009,201.418,201.418,1007.09
2010-03-31,5861.97,1989.79,9.87,0.0,1667.27,2156.42,2430.99,73.0,3705.55,1461.56,1315.54,1445.68,1276.92,4684.64,3643.49,17924.74,8.74,336.53,682.98,125.29,808.27,201.6,17116.48,1010.59,-631.57,-203.27,274.57,1.85,0.86,0.05,9.87,0.0,0.0,44.4,53.68,46.48,51.76,50.04,38.6,33.94,6.86,4.99,3,2010,0.0,201.59979736575482,1989.79
2010-06-30,2942.0999999999995,748.4499999999998,3.7118554253827267,0.0,685.4499999999998,857.7799999999997,999.19,70.25,2084.3099999999995,576.1300000000001,2131.02,1303.54,1511.84,5350.08,3564.06,18421.26,0.0,393.18,710.77,123.73,834.5,201.6,17586.76,736.58,88.38,-9.48999999999998,141.41000000000003,4.728672857238293,0.81,0.05,13.58,0.0,0.0,16.246884129952083,19.920473004557667,17.023148445716952,18.838076282575667,18.608476977912815,35.06,31.1,7.53,5.4,6,2010,0.0,201.63770250368188,2738.24
2010-09-30,2665.870000000001,303.09000000000015,1.5038250041922454,0.0,366.44000000000005,352.6600000000003,495.03999999999996,81.5,2313.2200000000003,213.01999999999998,2639.89,1166.02,1711.04,6095.94,3481.17,19354.38,273.47,544.7,1170.87,113.09,1283.96,201.6,18070.42,454.67999999999984,-207.68999999999994,261.89,142.38,13.546456498069874,0.91,0.07,15.09,0.0,0.0,6.262449520440073,7.593867814410147,6.708913139974948,7.263006382076266,7.382594851594536,29.45,26.52,5.21,3.74,9,2010,0.0,201.54605699138503,3041.33
2010-12-31,-8341.490000000002,-2397.1,-11.906803470810114,0.0,-2128.58,-2612.11,-3022.2999999999997,75.0,-5729.38,-1776.42,3558.22,1171.71,1710.37,6914.02,3400.74,20339.81,275.68,822.24,1497.35,114.58,1611.92,201.6,18727.88,-1219.36,681.42,-43.82,-410.19000000000005,-1.5748979183179677,0.81,0.09,3.2,0.0,0.0,-47.18070875308507,-60.12935752759107,-51.19925492448348,-54.77129596572653,-59.68285239743569,22.67,20.59,4.62,3.48,12,2010,0.0,201.321875,644.23
2011-03-31,7079.45,1858.64,9.22,1.75,1874.06,2205.28,2493.12,71.0,4874.18,1630.8,4034.96,1477.06,1628.32,7607.2,3292.68,21225.01,369.12,559.83,1452.95,109.35,1562.3,201.6,19662.71,1738.08,-86.41,-256.6,287.84,1.9249999999999998,0.73,0.08,9.22,1.75,0.19,35.04,45.08,37.8,40.44,44.6,28.63,26.25,5.24,4.11,3,2011,352.77874186550974,201.587852494577,1858.64
