,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2008-06-30,1198.1999999999998,407.56,0.5909613645576726,0.74,726.6600000000001,549.75,650.36,23.6,3.18,648.44,517.47,2154.85,702.85,0.0,4489.39,4205.11,8827.14,13.18,0.0,814.86,888.72,1703.59,3435.5,7108.22,239.60999999999999,-29.48,-510.05,100.61,9.985170527038964,11.41,0.24,0.93,0.74,0.8,18.47866288315819,26.053135426736098,22.926759175527767,23.613036889207645,27.552779319592133,31.0,30.13,0.0,5.51,5.51,6,2008,510.345376344086,689.6559139784946,641.38
2008-09-30,1073.8400000000001,285.25,0.41557849411307646,-0.0035181874799176576,594.24,390.05999999999995,501.74,19.8,4.35,683.77,357.80999999999995,2919.4,664.2,0.0,4795.05,4263.42,9197.95,14.26,0.0,769.78,1019.96,1789.74,3435.5,7393.47,704.8399999999999,42.870000000000005,0.0,111.68,11.913814285714285,9.2,0.24,1.35,0.74,0.55,12.39963092064794,17.743662519020535,15.428736388849916,16.278363532369987,18.396274672738848,29.82,28.93,0.0,6.23,6.23,9,2008,-2.4148578255674806,686.3925925925926,926.63
2008-12-31,1150.35,301.65,0.4396013124043378,0.7497814601327479,634.0699999999999,397.73,506.3599999999999,12.8,5.88,752.6299999999999,374.1099999999999,2705.55,662.68,0.0,4751.34,4232.74,9123.57,49.6,870.43,920.03,1005.77,1925.8,3435.5,7179.8,428.32000000000016,-113.25,-515.3300000000002,108.63,7.278470081219958,6.12,0.27,1.79,1.49,0.83,13.222421597681311,18.271697007197055,16.807996548018366,17.06340736639854,19.833632396521963,29.07,28.22,0.0,5.16,5.16,12,2008,514.4924982412579,686.1899441340781,1228.28
2009-03-31,1030.77,293.01,0.42,0.0,596.95,394.04,470.02,11.9,0.0,636.73,370.43,1987.84,651.32,0.0,5031.86,4290.46,9463.89,46.3,0.33,982.13,993.92,1976.05,3435.5,7472.81,318.58,-159.73,0.0,75.98,7.0825,5.47,0.26,0.42,0.0,0.0,12.4,17.2,15.680000000000001,15.96,18.6,29.16,28.43,0.0,5.12,5.12,3,2009,0.0,697.6428571428571,293.01
2009-06-30,1191.94,346.35,0.5037936373873874,0.85,722.6499999999999,458.19,569.8,18.1,0.0,733.75,461.28000000000003,1606.8,669.0,3.9,4808.06,4210.17,9151.77,44.12,13.46,927.02,974.38,1901.4,3435.5,7234.29,149.55,55.14999999999999,-585.73,111.61,8.980760502381983,8.6,0.26,0.93,0.85,0.91,15.146311936936938,20.541779279279282,19.154992492492493,19.32834084084084,22.448611111111113,29.32,28.76,0.0,5.19,5.18,6,2009,584.3612903225807,687.483870967742,639.36
2009-09-30,1212.5900000000001,349.11,0.5085823545479378,-0.0012956974561860375,738.23,478.80999999999995,572.19,24.0,0.0,733.7800000000002,468.40999999999985,2338.2,672.65,4.16,5177.97,4280.56,9595.16,52.04,7.2,929.49,1064.2,1993.69,3435.5,7583.4,780.6899999999999,-49.3,0.0,93.38000000000002,11.799858855375097,10.87,0.26,1.44,0.85,0.59,14.551106255121553,20.018366566511883,18.40785577711008,18.648019666757715,21.69951379404534,29.32,28.77,0.0,5.57,5.57,9,2009,-0.8894153225807031,686.4375,988.47
2009-12-31,1429.71,400.8899999999999,0.5828567110036275,0.7516862530229746,892.8499999999999,546.8900000000001,748.9100000000001,24.0,22.22,882.8199999999997,666.44,2108.82,797.18,0.0,5251.37,4297.69,9692.64,53.69,0.36,1165.39,1036.63,2202.02,3435.5,7456.78,507.58000000000015,-221.64,-515.3299999999999,202.01999999999998,10.293095861707704,11.06,0.3,2.02,1.6,0.79,16.539280532043527,23.037267230955255,21.50221886336154,21.906178960096728,25.414860943168073,28.96,28.56,0.0,4.51,4.51,12,2009,517.0112933168316,687.8019801980197,1389.36
2010-03-31,1211.68,348.06,0.51,1.05,747.84,486.4,593.2,23.5,0.0,725.28,485.31,2066.88,788.27,28.56,5545.25,4309.48,9998.66,60.86,7.22,1094.46,1061.13,2155.59,3435.5,7804.84,118.63,-160.57,0.0,106.8,11.52,10.34,0.28,0.51,1.05,2.06,13.92,20.0,17.84,18.24,21.84,29.07,28.73,0.0,5.07,5.04,3,2010,716.5941176470589,682.4705882352941,348.06
2010-06-30,1346.7299999999998,366.68,0.5335467442706439,0.007302120557208027,820.6899999999999,538.5600000000001,673.1399999999999,23.8,8.01,808.1700000000001,582.73,1393.64,899.32,11.87,5348.53,4337.74,9865.58,79.06,0.89,1341.8,1032.79,2374.58,3435.5,7449.08,357.51,-292.77,-723.45,134.57999999999998,11.149538562234099,10.98,0.32,1.04,1.05,1.01,14.857224725074852,22.121668858605926,19.700187480762235,19.98748188152335,24.666276408204382,28.4,27.94,0.0,3.99,3.98,6,2010,5.018382352941217,687.25,714.74
2010-09-30,1353.3400000000001,326.19000000000005,0.4731796566531852,0.0032102302748504615,848.8900000000001,479.53,603.7,30.5,12.41,873.8100000000002,500.18000000000006,1974.62,833.51,16.16,5566.48,4277.31,10028.66,84.79,0.92,1220.51,984.12,2204.63,3435.5,7775.27,788.0300000000001,-207.06,0.0,124.17000000000002,16.11544345320212,13.48,0.28,1.51,1.05,0.7,13.01087373790745,19.215481156273718,16.783776430691788,16.98432939775009,21.409029233473916,27.03,26.61,0.0,4.56,4.55,9,2010,2.2129966887417822,689.3576158940398,1040.93
2010-12-31,1730.6599999999999,381.78999999999996,0.5554889929149797,0.7968632069938599,973.48,563.6099999999999,695.8600000000001,29.25,20.2,1167.0499999999997,583.95,1479.19,1113.56,17.35,5881.83,4306.95,10389.32,136.71,3.2,1760.11,965.19,2725.3,3435.5,7607.87,513.01,-458.5000000000001,-549.95,132.25,13.163672175803455,13.21,0.36,2.07,1.85,0.89,14.69496485605038,22.11221884840306,20.07274235267656,20.27669000224921,25.729606106612678,25.65,25.21,17234.17,3.34,3.33,12,2010,547.687546789519,687.304347826087,1422.72
2011-03-31,1277.33,364.42,0.53,1.1,778.99,537.05,668.89,29.0,0.96,740.28,547.04,1882.24,1153.76,21.89,6121.86,3120.6,10740.2,134.32,4.62,1662.86,974.42,2637.27,3435.5,8046.13,247.43,156.0,-0.37,131.84,13.679999999999998,12.38,0.33,0.53,1.1,2.08,13.559999999999999,20.72,18.12,18.4,23.680000000000003,29.12,28.53,17901.67,3.68,3.67,3,2011,756.3433962264152,687.5849056603773,364.42
2011-06-30,1519.1100000000001,499.19,0.7340944407776658,-0.012256821027486058,936.8900000000001,707.27,842.4900000000001,28.5,1.19,811.8399999999999,708.1400000000001,1644.9,914.06,14.82,5911.71,3048.35,10489.2,143.94,6.35,1689.81,959.42,2649.24,3435.5,7789.5,647.0699999999999,-115.99000000000001,-768.42,135.22,9.705426991726597,12.57,0.34,1.27,1.1,0.87,19.028652748347056,28.2770866479082,25.641282986533273,26.196189020506942,32.693213834948644,31.6,30.88,8295.47,3.5,3.49,6,2011,-8.33473480909231,680.007874015748,863.61
2011-09-30,1772.3700000000003,637.7399999999999,0.9387587171545607,0.9989248731259978,1137.13,929.6099999999999,1067.19,27.25,-0.29,842.75,904.0800000000002,1701.71,815.09,12.83,6528.32,3052.29,11143.32,100.76,6.32,1646.96,1009.92,2656.88,3435.5,8427.24,1039.89,-981.67,-1.4100000000000819,137.57999999999998,7.256736875529214,11.11,0.32,2.21,2.1,0.95,22.887022479768206,34.89973583774602,30.27815446098511,31.48452312918373,38.892646218403435,33.8,32.86,6393.91,3.96,3.96,9,2011,678.6135105283786,679.3438914027149,1501.35
2011-12-31,743.8999999999996,-144.93999999999983,-0.210505525615411,0.02802642362336487,114.32999999999993,-117.0,19.529999999999745,26.75,9.1,860.9100000000003,-105.51000000000022,1082.87,698.41,10.93,6148.34,3003.95,10651.7,86.6,6.6,1577.61,1416.29,2993.9,3435.5,7595.2,460.3599999999999,-391.0000000000001,-688.2,136.52999999999997,-31.77185007589351,12.1,0.39,1.97,2.1,1.07,-5.44108698697296,-8.356107666560986,-7.6337638324695245,-7.625215384728796,-9.689665514114452,26.38,25.53,4197.82,3.9,3.89,12,2011,19.297117394400175,688.5329949238579,1356.41
2012-03-31,1311.88,354.69,0.52,1.0,675.93,459.14,594.32,28.5,0.61,852.74,452.65,1911.21,625.95,21.91,6370.52,2927.37,10833.2,93.11,6.44,1473.85,1345.74,2819.59,3435.5,7949.89,111.57,634.48,-1.47,135.18,13.7025,12.32,0.35,0.52,1.0,1.92,13.08,17.04,17.84,17.72,19.64,28.05,27.04,2700.82,4.32,4.31,3,2012,682.0961538461538,682.0961538461538,354.69
2012-06-30,1503.9099999999999,443.27000000000004,0.6443846809363878,0.008432078723822851,856.5600000000001,611.1999999999999,748.82,27.75,0.84,892.71,598.85,1417.25,676.12,20.03,5784.08,3038.92,10915.54,96.29,5.84,1838.12,1318.04,3156.15,3435.5,7706.07,916.5800000000002,-708.63,-701.91,137.62,10.764998308028968,12.37,0.41,1.16,1.0,0.86,16.24293799187929,22.22016141159958,22.997867061005564,22.886766253947567,26.197570304275903,29.39,28.34,3243.45,3.15,3.14,6,2012,5.80039787798421,687.896551724138,797.96
2012-09-30,1562.5900000000001,479.78999999999996,0.6984225396204266,-0.0013598796375635825,865.95,612.8000000000002,747.9799999999998,29.75,0.99,949.7899999999997,614.6500000000001,1193.13,735.4,27.59,6329.06,3001.58,11417.77,127.37,6.01,2583.69,1280.33,3864.02,3435.5,7498.76,438.1099999999999,-660.73,-1.5,135.18,10.645919308447446,13.63,0.52,1.86,1.0,0.54,16.807200469575424,22.409600626100566,25.59380661318724,24.10684249657601,28.612794365094892,30.21,29.18,3659.0,2.45,2.44,9,2012,-0.9341861327402512,686.9623655913978,1277.75
2012-12-31,1569.0699999999997,481.1199999999999,0.7002605081671754,1.0001400581543953,908.4299999999998,646.49,780.7600000000002,47.0,4.09,922.5800000000004,621.48,826.45,786.2,39.89,6237.84,2926.39,11248.19,139.46,5.76,1957.84,1251.56,3209.39,3435.5,7979.88,527.3199999999999,-205.59000000000003,-688.43,134.26999999999998,16.78004094612571,20.23,0.4,2.56,2.0,0.78,17.11261616833535,23.283661896558584,24.115221250007103,24.71700762421327,27.441458663801185,30.7,29.57,3819.07,3.19,3.17,12,2012,687.154821908602,687.0585937499999,1758.87
2013-03-31,1388.73,374.8,0.55,1.3,702.28,472.84,607.78,50.75,-3.08,915.89,406.57,1360.23,654.58,52.29,6485.57,2864.18,11449.37,135.91,5.66,1770.88,1291.39,3062.27,3435.5,8327.22,258.53,276.42,-1.17,134.94,23.0675,20.94,0.37,0.55,1.3,2.36,13.08,16.96,18.0,18.44,19.56,29.22,26.99,3637.23,3.66,3.63,3,2013,885.8909090909091,681.4545454545454,374.8
2013-06-30,1528.1599999999999,444.59,0.6456780043691037,0.013420737599700222,814.4200000000001,565.1800000000001,619.6400000000001,41.75,0.0,962.9699999999999,492.84,1443.39,761.87,64.22,5996.46,2753.82,10864.09,186.8,6.22,1686.65,1262.78,2949.44,3435.5,7878.72,665.0600000000001,311.84999999999997,-893.74,54.46000000000001,16.163319687802247,18.21,0.37,1.19,1.3,1.09,16.364410598127876,20.683399602143055,22.571600825003966,22.83204237298478,24.546615897191813,29.8,28.09,4325.08,3.56,3.52,6,2013,9.241023682200307,688.5630252100841,819.39
2013-09-30,1581.2199999999998,376.7900000000001,0.5480902539751543,-0.0020862771699996516,775.45,475.44000000000005,690.23,34.5,6.42,1105.8,538.5600000000001,1980.9,792.85,60.66,6445.54,2645.31,11208.38,262.46,6.25,2333.8,1270.86,3604.66,3435.5,7568.41,331.16999999999996,207.99,-1.6499999999999773,214.79,15.738375089572438,15.66,0.48,1.74,1.3,0.75,13.443960942333096,16.85850022571854,19.90764600645388,20.008444214081496,21.48261800063536,27.96,26.59,4204.06,2.76,2.74,9,2013,-1.4342316236840134,687.4597701149426,1196.18
2013-12-31,1486.6600000000008,330.75,0.4808766610126201,1.0006549766186237,696.6199999999999,423.48,399.19000000000005,29.0,0.0,1063.17,290.97,2650.26,850.26,50.85,6231.83,2823.52,11168.04,255.76,6.34,1769.66,1438.56,3208.22,3435.5,7899.16,141.66000000000008,1216.67,-688.97,-24.29000000000002,15.07309584278156,12.61,0.41,2.22,2.3,1.04,11.844295416292821,14.972159823960496,16.748370914187287,16.661726470761593,17.857419790036214,26.72,25.51,3952.94,3.52,3.49,12,2013,688.2568033550789,687.8063063063063,1526.93
2014-03-31,1113.03,197.68,0.29,1.11,469.2,240.66,380.57,29.25,3.36,872.37,234.5,1593.13,676.21,53.56,5162.79,2925.74,14199.25,300.86,5.63,1523.66,4526.72,6050.38,3435.5,8096.84,179.89,-1235.36,-1.66,139.91,25.214999999999996,12.41,0.75,0.29,1.11,3.83,5.56,7.52,9.76,9.64,7.6,18.62,17.76,1093.91,3.39,3.35,3,2014,756.6372413793105,681.6551724137931,197.68
2014-06-30,1140.36,162.76,0.23481078681611364,0.018413701261676185,445.19,208.36999999999998,296.76000000000005,26.25,0.0,931.9899999999999,140.57,1219.72,726.56,63.79,4448.5,2854.12,13343.84,219.08,5.85,2060.43,3751.54,5811.96,3435.5,7496.92,502.01,-101.30000000000018,-774.12,88.39000000000001,27.947608749078395,12.03,0.78,0.52,1.11,2.13,4.8768394184885135,6.70113860836755,8.687999112196204,8.471250693596716,7.188822550216402,16.72,16.0,1095.2,2.16,2.13,6,2014,12.763527851458775,693.1538461538461,360.44
2014-09-30,1118.6200000000003,89.62,0.13142514331422478,-0.018304021002327805,380.09000000000003,122.19000000000005,282.79999999999995,22.9,0.0,996.4300000000001,103.19999999999999,1314.1,667.92,50.34,4746.02,2779.8,13486.55,174.71,16.42,2358.57,3718.17,6076.75,3435.5,7373.55,367.5100000000001,-271.54999999999995,-1.580000000000041,160.61,43.56472327605446,10.67,0.82,0.66,1.11,1.68,2.660363507087944,3.6878691729991555,4.8587477225258855,4.795026440918988,4.086127183042261,13.87,13.35,878.8,2.01,1.99,9,2014,-12.48167832167826,681.9090909090909,450.06
2014-12-31,1083.37,53.73000000000002,0.07785565414160664,0.3232117819654291,312.25,68.47000000000003,441.66999999999996,16.1,52.67,1014.9099999999999,214.72000000000003,900.65,627.45,30.74,4371.02,2707.1,12988.69,73.26,31.69,1842.97,3690.64,5533.61,3435.5,7427.28,-67.67000000000007,-131.01,-214.76999999999998,373.2,51.686997487437175,7.45,0.75,0.73,1.42,1.95,1.6552325373667605,2.26101351753707,2.892390877151195,2.8028035490978396,2.448720300125053,11.76,11.31,726.92,2.37,2.36,12,2014,223.05597758405963,690.1232876712329,503.79
2015-03-31,888.19,27.34,0.04,0.24,199.32,33.42,234.41,14.4,0.84,854.77,-3.52,1024.84,530.09,27.46,4345.71,2612.6,12803.85,64.48,32.51,1713.23,3613.07,5326.3,3435.5,7454.62,53.43,77.72,-6.96,200.99,90.0,6.64,0.71,0.04,0.24,6.0,0.84,0.9999999999999999,1.48,1.4,1.2,3.4,3.08,36.73,2.54,2.52,3,2015,164.04,683.5,27.34
2015-06-30,947.74,38.78,0.058650937689050206,-0.008094373865698692,246.03000000000003,53.5,259.19000000000005,12.8,5.67,894.24,44.720000000000006,580.64,496.77,38.5,3673.7,2548.7,12028.36,96.47,36.37,1549.21,2962.84,4512.05,3435.5,7495.63,207.12,-479.42999999999995,-171.89,205.69,54.56008251676122,5.87,0.6,0.1,0.24,2.4,1.2903206291591047,1.6187658802177858,2.0645130066545674,2.0645130066545674,1.9472111312764668,3.9,3.6,43.68,2.37,2.35,6,2015,-5.351999999999975,661.2,66.12
2015-09-30,1028.72,63.26999999999998,0.09290748898678412,0.00697797356828187,227.30999999999995,81.45,289.1,10.2,6.69,947.2700000000002,33.8,823.62,728.59,30.03,3827.13,2458.06,12053.14,124.64,36.15,1688.13,2829.97,4518.1,3435.5,7517.67,130.34999999999997,120.26999999999998,-7.640000000000015,207.65000000000003,27.444504504504508,4.66,0.6,0.19,0.24,1.26,2.092863436123348,2.5818502202643168,3.364229074889867,3.403348017621145,3.16863436123348,4.92,4.52,52.95,2.27,2.25,9,2015,4.751999999999953,680.9999999999999,129.39
2015-12-31,975.54,-71.57999999999998,-0.09905552672548,0.07382459782044633,233.43000000000006,-29.50999999999999,167.65999999999997,8.25,59.49,1005.0499999999997,32.86,441.27,800.12,25.56,3712.95,2415.88,11641.72,167.1,35.16,1533.71,2726.51,4260.22,3435.5,7355.09,-99.32,-246.41000000000003,-36.629999999999995,197.16999999999996,-20.82266450125734,3.85,0.58,0.08,0.3,3.75,-2.476388168137,-5.5966372599896195,-3.91269330565646,-3.8631655422937197,-6.7853035806953805,1.62,1.51,32.98,2.42,2.4,12,2015,53.347500000000025,722.625,57.81
2016-03-31,720.93,-146.83,-0.21,0.02,37.27,-171.09,41.42,8.95,-4.87,892.02,-154.64,735.47,731.42,24.16,3651.72,2341.93,11479.51,113.59,35.21,1563.36,2718.96,4282.33,3435.5,7173.55,-17.12,319.2,-7.89,212.51,-10.655,4.29,0.6,-0.21,0.02,-0.1,-5.12,-5.64,-8.2,-8.04,-6.92,-21.05,-20.37,-124.88,2.34,2.32,3,2016,13.983809523809526,699.1904761904763,-146.83
2016-06-30,831.0100000000001,-64.35,-0.09446207027180603,-0.0005274218788756181,78.35999999999999,-69.15,154.48000000000002,8.75,-4.87,900.1600000000001,-101.72000000000003,245.12,847.76,23.93,2800.23,2631.41,10904.52,130.54,31.23,1754.81,2034.67,3789.48,3435.5,7095.38,-342.96999999999997,-122.33999999999997,-25.03,223.63,-23.160883449883453,4.24,0.53,-0.31,0.02,-0.06,-2.364598920352306,-2.5596173880102278,-3.6322189601288,-3.5225210720712186,-3.2056160621270946,-14.55,-13.61,-86.11,1.6,1.58,6,2016,-0.35929339477726785,681.2258064516129,-211.18
2016-09-30,660.4899999999998,-252.12,-0.36460263328297005,0.00029694408277225655,-131.34,-302.93999999999994,-57.02000000000001,12.0,-33.0,963.4300000000001,-313.63,245.45,778.58,16.97,2457.17,2641.39,10643.69,166.27,32.63,1817.3,1968.18,3785.48,3435.5,6843.27,8.259999999999991,-3.0,-4.920000000000002,245.91999999999996,-8.227930152308424,6.02,0.55,-0.67,0.02,-0.03,-9.468784804662207,-10.426546945823441,-14.736476581048995,-14.039922296568099,-13.386902654867257,-22.18,-20.94,-157.44,1.35,1.34,9,2016,0.20533461723639768,691.4925373134328,-463.3
2016-12-31,617.9500000000003,-271.59,-0.39543509913048214,-0.00013626569759754914,48.9,-270.34000000000003,-37.58,14.4,68.44,888.29,-145.33000000000004,446.19,556.66,15.55,2131.72,2638.51,10199.0,176.41,29.26,1676.83,1956.28,3633.11,3435.5,6572.04,36.22999999999996,173.82,-9.319999999999993,232.7600000000001,-9.105286829411982,7.53,0.55,-1.07,0.02,-0.02,-10.658269400862713,-11.013052293540529,-16.526969750574914,-15.59566465729565,-14.117402604471417,-26.75,-25.96,-178.4,1.27,1.26,12,2016,-0.09358906402566625,686.8130841121495,-734.89
2017-03-31,643.21,-145.13,-0.21,0.0,7.55,-173.03,64.18,13.1,-0.55,816.25,-148.05,873.61,574.63,14.81,2073.05,2592.73,10046.35,506.12,27.82,1397.41,2231.07,3628.48,3435.5,6426.1,143.25,290.65,-6.49,237.21,-15.595,7.0,0.56,-0.21,0.0,0.0,-5.76,-6.44,-9.04,-8.52,-8.0,-23.1,-22.56,-211.01,1.48,1.47,3,2017,0.0,691.0952380952381,-145.13
