,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-12-31,124.25,-10.72999999999999,-0.0537934491978609,0.0,-19.58,-5.620000000000001,10.950000000000001,1.45,0.0,129.87,-43.35999999999999,60.06,85.04,0.0,176.57,18.68,413.27,0.0,65.6,0.0,98.89,6.65,105.54,330.0,296.17,-9.790000000000006,-96.6,79.0,16.570000000000004,-6.734091332712029,1.61,0.36,0.3,-10.38572192513368,3.1415374331550767,-14.488368983957203,-38.04989973262028,4.669271390374327,10.21,8.97,1.79,1.79,12,2006,0.0,199.4666666666667,59.84
2007-03-31,78.22,-22.0,-0.07,0.0,14.84,-19.28,-17.18,1.01,0.0,97.5,-17.54,81.75,54.49,0.01,158.15,20.26,394.62,0.0,63.0,0.0,86.13,9.64,95.78,336.0,289.17,27.25,-17.56,12.0,2.1,-3.62,1.18,0.33,-0.07,-22.28,-17.56,-30.440000000000005,-80.12,-25.000000000000004,-28.48,-28.13,1.84,1.84,3,2007,0.0,314.2857142857143,-22.0
2007-06-30,112.37,-21.060000000000002,-0.05869019972131909,0.0,18.3,-18.869999999999997,-1.3399999999999999,0.94,0.0,131.24,-4.030000000000001,61.43,76.63,0.0,159.87,20.23,398.21,8.55,65.33,0.81,100.36,4.44,104.8,351.02,286.13,-24.37,-17.59,21.64,17.529999999999998,-4.012594966761633,1.16,0.37,-0.12,-21.14803529958198,-15.9832977241059,-29.44291686019508,-81.30549001393406,-25.06071528100325,-23.06,-22.59,1.59,1.59,6,2007,0.0,358.83333333333337,-43.06
2007-09-30,93.72999999999999,-16.259999999999998,-0.04659811193526635,0.0,21.85,-11.79,-2.080000000000002,0.72,0.0,105.52999999999997,-6.02,82.0,64.82,0.0,169.68,18.8,384.7,1.47,55.94,0.89,81.12,4.05,85.16,371.02,291.87,-4.56,11.599999999999998,13.530000000000001,9.71,-3.867109471094712,0.92,0.29,-0.17,-16.90689143627781,-17.444140256237354,-22.279379635873227,-24.834052596089006,-18.036210384356036,-21.31,-20.86,2.09,2.09,9,2007,0.0,348.94117647058823,-59.32
2007-12-31,146.45,-78.71000000000001,-0.2223929580525973,0.0,29.130000000000003,-75.06,-65.21000000000001,0.62,0.0,221.5,-1.5500000000000007,73.19,99.8,0.0,201.99,18.37,363.76,0.74,104.85,0.91,138.68,4.2,142.89,371.02,213.16,9.26,-17.12,-0.9500000000000028,9.849999999999998,-0.7014610595858214,1.08,0.67,-0.39,-86.56218213431865,-73.37827139027749,-147.69173368108383,-123.62767514308484,-126.6841527204231,-32.53,-32.04,1.46,1.46,12,2007,0.0,353.9230769230769,-138.03
2008-03-31,63.65,-18.39,-0.05,0.0,13.97,-16.25,-14.3,0.64,0.0,79.9,-16.26,85.27,41.8,0.01,163.13,16.19,299.72,5.39,45.71,0.69,75.78,4.2,79.98,386.02,211.53,-29.26,18.62,22.72,1.95,-3.2,1.17,0.38,-0.05,-24.56,-18.72,-34.76,-29.399999999999995,-29.040000000000003,-29.67,-28.89,2.15,2.15,3,2008,0.0,367.8,-18.39
2008-06-30,138.6,-55.459999999999994,-0.12015707515233581,0.0,26.83,-51.25,-49.370000000000005,0.38,8.37,189.85,-39.010000000000005,130.95,67.88,0.01,261.63,17.46,415.14,0.0,118.44,0.46,150.82,4.2,155.02,579.03,252.58,-36.739999999999995,-14.64,97.06,1.8800000000000001,-0.7922962495492246,0.87,0.61,-0.16,-53.43985917400135,-49.86518618821937,-87.83482193635747,-82.36767501692621,-76.72029248476642,-37.1,-36.51,1.73,1.73,6,2008,0.0,461.56249999999994,-73.85
2008-09-30,53.69,-22.11,0.043777615673197164,-0.0,9.020000000000003,-21.510000000000005,-19.510000000000005,0.29,8.53,75.19999999999999,-18.660000000000004,90.83,30.71,0.0,169.25,21.98,311.29,0.0,36.45,0.23,71.43,1.8,73.23,579.03,230.29,-36.739999999999995,-3.1799999999999997,-0.20000000000000284,2.0,1.6600949796472182,0.73,0.32,0.19,-28.41397665694039,-23.57539808253439,-38.40448937057107,-33.87926636098374,-34.20183826594414,-38.21,-37.49,2.37,2.37,9,2008,0.0,-505.05263157894734,-95.96
2008-12-31,112.86000000000001,-18.24000000000001,-0.03513835376532401,0.0,18.559999999999995,-19.269999999999996,-17.319999999999993,0.16,8.69,132.13,-15.099999999999994,62.5,83.58,0.0,187.23,20.71,343.77,0.0,70.88,0.0,110.0,1.8,111.8,660.05,224.04,-79.34000000000002,-1.9200000000000002,52.92,1.9500000000000002,-1.1426260964912276,0.47,0.5,-0.22,-21.223565674255703,-19.556091068301235,-32.56367075306481,-33.37504728546411,-29.592882661996512,-31.56,-30.97,1.7,1.7,12,2008,0.0,519.0909090909091,-114.2
2009-03-31,58.84,-184.92,-0.28,0.0,7.99,-186.11,-184.35,0.14,0.15,244.95,-21.57,60.02,42.92,0.0,151.08,19.85,188.21,0.0,38.85,0.0,65.52,61.56,127.08,660.05,38.96,-47.7,12.55,32.67,1.76,-0.125,2.37,3.26,-0.28,-392.99999999999994,-305.16,-1898.56,-590.6,-606.76,-320.04,-314.28,2.31,2.31,3,2009,0.0,660.4285714285713,-184.92
