,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-06-30,-2459.14,-597.9200000000001,-0.07484603187849453,-0.24464074104982061,-1309.75,-761.2599999999999,-882.74,5.0,0.0,-1697.8799999999999,-983.9399999999999,267.56,507.82,1239.21,1257.92,3547.66,530.0,232.5,0.0,1455.32,23.5,1478.83,686.43,2068.83,-804.71,769.5699999999999,431.95,-121.48000000000002,-16.701286208857372,16.59,0.71,0.03,0.0,0.0,-67.46122339981642,-90.31421180005009,-115.56227322039558,-111.77007427188518,-144.90191771676544,43.65,38.73,0.85,0.85,6,2015,-1954.3533333333337,7988.666666666667,239.66
2015-09-30,637.3800000000001,259.17999999999995,0.036369577419613504,0.03,345.05000000000007,307.79999999999995,350.53000000000003,3.5,0.0,329.58,247.63000000000002,394.47,482.9,1237.91,1247.28,3611.22,530.0,150.8,0.0,1431.21,24.2,1455.4,686.43,2155.82,187.60000000000002,111.50999999999999,-171.61,42.73,24.05856933405356,11.14,0.68,0.07,0.03,0.36,28.700792237992136,36.431925266618556,48.09097265656322,49.54575575334776,58.3160195653917,45.93,39.71,0.86,0.86,9,2015,213.78857142857137,7126.285714285713,498.84
2015-12-31,550.5799999999999,232.06,0.03492488712546176,-0.0021750483748020984,340.55999999999995,287.84000000000003,335.39999999999986,3.7,0.0,262.74,255.24999999999994,432.79,449.02,1276.88,1236.63,3554.87,330.0,332.5,0.0,1141.81,25.18,1166.99,686.43,2387.88,258.84,-21.28,-200.0,47.56000000000002,26.488274584159267,10.64,0.49,0.11,0.03,0.23,26.111115610890682,33.03259324120947,38.874574360377615,39.344472841702014,47.345446983171435,45.52,40.45,1.12,1.12,12,2015,-14.452207792207759,6644.545454545454,730.9
2016-03-31,2423.42,940.52,0.14,0.08,1336.65,1155.98,1336.12,4.78,0.0,1267.44,974.22,112.15,399.13,837.05,1210.94,3099.35,240.0,123.48,0.0,821.71,35.46,857.17,686.43,2242.18,784.73,-55.09,-804.82,180.14,8.535,14.63,0.38,0.14,0.08,0.54,121.40000000000002,144.8,167.8,184.8,203.0,44.66,38.81,1.02,1.02,3,2016,537.4399999999999,6717.999999999999,940.52
2016-06-30,-1655.18,-627.25,-0.10011332077760399,-0.08577904044434513,-998.1600000000001,-763.38,-888.2499999999999,6.0,0.0,-891.7900000000001,-760.08,219.07,562.97,1395.85,1349.65,4476.57,440.0,156.71,11.21,1169.58,134.91,1304.49,686.43,2555.74,-579.15,-242.20000000000002,1003.0300000000001,-124.86999999999998,-14.983021123953764,16.12,0.51,0.05,0.0,0.0,-56.06345963545824,-78.40875283301945,-98.19114501867398,-108.52283972292274,-95.06760941041274,56.9,40.78,1.19,1.19,6,2016,-537.4399999999999,6265.4,313.27
2016-09-30,723.95,197.54000000000002,0.027070339265088787,0.06,438.40999999999997,263.23,331.6,5.55,0.0,460.70000000000005,253.62,386.71,599.02,1486.63,1311.98,4616.62,620.0,158.12,71.21,1410.93,271.41,1682.34,686.43,2341.48,238.81999999999996,-4.399999999999977,-68.55000000000001,68.37,51.25813113799737,16.27,0.72,0.07,0.06,0.86,17.108454415536112,24.657211879172294,33.752845872242126,35.14503474873241,31.649093792212373,40.46,34.23,1.05,1.05,9,2016,437.8371428571428,7297.285714285714,510.81
2016-12-31,682.5799999999999,124.26000000000005,0.01760971231517786,-0.0020488180155618305,398.14,172.58999999999992,254.17000000000007,5.6,0.0,509.9999999999999,162.85000000000002,513.92,606.58,1674.96,1334.73,5600.23,940.0,447.82,8.7,1960.16,134.36,2094.52,686.43,2575.96,198.21000000000004,-617.3499999999999,544.71,81.58,79.4987433606953,14.92,0.81,0.09,0.06,0.67,8.875295006849642,14.166035240209746,19.292418158628188,20.028112806462286,17.81320232415325,32.82,29.2,0.85,0.85,12,2016,-14.457142857142799,7056.333333333334,635.07
2017-03-31,3358.28,826.4,0.12,0.1,1782.67,1009.81,1356.47,5.1,0.0,2348.46,765.02,798.81,763.11,2612.81,1502.73,7984.98,778.0,536.3,245.89,2807.53,2072.15,4879.67,686.43,1856.12,957.28,-3685.26,2212.76,346.66,10.625,18.86,2.63,0.12,0.1,0.79,41.4,72.88,178.08,161.32,78.0,27.08,24.61,0.93,0.93,3,2017,688.6666666666667,6886.666666666667,826.4
2017-06-30,-3358.28,,,,-1782.67,-1009.81,-1255.33,5.7,,-2348.46,-765.02,625.2,815.12,2394.91,1670.81,8213.45,733.0,582.54,243.84,2841.16,2077.19,4918.35,686.43,2029.74,-749.3399999999999,3385.9800000000005,-2294.7000000000003,-245.52000000000004,,19.28,2.42,,0.0,0.0,,,,,,,,0.84,0.84,6,2017,,,
2017-09-30,1867.85,,,,1086.28,583.92,694.87,5.75,0.0,1283.94,563.56,853.72,851.38,2171.43,1620.43,8022.7,655.0,242.34,241.79,2526.94,2057.5,4584.44,686.43,2139.8,322.00000000000006,-170.01000000000005,-323.06,110.95,,18.45,2.14,0.05,0.03,0.5,,,,,,20.6,20.18,0.86,0.86,9,2017,,7538.4,376.92
