,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2012-09-30,118.00000000000003,6.3100000000000005,0.04247115384615385,0.0,36.56,8.52,10.309999999999999,1.08,0.0,109.49000000000001,11.25,14.52,75.99,83.03,175.98,12.57,210.77,11.7,65.69,3.96,94.7,11.08,105.78,75.0,104.99,10.370000000000001,8.37,-12.75,1.79,6.3578446909667194,1.54,1.01,0.07,0.0,0.0,11.96473076923077,17.570923076923076,24.050807692307693,24.584730769230774,32.909076923076924,3.33,3.23,7.6,1.86,0.98,9,2012,0.0,148.57142857142856,10.4
2012-12-31,122.13999999999999,3.549999999999999,0.022903225806451606,0.0,26.159999999999997,6.99,8.740000000000002,2.26,0.0,115.13999999999999,13.719999999999999,20.17,75.79,97.7,197.29,12.23,242.51,24.93,74.66,3.96,123.37,10.44,133.81,75.0,108.7,5.77,-11.93,11.809999999999999,1.75,24.667922535211275,3.12,1.23,0.09,0.0,0.0,5.853046594982077,10.474408602150534,13.059928315412183,13.996415770609316,19.42193548387096,3.2,3.14,8.06,1.6,0.81,12,2012,0.0,155.0,13.95
2013-03-31,130.78,5.47,0.04,0.0,36.54,8.61,10.43,1.78,0.0,122.17,12.3,22.54,93.38,92.19,211.91,13.39,267.12,47.64,67.91,3.96,139.05,10.22,149.26,75.0,117.85,-12.3,-6.41,21.08,1.82,11.125,2.27,1.27,0.04,0.0,0.0,8.2,14.64,18.56,20.28,26.88,4.21,4.18,10.25,1.52,0.86,3,2013,0.0,136.75,5.47
2013-06-30,117.4,4.54,0.03174825174825176,0.0,33.96,7.859999999999999,9.5,1.63,0.0,109.55,9.02,21.35,81.76,100.49,208.34,15.29,266.54,39.35,77.26,3.97,134.02,9.66,143.68,75.0,122.87,12.680000000000001,-3.67,-10.179999999999998,1.64,12.83771475770925,1.99,1.17,0.07,0.0,0.0,6.821338661338661,12.771868131868134,14.785614385614387,16.41838161838162,22.55032967032967,4.09,4.03,8.4,1.55,0.8,6,2013,0.0,142.99999999999997,10.01
2013-09-30,144.73000000000002,7.229999999999999,0.05032482598607888,0.0,37.58,10.21,12.04,1.75,0.0,134.51000000000002,13.82,37.5,83.08,98.92,223.62,17.11,284.51,33.34,76.98,4.1,144.65,9.24,153.89,75.0,130.62,27.39,-2.880000000000001,-8.370000000000001,1.83,8.691535269709545,2.01,1.18,0.12,0.0,0.0,10.165614849187934,18.066612529002317,22.142923433874707,24.541740139211136,32.006589327146166,4.45,4.39,8.34,1.55,0.86,9,2013,0.0,143.66666666666666,17.24
2013-12-31,154.35999999999996,11.780000000000001,0.08118538938662992,0.0,42.83,14.64,16.480000000000004,1.69,0.0,139.70999999999998,20.22,41.9,80.08,103.77,234.62,17.17,292.19,27.01,83.75,4.12,140.96,8.49,149.44,75.0,142.74,15.7,-3.5700000000000003,-7.74,1.8399999999999999,5.204138370118844,1.78,1.05,0.2,0.0,0.0,16.123418332184702,25.10252239834597,33.00997932460372,37.475175740868366,44.35969676085459,5.37,5.3,10.2,1.66,0.93,12,2013,0.0,145.1,29.02
2014-03-31,126.11,4.23,0.029999999999999995,0.0,32.58,6.88,8.61,2.0,0.0,119.23,10.98,61.07,92.47,103.02,266.54,16.88,322.12,32.23,87.08,4.12,160.88,7.58,168.47,81.72,153.65,8.96,0.22,9.99,1.73,16.6675,2.13,1.1,0.03,0.0,0.0,5.24,9.36,11.0,12.48,17.08,3.39,3.35,8.09,1.66,1.02,3,2014,0.0,141.00000000000003,4.23
2014-06-30,115.91000000000001,8.41,0.05322784810126582,0.07,38.41,11.600000000000001,13.34,2.04,0.0,104.30999999999999,15.43,46.54,85.83,102.37,244.46,17.9,302.38,40.47,73.31,4.71,143.99,8.14,152.13,81.87,150.25,-6.380000000000001,-2.23,-5.930000000000001,1.7400000000000002,9.581450653983353,2.22,1.01,0.08,0.07,0.92,11.124620253164556,17.299050632911392,22.38231012658228,24.644493670886074,31.058449367088606,5.26,5.22,8.18,1.7,0.99,6,2014,11.06,158.0,12.64
2014-09-30,136.10999999999999,5.84,0.00632034632034632,0.058030303030303036,32.900000000000006,8.219999999999999,10.070000000000004,3.06,0.0,127.89000000000001,11.440000000000001,63.69,95.16,110.14,276.9,18.23,335.52,36.24,94.8,4.72,162.94,7.24,170.18,91.11,165.34,15.979999999999999,-1.5100000000000002,2.7,1.85,121.03767123287672,3.37,1.03,0.02,0.07,3.67,6.965021645021644,10.883636363636363,14.132294372294371,15.788225108225108,19.555151515151515,4.93,4.89,7.74,1.7,1.02,9,2014,53.620000000000005,924.0,18.48
2014-12-31,134.76999999999998,6.050000000000001,0.007399103139013453,-0.009103139013452907,34.58999999999999,8.870000000000001,10.699999999999996,1.36,0.0,125.89999999999998,13.899999999999999,70.71,93.32,120.4,296.69,17.92,356.06,42.05,93.93,4.59,165.35,6.26,171.61,104.26,184.45,-7.629999999999999,-1.8599999999999999,16.5,1.83,45.94813636363636,7.69,0.93,0.03,0.07,2.45,6.797309417040359,10.822421524663678,13.121076233183858,14.788340807174889,18.399103139013455,4.83,4.78,7.75,1.79,1.07,12,2014,-7.443333333333328,817.6666666666667,24.53
2015-03-31,135.62,6.79,0.01,0.0,38.09,10.01,11.89,1.09,0.0,125.61,15.07,67.16,92.64,132.84,300.87,23.04,365.39,40.52,90.75,5.2,164.67,7.56,172.22,106.42,193.16,1.67,-3.85,-1.37,1.88,27.25,6.01,0.89,0.01,0.0,0.0,7.44,11.64,14.080000000000002,15.679999999999998,19.96,5.06,5.01,11.12,1.83,1.02,3,2015,0.0,679.0,6.79
2015-06-30,131.98000000000002,-1.0999999999999996,-0.0,,33.66,0.40000000000000036,2.4299999999999997,0.79,0.0,131.57999999999998,6.789999999999999,77.33,83.39,119.12,288.72,22.09,352.6,45.11,71.19,4.33,154.98,7.42,162.4,133.13,190.19,11.68,-0.9899999999999998,-0.5199999999999998,2.0300000000000002,-0.0,5.53,0.85,0.0,0.0,0.0,-1.244991212653778,-2.4590509666080833,-2.3121265377855877,-2.5827768014059744,-4.0752196836555346,2.15,2.13,5.42,1.86,1.09,6,2015,,inf,5.69
2015-09-30,154.01,7.05,0.005533751962323391,,39.89,9.05,11.169999999999998,0.68,0.0,144.95999999999998,15.590000000000003,87.41,86.36,104.82,287.82,22.94,354.39,44.05,79.26,1.44,149.75,7.28,157.04,133.14,197.36,19.71,-4.35,-5.28,2.12,30.720567375886528,4.59,0.8,0.01,0.0,0.28,7.946467817896388,12.484144427001569,14.299215070643642,15.560910518053374,21.050392464678175,3.05,3.02,6.71,1.92,1.22,9,2015,,1274.0,12.74
2015-12-31,141.52999999999997,1.879999999999999,0.0012859097127222976,0.0,39.95,2.919999999999998,4.950000000000003,0.63,0.0,138.61,-20.500000000000004,118.32,78.24,109.14,316.47,21.47,380.54,51.05,82.91,1.47,161.42,7.14,168.55,141.74,211.99,10.5,-0.3800000000000008,20.79,2.0300000000000002,122.48138297872346,4.21,0.8,0.01,0.0,0.28,1.975157318741449,3.127332421340628,3.5491108071135415,3.7960054719562226,5.251655266757864,2.62,2.6,6.25,1.96,1.28,12,2015,0.0,1462.0,14.62
2016-03-31,133.67,2.38,0.0,,37.37,4.92,6.9,0.52,0.0,128.75,3.45,115.19,102.51,114.74,376.36,22.44,442.18,74.68,88.1,1.75,218.5,7.84,226.33,141.74,215.63,-24.22,-1.05,22.15,1.98,0.0,3.42,1.05,0.0,0.0,0.0,2.16,4.880000000000001,4.4,4.64,8.8,1.8,1.78,4.47,1.72,1.2,3,2016,,inf,2.38
2016-06-30,132.47,-1.41,-0.0,,34.79,0.54,2.6099999999999994,0.42,0.0,131.93,-1.23,205.97,93.95,102.61,408.83,21.74,566.92,89.48,90.34,1.72,212.55,7.67,220.22,169.6,346.49,39.58,-94.11,145.29999999999998,2.07,-0.0,2.06,0.64,0.0,0.0,0.0,-0.9884536082474227,-6.9191752577319585,-1.628041237113402,-2.0931958762886596,-8.954226804123712,0.37,0.36,2.27,1.92,1.44,6,2016,,inf,0.97
2016-09-30,130.84000000000003,-3.17,0.0,,32.66,-0.6500000000000004,1.4700000000000006,0.36,0.0,131.49,-1.8900000000000001,98.28,90.2,102.68,297.68,21.89,478.56,5.37,91.79,1.53,127.03,8.54,135.57,169.6,342.8,2.2600000000000016,-23.659999999999997,-86.28999999999999,2.12,0.0,1.78,0.4,0.0,0.0,0.0,-2.651272727272727,6.628181818181816,-3.6887272727272724,-4.6685454545454546,7.896181818181818,-0.56,-0.55,1.16,2.34,1.54,9,2016,,-inf,-2.2
2016-12-31,131.41999999999996,-8.43,-0.00793038570084666,,33.70000000000002,-5.659999999999999,-3.210000000000001,0.4,0.0,137.07999999999998,-8.43,172.23,91.04,99.82,370.37,24.77,582.33,0.71,101.5,101.82,237.67,10.15,247.81,169.6,334.34,8.599999999999998,-29.140000000000015,94.49000000000001,2.4499999999999993,-12.609727164887309,2.03,0.74,-0.01,0.0,-0.33,-5.805042333019755,-0.5709877704609595,-10.087450611476951,-12.339680150517403,-0.793038570084666,-2.04,-2.01,-0.19,1.56,1.14,12,2016,,1063.0,-10.63
2017-03-31,129.76,7.14,0.0,,34.95,9.9,12.41,0.41,0.0,119.86,3.98,144.31,85.32,94.12,331.69,23.18,570.57,2.72,87.26,101.59,218.01,10.99,229.0,169.6,341.4,2.3,-30.68,0.44,2.51,0.0,2.04,0.67,0.0,0.0,0.0,5.0,7.840000000000001,8.36,10.24,11.24,5.77,5.5,10.88,1.52,1.09,3,2017,,inf,7.14
2017-06-30,161.46000000000004,26.799999999999997,0.015792575132586917,,43.239999999999995,35.11,37.629999999999995,0.4,0.0,126.35000000000001,7.889999999999999,170.1,88.89,99.62,365.64,33.63,646.67,4.75,108.91,101.5,242.02,36.44,278.47,169.6,368.04,41.510000000000005,-17.369999999999997,1.81,2.5200000000000005,6.3320895522388065,1.84,0.76,0.02,0.0,0.0,16.582203889216263,23.436181496758984,29.12150854449028,30.00589275191514,35.1226870948733,13.15,11.65,76.29,1.51,1.1,6,2017,,1696.9999999999998,33.94
2017-09-30,147.0,2.030000000000001,0.001128718376424799,0.0,43.93000000000001,5.399999999999999,8.520000000000003,0.61,0.0,141.6,4.110000000000001,177.02,86.75,98.48,371.99,32.19,672.28,4.7,100.98,101.51,242.46,59.59,302.05,169.6,370.07,25.810000000000002,-18.460000000000008,-0.42999999999999994,3.12,135.10899014778317,2.8,0.82,0.02,0.0,0.0,1.207728662774535,1.977514595496248,2.1942285237698096,2.2777536836252446,2.6479733110925787,8.91,8.21,90.02,1.53,1.13,9,2017,0.0,1798.5,35.97
