,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2012-03-31,1650.11,-12.62,-0.01,0.0,171.23,28.74,76.03,3.92,0.0,1621.37,19.63,104.99,1891.8,1043.04,5038.47,782.6,5936.0,2468.25,1597.36,203.77,4475.32,205.95,4681.27,480.0,1252.32,398.02,-57.29,-370.35,47.29,-98.0,1.5,3.74,-0.01,0.0,0.0,-0.8399999999999999,1.84,-4.04,-3.84,7.88,-0.77,-0.76,1.13,0.89,3,2012,0.0,1262.0,-12.62
2012-06-30,1438.1500000000003,28.6,0.03579474342928661,0.17,186.77,65.76,118.32,3.38,0.0,1372.3900000000003,53.260000000000005,151.32,1492.82,955.0,4547.15,831.07,5490.0,2556.47,998.99,209.29,3969.15,181.57,4150.72,480.0,1292.06,178.97000000000003,-93.67000000000002,-38.97999999999996,52.559999999999995,23.60681818181818,1.26,3.21,0.02,0.17,8.5,2.0760951188986234,10.738423028785983,8.87709637046308,8.733917396745932,44.45707133917397,0.52,0.52,1.15,0.91,6,2012,135.83,799.0,15.98
2012-09-30,1540.0199999999995,63.08999999999999,0.06383204755280131,0.032572404198811175,245.04999999999995,102.24000000000001,155.28,3.28,0.0,1437.7799999999997,91.72000000000001,113.9,2101.81,897.05,4286.4,835.82,5246.95,2202.58,1070.8,199.01,3702.53,140.34,3842.87,480.0,1355.15,436.53,-67.84,-406.11000000000007,53.03999999999999,12.846211760976384,1.16,2.84,0.08,0.17,2.13,4.819319590236499,10.213127608448211,18.607041861641584,17.968721386113568,40.661014291134435,1.72,1.71,1.16,0.92,9,2012,32.193749999999994,988.3749999999999,79.07
2012-12-31,1317.5300000000007,14.040000000000006,0.015078938889485563,-0.010457254859843198,187.10000000000002,48.70999999999998,102.30000000000001,3.72,0.0,1268.8199999999997,21.70999999999998,217.52,1392.23,715.05,3487.83,837.04,4448.04,1753.87,701.89,178.82,2862.43,130.86,2993.29,480.0,1369.19,611.95,-58.56999999999999,-449.76,53.59,61.675427350427334,1.3,2.19,0.1,0.17,1.7,1.260599291160993,2.979598324562347,4.101471377940073,4.0170293201589535,9.336878960369459,1.58,1.57,1.22,0.97,12,2012,-9.73675,931.0999999999999,93.11
2013-03-31,1238.48,83.76,0.09,0.0,269.85,124.43,164.44,6.5,0.0,1114.05,123.23,161.03,1335.72,697.93,3429.96,851.74,4543.9,1427.75,712.08,189.94,2593.67,218.96,2812.63,480.0,1612.04,190.22,-45.26,-201.44,40.01,18.055,1.94,1.74,0.09,0.0,0.0,7.36,9.48,20.8,23.399999999999995,25.52,6.83,6.76,1.32,1.05,3,2013,0.0,930.6666666666667,83.76
2013-06-30,1421.12,63.480000000000004,0.06466992665036675,0.12,264.35,114.47999999999999,154.23000000000002,7.3,0.0,1306.64,105.71,136.09,1361.0,710.59,3732.21,881.27,4884.62,1623.76,844.02,186.51,2955.51,242.03,3197.54,480.0,1560.32,-38.94999999999999,-85.69,99.69,39.75000000000001,28.222159735349717,2.25,2.05,0.15,0.12,0.8,5.19083944580277,7.950089649551754,16.27957620211899,17.79716381418093,21.349698451507745,5.58,5.54,1.26,1.02,6,2013,117.79200000000002,981.6000000000001,147.24
2013-09-30,1010.23,79.60999999999999,0.08422481816178089,0.1153798545294247,268.94999999999993,129.9,172.24,5.7,0.0,880.3299999999999,115.82999999999998,132.32,1061.54,702.61,3378.85,941.75,4596.75,1699.84,538.49,150.53,2719.53,214.16,2933.7,480.0,1524.74,187.10999999999999,-87.64000000000001,-103.24000000000001,42.33999999999999,16.91900357995227,1.79,1.92,0.24,0.24,1.0,6.934510028653294,10.514064800528983,20.887754904121664,22.109014767467485,27.583627947983242,6.24,6.18,1.24,0.98,9,2013,109.05799999999998,945.2083333333334,226.85
2013-12-31,854.8699999999999,27.26000000000002,0.027891857856833676,0.007891857856833629,234.68999999999994,56.81999999999999,100.07999999999998,5.4,0.0,798.0499999999997,39.450000000000045,202.43,1065.64,678.23,3394.25,985.99,4653.57,1573.67,531.47,267.41,2701.71,255.4,2957.11,480.0,1551.99,144.49,-105.53,31.150000000000006,43.26000000000002,48.403014490095345,1.67,1.91,0.26,0.24,0.92,2.3429160599740286,4.012136476329152,7.024457124867189,7.46643579552163,9.358791074731421,5.68,5.62,1.26,1.01,12,2013,7.713076923076898,977.3461538461538,254.11
2014-03-31,872.24,28.29,0.03,0.0,210.23,67.42,112.4,5.75,0.0,804.81,52.73,177.37,826.86,753.02,3236.9,1026.85,4544.11,1497.69,447.83,208.5,2479.42,329.46,2808.89,480.0,1580.2,115.67,-78.83,-61.9,44.98,47.9175,1.75,1.78,0.03,0.0,0.0,2.48,5.92,7.159999999999999,7.08,13.08,3.3,3.24,1.31,1.0,3,2014,0.0,943.0,28.29
2014-06-30,819.1099999999999,23.61,0.022745664739884392,0.15,215.82000000000002,71.96999999999998,119.35,5.75,0.0,747.1500000000001,49.15,154.96,775.13,827.75,3376.4,1058.07,4711.84,1693.5,518.37,183.81,2723.8,355.04,3078.84,480.0,1462.13,1.269999999999996,-72.64,48.96,47.38,63.19885641677256,1.89,2.11,0.05,0.15,3.0,2.0016184971098268,5.295190751445087,6.459768786127167,6.241410404624277,12.755768786127167,3.14,3.07,1.24,0.94,6,2014,155.7,1038.0,51.9
2014-09-30,1192.7000000000003,114.88,0.11709797337810289,-0.008706079865691321,327.64000000000004,170.61,220.93,6.55,0.0,1022.0999999999999,146.75,238.46,1143.16,897.36,3660.63,1091.68,5064.5,1673.1,738.32,211.05,2967.31,336.15,3303.46,480.0,1577.06,177.56,-80.91,-13.15,50.32000000000001,13.98423006615599,1.99,2.09,0.17,0.15,0.88,9.064760762681376,17.6886820961746,29.150507255066557,29.618899148578965,40.72254227125554,5.91,5.78,1.23,0.93,9,2014,-8.541176470588226,981.0588235294117,166.78
2014-12-31,1494.4799999999996,171.13000000000002,0.17725281879790475,0.1475760165863866,448.06999999999994,227.69000000000005,279.58,5.9,0.0,1266.7800000000002,195.19,193.95,1328.83,1107.15,4576.4,1447.56,6322.73,1825.63,1066.65,245.64,3669.24,358.45,4027.69,480.0,1748.77,71.20999999999998,-660.09,544.36,51.889999999999986,8.322857768947584,1.62,2.3,0.35,0.3,0.86,10.81748631292356,19.85231570536534,39.13742239057737,41.467030866206976,41.04162410109201,7.9,7.72,1.25,0.95,12,2014,142.47831932773116,965.457142857143,337.91
2015-03-31,1175.34,88.61,0.09,0.0,314.41,159.39,208.71,5.75,0.0,1015.95,123.73,467.4,1125.35,1188.49,4389.35,1509.16,6211.67,1917.21,843.4,207.92,3486.94,310.02,3796.96,480.0,1837.38,95.44,174.38,3.63,49.32,15.972500000000002,1.5,2.07,0.09,0.0,0.0,5.72,11.84,19.28,20.76,23.4,7.77,7.54,1.26,0.92,3,2015,0.0,984.5555555555555,88.61
2015-06-30,1177.2,120.22000000000001,0.1266503854810133,0.15,381.28000000000003,212.62,264.34000000000003,6.95,0.0,964.5799999999999,186.25,405.18,1318.64,1143.57,4422.88,1598.23,6332.47,2223.48,627.73,209.85,3612.68,379.56,3992.24,480.0,1813.6,-32.3,-174.62,144.71,51.720000000000006,13.71847383962735,1.84,2.2,0.22,0.15,0.68,7.599023128860795,15.520429057127808,26.50447157975387,29.35986208878035,31.50140497055021,9.12,8.88,1.22,0.91,6,2015,142.3840909090909,949.2272727272727,208.83
2015-09-30,1337.1,127.47,0.13266280107047276,0.15181554618441326,400.03,220.0,276.75999999999993,7.95,0.0,1117.1000000000001,196.20999999999998,643.15,1281.51,1064.14,3832.01,1728.87,5892.68,1765.35,695.14,209.45,3257.18,329.82,3587.0,480.0,1797.07,1145.84,-191.10999999999999,-716.76,56.760000000000005,14.97876559190398,2.12,2.0,0.35,0.3,0.86,8.657195361284566,16.389541480820697,28.367097234611954,30.21679571810883,34.05264585191793,9.33,9.11,1.18,0.85,9,2015,145.87305194805197,960.857142857143,336.3
2015-12-31,1439.02,123.53999999999996,0.12895615866388305,-0.0008947211452430998,423.80999999999995,216.51999999999998,278.3900000000001,7.5,0.0,1222.5,197.01000000000005,366.31,1455.31,967.26,3810.82,1851.55,5973.81,1644.16,683.55,217.04,3184.5,283.02,3467.52,480.0,1920.61,20.15000000000009,-175.46,-121.54000000000008,61.869999999999976,14.544477901894128,1.87,1.81,0.48,0.3,0.63,8.274686847599163,14.13144572025052,25.72675365344467,26.93034446764091,31.153658663883082,9.16,8.97,1.2,0.89,12,2015,-0.8571428571428896,958.0,459.84
2016-03-31,1241.79,106.36,0.11,0.0,370.32,200.03,265.63,6.95,0.0,1041.76,161.29,468.81,1261.26,1029.69,3719.38,1970.64,6019.19,1385.98,638.12,252.81,2981.79,377.46,3359.25,480.0,2026.97,418.22,-185.57,-130.15,65.6,15.795000000000002,1.65,1.66,0.11,0.0,0.0,7.079999999999999,13.08,21.0,22.0,26.36,8.84,8.57,1.25,0.9,3,2016,0.0,966.9090909090909,106.36
2016-06-30,1307.2800000000002,89.24,0.0912474437627812,0.17,340.33,182.04999999999998,252.34000000000003,8.25,0.0,1125.24,143.44000000000003,401.0,1284.54,985.43,3796.28,2185.77,6343.77,1610.63,740.14,288.09,3340.23,431.55,3771.78,480.0,1953.01,156.81999999999994,-308.87,84.25,70.28999999999999,22.603372926938594,2.03,1.93,0.2,0.17,0.85,5.620842535787322,11.004441717791412,18.28598773006135,18.96121881390593,23.213349693251534,7.91,7.67,1.14,0.84,6,2016,166.26,977.9999999999999,195.6
2016-09-30,1365.3399999999997,95.28999999999999,0.09827426174842724,0.1685331224861632,360.0300000000001,198.43,274.91999999999996,6.4,0.0,1166.9,162.60999999999996,623.71,1174.29,1051.85,3606.62,2318.98,6305.12,1550.96,784.31,302.42,3373.31,445.01,3818.32,480.0,1885.77,669.25,-174.71999999999997,-271.83000000000004,76.49000000000001,16.27842297198027,1.63,2.02,0.3,0.34,1.13,6.040591288803328,12.474279624600364,20.21829145037643,20.70311114166867,25.944405101584792,7.67,7.43,1.07,0.76,9,2016,163.41533333333336,969.6333333333333,290.89
2016-12-31,1517.9800000000005,74.93,0.07783445410311084,-0.0024542853498077397,409.73,160.78999999999996,245.64,7.15,0.0,1357.1799999999998,110.32999999999998,428.13,1531.6,1165.27,3932.41,2516.56,6869.46,1548.0,967.08,370.49,3672.89,567.23,4240.12,480.0,1957.58,-67.87999999999988,-307.49,178.70000000000002,84.85000000000002,22.97054717736554,1.75,2.17,0.38,0.34,0.89,4.3669225302061125,9.454837898419989,15.312904707233068,15.460380515007383,18.999799901590947,6.95,6.73,1.07,0.75,12,2016,-2.3627017543859665,962.6842105263157,365.82
2017-03-31,1573.05,50.1,0.05,0.0,394.37,168.75,262.59,7.0,0.0,1404.3,121.37,588.62,1362.42,1418.47,4355.44,2604.78,7378.89,1875.6,1098.43,365.78,4248.37,460.84,4709.21,480.0,2006.22,98.18,-178.56,240.72,93.84,35.0,1.67,2.35,0.05,0.0,0.0,2.72,10.08,10.0,9.92,21.56,3.29,3.18,1.03,0.69,3,2017,0.0,1002.0,50.1
2017-06-30,1911.47,115.73000000000002,0.11864017367183262,0.17,461.04999999999995,248.86,350.21999999999997,7.45,0.0,1662.61,194.18,566.52,1495.32,1444.25,4703.93,2794.23,7945.1,2263.15,1073.29,387.8,4730.06,520.69,5250.75,480.0,1956.28,84.16999999999999,-298.9,194.78,101.35999999999999,15.697465220772486,1.83,2.68,0.17,0.17,1.0,5.834305011156004,16.330470964240487,23.67220406440331,23.67220406440331,36.262020141108366,4.91,4.76,0.99,0.69,6,2017,165.83,975.4705882352941,165.83
2017-09-30,1855.02,54.45999999999998,0.056860502065459145,0.16686050206545916,421.72000000000014,183.10000000000002,292.36,7.2,0.0,1671.92,165.31,1008.79,1469.3,1398.33,4781.35,2900.49,8174.72,2431.88,1089.54,580.41,5038.43,547.04,5585.47,480.0,1846.59,560.05,-267.88000000000005,149.89,109.25999999999999,31.652024421593843,1.87,3.02,0.23,0.34,1.48,2.6600826183666975,8.20768986336193,11.797318080711785,11.668763902129008,18.937019383539873,4.26,4.13,0.95,0.67,9,2017,159.81608695652173,957.7826086956521,220.29
