,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2005-09-30,225.53999999999996,-23.02,-0.8178474399164055,0.024305120167189116,,-30.1,-30.1,11.0,27.37,27.400000000000006,8.41,0.0,239.19,1236.94,790.51,310.39,446.43,15.84,-112.42,-0.09999999999999432,-3.363218940052129,0.76,1.77,-0.68,0.3,-0.44,-7.456844305120167,-6.446562173458725,-20.638620689655173,-21.3121421107628,-2.73,9,2005,,,0.684117647058823,,28.14705882352941,-19.14
2005-12-31,320.49,44.94,1.480581395348837,0.021802325581395356,,20.11,20.11,10.0,42.93,30.86999999999999,7.47,0.0,252.16,1388.65,897.38,310.39,491.27,45.56,86.38,-0.28000000000000114,1.6878504672897199,0.63,1.83,0.85,0.3,0.35,12.959441860465116,2.090232558139535,36.57906976744186,39.2266976744186,2.52,12,2005,,,0.6617647058823533,,30.35294117647059,25.8
2006-03-31,287.92,10.06,0.32,0.35,,13.22,13.22,10.0,0.0,28.53,19.74,0.0,249.65,1478.65,973.88,310.39,504.77,76.93,-70.67,0.0,7.8125,0.61,1.93,0.32,0.35,1.09,2.72,3.84,7.96,8.2,3.49,3,2006,,,11.003124999999999,,31.4375,10.06
2006-06-30,273.16,1.7799999999999994,0.05712837837837836,-0.0031408361486486096,,1.5,1.5,10.5,0.0,31.03,17.35,0.0,249.45,1475.7,981.53,310.39,494.16,86.44999999999999,47.86,-10.86,45.94651685393259,0.66,1.99,0.38,0.35,0.92,0.48108108108108094,0.6614864864864863,1.4432432432432427,1.4793243243243237,2.11,6,2006,,,-0.09786184210526194,,31.157894736842106,11.84
2006-09-30,229.93999999999994,-9.56,-0.29350877192982466,0.015189289012003594,,-13.22,-13.22,14.3,0.34,28.810000000000002,11.87,0.0,250.98,1456.25,971.53,310.39,484.71,-6.579999999999984,-87.3,0.0,-12.180470711297069,0.92,2.0,0.07,0.35,5.0,-2.683508771929825,-1.8449122807017546,-7.88280701754386,-8.218245614035089,0.29,9,2006,,,0.4947368421052598,,32.57142857142856,2.28
2006-12-31,259.03,19.9,0.6370153291253381,-0.014923354373309175,,26.7,26.7,10.6,1.29,32.16,14.23,0.0,248.95,1423.1,920.77,310.39,502.32,-43.010000000000005,164.2,9.219999999999999,4.160143216080402,0.65,1.83,0.71,0.35,0.49,5.598557258791704,7.213525698827771,15.862578899909828,16.006131650135256,2.11,12,2006,,,-0.46619718309858804,,31.23943661971831,22.18
2007-03-31,240.88,18.1,0.58,0.0,,15.76,15.76,10.6,0.01,30.5,4.88,0.0,247.74,1439.9,949.57,310.39,490.33,-48.17,27.91,3.0,4.57,0.67,1.94,0.58,0.0,0.0,5.04,4.32,14.759999999999998,14.56,7.51,3,2007,,,0.0,,31.206896551724142,18.1
2007-06-30,209.92000000000002,2.979999999999997,0.09612903225806442,0.35,,3.2200000000000006,3.2200000000000006,10.0,0.01,26.22,23.64,0.0,245.91,1385.32,901.48,310.39,483.83,6.760000000000005,38.03,-23.08,26.01399328859063,0.64,1.86,0.68,0.35,0.51,0.8595066413662231,0.7520683111954451,2.465426944971535,2.437153700189751,4.68,6,2007,,,10.849999999999998,,30.999999999999996,21.08
2007-09-30,191.34999999999997,4.390000000000001,0.14133490380840205,0.0006870828425599357,,5.829999999999998,5.829999999999998,10.3,3.95,26.460000000000008,24.38,0.0,244.14,1292.54,802.15,310.39,490.39,-70.94,35.980000000000004,9.899999999999999,18.21772209567198,0.65,1.64,0.82,0.35,0.43,1.3581939536709857,1.2478837848449158,3.578186101295643,3.598869257950531,3.97,9,2007,,,0.021341463414636053,,31.0609756097561,25.47
2007-12-31,184.84000000000003,0.4200000000000017,0.013464658169177341,0.0014788175112342425,,-0.25,-0.25,10.5,7.35,31.5,27.92,0.0,241.92,1252.71,763.04,310.39,489.67,-43.59,-77.38,-9.899999999999999,194.94553571428494,0.67,1.56,0.83,0.35,0.42,0.1343221320973354,0.11939745075318704,0.3432676709154127,0.3387253765932806,3.13,12,2007,,,0.04612841610343921,,31.192771084337352,25.89
