,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-03-31,364.47,76.0,0.25,0.0,243.18,94.85,106.95,42.75,269.62,88.31,126.62,22.54,346.5,945.67,217.87,1387.79,147.9,0.0,214.89,9.39,224.27,300.0,1163.51,50.63,-98.57,0.0,12.1,42.75,11.02,0.19,0.25,0.0,0.0,21.92,29.32,26.12,27.399999999999995,32.36,21.23,20.85,4.4,2.79,3,2015,0.0,304.0,76.0
2015-06-30,405.91999999999996,93.62,0.03311637778563849,0.64,271.82,117.03,129.07,4.04,288.89,111.60999999999999,254.6,20.09,292.06,866.75,252.83,1246.31,128.33,0.0,171.61,9.57,181.19,300.0,1065.13,106.07,213.91,-192.0,12.040000000000001,30.496994766075623,11.38,0.17,0.06,0.64,10.67,30.04759344416932,38.94486027591086,35.147515623157645,36.07477420115553,43.53699799551939,22.36,22.02,5.05,3.35,6,2015,1809.28,2827.0,169.62
2015-09-30,447.63,101.89999999999998,0.03377651738361814,0.0902828520919269,294.89,127.19999999999999,139.41,4.54,320.43000000000006,123.4,283.82,20.27,270.08,854.17,273.05,1255.35,184.26,0.0,228.36,9.96,238.33,300.0,1017.03,194.89,-15.670000000000002,-150.0,12.21,33.600266928361144,13.39,0.23,0.09,0.69,7.67,32.470492044784905,41.70274012964054,40.081467295226865,40.66692692987625,49.56891573364761,22.58,22.29,3.74,2.56,9,2015,272.3733333333332,3016.8888888888887,271.52
2015-12-31,574.01,130.97000000000003,0.042301920544609815,0.017648057508675097,376.7099999999999,163.74,176.08999999999997,5.75,410.27,160.49,119.01,40.93,290.11,1070.05,292.53,1492.92,272.96,0.0,334.55,10.36,344.92,300.0,1148.0,206.73000000000008,-371.54,0.0,12.350000000000001,33.98131766816827,15.03,0.3,0.13,0.69,5.31,35.09107008869786,47.09179954781486,45.63401028596985,46.87052796342767,56.502349872046516,22.7,22.46,3.2,2.33,12,2015,54.639743589743375,3096.076923076923,402.49
2016-03-31,529.91,129.22,0.04,0.0,349.36,161.55,174.48,5.4,368.36,156.18,287.91,46.11,289.93,1163.95,306.41,1600.69,218.05,0.0,312.64,10.32,322.95,300.0,1277.74,101.78,67.12,0.0,12.93,33.75,12.68,0.25,0.04,0.0,0.0,32.28,43.24,40.44,42.36,50.16,24.63,24.39,3.72,2.8,3,2016,0.0,3230.5,129.22
2016-06-30,588.2200000000001,138.73,0.04659712632953909,0.08,392.43999999999994,173.64999999999998,188.82000000000002,8.25,414.56999999999994,169.18,264.41,49.13,299.52,1113.06,303.5,1549.01,300.96,0.0,369.38,10.93,380.31,300.0,1168.69,207.47,18.00999999999999,-248.99,15.170000000000002,44.26399571109349,21.18,0.33,0.09,0.08,0.92,35.82801268893451,49.66218175032655,47.487649188281395,49.68289158425079,58.85734801268893,24.18,23.96,3.01,2.2,6,2016,238.17777777777778,2977.222222222222,267.95
2016-09-30,738.8999999999999,210.25,0.07034713508992053,0.08030856452437381,495.06999999999994,263.59,279.22999999999996,9.5,475.31000000000006,258.98,323.72,49.65,397.45,1200.82,297.15,1632.72,426.84,0.0,480.58,11.39,491.98,300.0,1140.74,236.89,62.33000000000001,-239.89999999999998,15.64,33.76399048751486,24.98,0.43,0.16,0.16,1.02,51.51168966959431,72.93239230447512,73.72379757423673,77.94462567963195,91.39851526557925,25.95,25.75,2.5,1.67,9,2016,240.0222222222222,2988.75,478.2
2016-12-31,701.8100000000002,177.81,0.05963049343760003,-0.0003695065623999514,469.47,222.39,238.05000000000007,11.7,479.4200000000001,217.44999999999993,216.87,41.77,373.89,1312.53,303.8,1750.55,315.71,0.0,413.48,16.78,430.26,300.0,1320.29,156.99,-263.76,-0.08000000000004093,15.659999999999997,49.05040745739834,26.59,0.33,0.22,0.16,0.74,40.62462889285224,54.903421594183015,53.873440343897194,57.63558238441487,66.59099830795262,25.83,25.64,3.17,2.27,12,2016,-1.101818181818146,2981.8636363636365,656.01
2017-03-31,687.53,199.65,0.07,0.0,455.02,249.92,265.01,10.5,437.61,244.95,677.72,69.77,305.98,1567.16,296.8,1994.58,117.51,0.0,459.21,8.94,468.16,300.1,1526.42,272.7,183.33,4.83,15.09,37.5,20.64,0.31,0.07,0.0,0.0,40.04,55.599999999999994,52.32,56.96,65.12,29.25,29.04,3.41,2.75,3,2017,0.0,2852.142857142857,199.65
2017-06-30,887.3800000000001,273.18999999999994,0.09244226376787072,0.14,612.3900000000001,341.70000000000005,356.68000000000006,10.8,545.68,335.68,479.58,99.52,410.04,1589.13,290.42,2017.61,485.47,0.0,612.94,17.54,630.48,300.1,1387.14,323.3,-107.43,-414.02,14.98,29.207419744500168,23.37,0.45,0.16,0.14,0.86,54.17116656797224,76.68085779544876,78.78391929616784,85.50909398528042,97.34170374756786,30.23,30.02,2.59,1.92,6,2017,413.735,2955.25,472.84
2017-09-30,1064.55,348.19,0.11450409851040766,0.15394108619660665,712.5799999999999,431.21000000000004,446.47,16.0,633.3400000000001,425.6,263.27,122.0,415.05,1501.7,283.97,1980.13,582.18,0.0,666.56,18.23,684.79,300.27,1295.34,386.03999999999996,-160.91000000000003,-441.43,15.259999999999998,34.933684051810786,37.09,0.53,0.27,0.29,1.07,70.33096184061483,96.04773418754492,107.51510760873538,114.35142637906044,132.0953207556362,31.3,31.11,2.25,1.63,9,2017,468.1120370370369,3040.8518518518517,821.03
