,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2010-06-30,90.59000000000002,-17.83999999999999,-0.003554492926877862,0.0,32.81,-14.280000000000001,-1.9099999999999966,0.06,0.45,104.87,-13.02,64.63,67.9,2.62,157.59,100.09,323.23,6.12,16.69,6.77,83.53,20.98,104.51,550.0,229.56,-8.66,1.48,29.59,12.370000000000001,-4.220011210762334,0.14,0.46,-0.02,-22.080510061765278,-21.29852161785215,-31.08759513847378,-32.53071926678619,-27.483339310619627,-60.51,-59.56,1.89,1.86,6,2010,0.0,5019.0,-100.38
2010-09-30,95.12,-21.710000000000008,-0.003556392824965191,0.0,26.549999999999997,-16.22999999999999,0.8599999999999994,0.23,1.29,111.35999999999996,-19.189999999999998,29.61,78.4,5.51,177.16,119.14,368.65,12.38,21.47,8.98,134.34,18.48,152.82,154.0,207.84,-74.91,17.58,22.31,17.09,-16.168067710732377,0.17,0.74,-0.02,-23.557546072569423,-20.36390531575068,-41.780502907691066,-32.83261856007864,-33.06022770087641,-47.38,-46.3,1.32,1.28,9,2010,0.0,6104.5,-122.09
2010-12-31,120.16999999999996,-32.359999999999985,-0.00838070573000971,0.0,16.599999999999994,-31.200000000000017,10.010000000000005,0.17,0.0,151.35000000000008,-25.810000000000002,22.27,94.81,5.88,176.93,122.35,372.58,0.0,16.71,9.81,176.02,15.94,191.97,154.0,175.49,-23.510000000000005,-9.14,25.310000000000002,41.21,-5.071171971569841,0.15,1.09,-0.04,-34.738025250890246,-30.20406345095499,-73.75859112981544,-51.22287342181934,-59.7376704435092,-41.51,-40.24,1.01,0.97,12,2010,0.0,3861.2499999999995,-154.45
2011-03-31,78.86,-73.02,-0.47,0.0,-24.29,-74.27,-39.25,0.16,0.0,153.12,-68.58,18.69,53.55,0.7,110.8,113.07,287.7,0.0,26.25,10.01,184.88,15.42,200.31,154.0,101.38,4.63,-7.35,-0.87,35.02,-0.085,0.24,1.98,-0.47,-101.52,-98.76,-288.12,-167.48,-288.92,-92.72,-92.59,0.6,0.6,3,2011,0.0,155.36170212765958,-73.02
2011-06-30,71.05999999999999,-51.46000000000001,-0.033071979434447306,0.0,-20.47,-55.209999999999994,-20.270000000000003,0.17,0.0,126.29000000000002,-58.32000000000001,5.01,53.7,0.64,80.8,108.34,251.12,0.0,25.2,10.18,206.85,16.22,223.07,154.0,49.92,-12.940000000000001,1.63,-2.37,34.93999999999999,-1.2880994947532063,0.52,4.47,-0.08,-81.96890102827764,-74.56077763496145,-412.34143958868907,-147.3025964010283,-483.64462724935737,-83.56,-83.03,0.39,0.39,6,2011,0.0,1556.0,-124.48
2011-09-30,74.26000000000002,-33.489999999999995,-0.021200227891371777,0.0,-5.550000000000004,-35.5,-12.910000000000004,0.16,0.0,109.75,-34.73999999999998,28.65,53.52,0.0,116.68,101.49,269.47,0.0,21.86,10.25,242.22,21.9,264.11,154.0,32.43,3.4000000000000004,-1.4100000000000001,21.65,22.590000000000003,-1.8867721707972533,0.76,8.14,-0.1,-49.71029435968854,-43.85055137051339,-413.07372032664426,-111.504718617459,-513.4101588909285,-71.08,-70.47,0.48,0.48,9,2011,0.0,1579.6999999999998,-157.97
2011-12-31,71.68,-21.430000000000007,-0.014334448160535121,0.0,-2.8699999999999974,-23.850000000000023,3.3600000000000136,0.1,0.0,95.52999999999997,-17.560000000000002,10.83,46.68,0.0,85.94,95.04,227.72,0.0,19.07,10.38,225.76,16.8,242.56,162.0,15.18,-18.13,-1.5900000000000007,1.8999999999999986,27.210000000000008,-1.7370741950536623,1.07,15.98,-0.12,-37.642260869565234,-30.059337792642147,-564.6912508361205,-89.91521516164997,-4603.355125975475,-61.23,-60.64,0.38,0.38,12,2011,0.0,1495.0,-179.4
2012-03-31,68.73,-21.84,-0.01,0.0,10.75,-22.56,-5.93,0.1,0.0,91.3,-6.47,44.76,37.98,0.0,97.56,84.38,214.81,0.0,19.97,0.81,197.77,11.24,209.01,210.78,37.94,4.56,-1.0,30.37,16.63,-2.5,0.56,5.51,-0.01,-40.68,-35.92,-230.24,-125.4,-529.56,-32.23,-31.78,0.49,0.49,3,2012,0.0,2184.0,-21.84
2012-06-30,64.39,-23.680000000000003,-0.010404217926186293,0.0,22.07,-23.31,-14.170000000000002,0.09,6.18,87.7,-13.260000000000002,122.41,54.78,0.0,178.53,75.82,275.69,0.0,132.94,0.78,178.84,17.77,196.61,210.78,87.36,-0.3299999999999992,1.8199999999999998,76.16,9.14,-2.162584459459459,0.22,2.25,-0.02,-34.354727592267146,-36.22748681898067,-108.43275922671354,-138.00154657293498,-98.54875219683655,-35.28,-34.19,1.0,1.0,6,2012,0.0,2276.0,-45.52
2012-09-30,74.78999999999999,17.720000000000002,0.006374100719424462,0.0,33.02,18.72,24.94,0.1,6.19,56.05000000000001,18.36,103.86,44.12,0.0,148.99,83.4,264.07,0.0,125.68,0.75,146.65,20.56,167.21,291.2,105.08,14.629999999999999,-16.5,-16.680000000000007,6.219999999999999,3.9221218961625275,0.28,1.59,-0.01,26.84771223021583,25.955338129496404,67.4634820143885,103.08195683453238,58.94768345323742,-13.79,-13.37,1.02,1.02,9,2012,0.0,2780.0,-27.8
2012-12-31,90.00000000000003,32.68,0.0,0.0,32.519999999999996,33.989999999999995,40.3,0.5,5.82,56.01999999999998,23.470000000000002,85.41,39.75,0.0,125.51,92.86,254.28,0.0,85.18,1.28,89.83,33.29,123.12,291.2,138.06,13.939999999999998,-15.649999999999999,-16.72999999999999,6.309999999999999,0.0,1.05,0.89,0.0,51.43081967213114,76.07475409836066,94.55770491803278,170.63245901639343,111.43344262295082,1.77,1.64,1.4,1.4,12,2012,0.0,inf,4.88
