,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2010-09-30,539.5899999999999,16.76,0.08476878612716764,-0.002179672447013493,67.53999999999999,29.750000000000007,35.31,3.06,1.28,509.84000000000003,30.630000000000003,41.64,164.88,296.6,874.51,283.1,1345.17,43.2,185.27,2.04,664.65,99.47,764.12,201.88,581.05,4.380000000000003,-43.63,21.08,5.559999999999999,9.023663484486873,1.06,1.32,0.21,0.05,0.24,4.989248554913295,9.930057803468209,11.544701348747592,11.851483622350674,17.292832369942197,3.0,2.99,1.32,0.87,9,2010,-0.4309523809523821,197.71428571428572,41.52
2010-12-31,553.2,20.229999999999997,0.10155951417004047,0.00037131289762869083,66.80000000000001,34.08999999999999,39.480000000000004,3.14,1.46,519.1099999999999,52.379999999999995,56.2,160.34,314.95,881.46,288.36,1355.17,59.44,184.17,0.0,606.49,147.35,753.84,201.93,601.33,-72.16,24.37,62.35000000000001,5.390000000000001,7.730196490360852,1.05,1.25,0.31,0.05,0.16,5.975630769230768,11.282934412955463,13.458273684210523,14.087287449392711,18.72626396761133,3.19,3.18,1.45,0.93,12,2010,0.07396313364055374,199.19354838709677,61.75
2011-03-31,665.25,22.55,0.11,0.0,82.42,45.32,50.58,3.84,0.37,619.92,39.1,70.22,202.43,351.04,1089.77,296.35,1600.03,32.01,359.84,0.0,839.95,152.24,992.19,204.82,607.83,61.42,-8.05,-39.35,5.26,8.7275,1.29,1.63,0.11,0.0,0.0,5.639999999999999,13.04,14.84,15.44,23.84,3.42,3.39,1.3,0.88,3,2011,0.0,205.0,22.55
2011-06-30,840.4300000000001,44.69,0.21932926829268296,0.10000000000000002,99.36999999999999,56.059999999999995,62.25,3.92,0.37,784.38,67.75,88.37,393.3,363.42,1399.37,303.11,1920.98,161.28,403.26,0.0,1171.38,117.46,1288.84,215.16,632.14,-42.13,-13.07,73.35,6.1899999999999995,4.468623853211009,1.33,2.04,0.33,0.1,0.3,9.304878048780488,17.120975609756098,28.286829268292685,29.881951219512196,35.943414634146336,4.49,4.47,1.19,0.88,6,2011,20.375757575757575,203.75757575757572,67.24
2011-09-30,995.3300000000002,20.99000000000001,0.09991839510370626,0.003005574273850386,76.06000000000003,32.71000000000001,39.530000000000015,3.2,0.0,962.6200000000001,19.090000000000003,96.41,349.38,429.51,1483.23,310.95,2033.91,118.85,508.25,0.0,1227.29,153.45,1380.74,215.21,653.17,30.230000000000004,-15.059999999999999,-7.140000000000001,6.82,8.007534540257263,1.05,2.11,0.42,0.1,0.24,4.129960330953192,7.555733877365979,12.856166836676874,13.607933809361901,15.815654539272364,3.54,3.53,1.21,0.86,9,2011,0.6313852813852847,210.07142857142858,88.23
2011-12-31,641.4899999999998,18.50999999999999,0.08844013490725122,-0.0003713964506544722,71.40999999999997,30.00999999999999,37.44,3.48,0.3,611.48,25.960000000000008,155.07,317.46,461.33,1425.42,313.12,2027.83,139.9,280.33,0.0,1137.71,218.43,1356.13,215.22,671.7,-16.700000000000003,-9.920000000000002,85.3,7.43,9.83207455429498,1.12,2.02,0.51,0.1,0.2,3.6485890949971878,6.728386734120289,11.022068577852723,11.632478920741983,12.790871275997747,3.41,3.4,1.25,0.85,12,2011,-0.07773109243697718,209.2941176470588,106.74
2012-03-31,915.59,44.4,0.21,0.0,129.06,66.22,74.28,4.3,0.0,849.36,66.32,197.75,305.16,467.73,1513.76,315.93,2138.95,139.14,494.9,0.0,1229.56,188.18,1417.74,220.34,721.21,79.27,-8.9,-27.7,8.06,5.12,1.31,1.97,0.21,0.0,0.0,8.32,14.16,24.64,26.72,29.12,4.85,4.85,1.23,0.85,3,2012,0.0,211.42857142857142,44.4
2012-06-30,999.07,53.03000000000001,0.23948681104382638,0.15,134.31,72.14000000000001,80.66,5.2,0.0,926.9499999999999,68.82,280.05,292.58,445.99,1749.66,321.02,2563.86,61.51,624.19,0.5,1701.6,120.95,1822.55,231.47,741.3,354.17,-93.16,-178.70000000000002,8.519999999999998,5.4291089949085425,1.62,2.46,0.44,0.15,0.34,8.273180745150365,13.433032946730986,28.607788155598897,30.893798624653602,34.943302884121934,5.1,5.09,1.03,0.77,6,2012,33.214772727272724,221.4318181818182,97.43
2012-09-30,1134.0399999999997,56.43000000000001,0.25306577408033276,0.0010451502546589277,132.82,81.27999999999997,90.41,7.05,0.24,1052.75,99.51000000000002,250.19,452.0,465.4,1927.37,325.0,2771.05,9.33,729.16,0.5,1874.42,98.85,1973.27,231.51,797.78,56.410000000000025,-11.399999999999991,-74.86999999999998,9.130000000000003,6.966370724791778,2.05,2.47,0.69,0.15,0.22,8.142116209541141,13.40881840634343,28.299355258026775,31.11608735213831,35.94267515923567,5.07,5.05,1.03,0.78,9,2012,0.23305335968380092,222.98550724637684,153.86
2012-12-31,1060.7300000000005,34.849999999999994,0.15512691431296693,0.0011145465897754202,110.60000000000002,47.54000000000002,56.849999999999994,9.0,-0.55,1013.19,49.41,628.17,305.29,536.16,2213.04,346.77,3093.82,18.22,712.75,0.74,2170.54,90.66,2261.2,231.51,832.63,458.40999999999997,-79.58,-0.8500000000000227,9.310000000000002,14.4984512195122,2.5,2.72,0.84,0.15,0.18,4.506067510995707,7.704636744210691,16.7389327539611,18.53397276243972,21.37796619151078,4.61,4.59,1.02,0.77,12,2012,0.2503881987577614,224.65476190476193,188.71
2013-03-31,1139.1,47.87,0.21,0.0,121.61,61.37,71.37,13.1,0.0,1077.74,54.66,412.78,375.53,582.9,2079.7,365.24,3090.96,17.57,715.24,0.75,2132.66,53.41,2186.07,231.51,904.88,-248.44,71.99,-38.94,10.0,15.595,3.35,2.42,0.21,0.0,0.0,6.200000000000001,9.4,21.16,23.56,25.600000000000005,4.23,4.2,0.98,0.7,3,2013,0.0,227.95238095238093,47.87
2013-06-30,1650.67,135.59,0.5469126785130274,0.04,274.3,169.32999999999998,180.04999999999998,7.9,0.14,1481.3300000000002,160.12,227.91,489.5,396.94,2345.01,370.11,3249.71,64.06,838.3,0.76,2187.23,31.92,2219.15,308.68,1030.56,187.3,-384.83,12.649999999999999,10.719999999999999,3.612642525259975,2.37,2.15,0.74,0.04,0.05,16.70300883026273,23.472900904829395,52.621868527199396,61.224657145971875,64.18094189469095,6.61,6.58,1.07,0.89,6,2013,9.916756756756758,247.91891891891893,183.46
