,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2007-09-30,29.799999999999997,2.9700000000000006,0.29700000000000004,0.0,,6.710000000000001,6.710000000000001,36.25,0.0,11.68,223.6,0.0,37.9,482.4,219.35,100.0,263.04,1.6899999999999995,-33.760000000000005,0.0,30.511279461279457,13.78,0.83,1.19,0.0,0.0,2.465848739495799,3.3443697478991603,4.512403361344538,4.572302521008405,12.36,9,2007,,,0.0,,10.0,11.9
2007-12-31,27.620000000000005,2.1899999999999995,0.21915542938254076,0.0,,-1.5500000000000007,-1.5500000000000007,65.0,0.0,12.25,104.97,0.0,37.68,468.08,202.74,100.0,265.34,-10.8,-74.43,0.0,74.1494292237443,24.5,0.76,1.41,0.0,0.0,1.8713697657913406,1.8651525904897086,3.3013200851667843,3.413229240596167,11.37,12,2007,,,0.0,,9.99290780141844,14.09
2008-03-31,27.04,-1.84,-0.18,1.0,,-1.84,-1.84,55.0,0.0,13.39,97.65,0.0,37.09,466.4,205.35,100.0,261.05,-12.59,11.27,0.0,-76.39,21.07,0.79,-0.18,1.0,-5.56,-1.56,-1.56,-2.8,-2.88,-6.8,3,2008,,,10.222222222222223,,10.222222222222223,-1.84
2008-06-30,26.97,-1.2,-0.11842105263157893,-0.008771929824561372,,-1.2,-1.2,52.0,0.0,13.189999999999998,129.92,0.0,36.76,483.4,241.52,100.0,241.88,24.8,3.67,-10.0,-109.77566666666668,21.5,1.0,-0.3,1.0,-3.33,-0.9947368421052631,-0.9947368421052631,-1.9894736842105263,-1.9105263157894736,-5.63,6,2008,,,-0.08888888888888857,,10.133333333333335,-3.04
2008-09-30,28.449999999999996,-4.9799999999999995,-0.4967581047381546,-0.010806317539484895,,-4.9799999999999995,-4.9799999999999995,52.0,0.0,13.490000000000002,125.08,0.0,36.08,474.46,248.23,100.0,226.23,4.119999999999997,1.040000000000001,0.0,-26.169678714859437,22.99,1.1,-0.8,1.0,-1.25,-4.197605985037407,-4.172768079800498,-8.817456359102245,-8.146832917705735,-9.73,9,2008,,,-0.10833333333333606,,10.024999999999999,-8.02
2008-12-31,29.870000000000005,-9.219999999999999,-0.919860788863109,-0.0001740139211135432,,-9.219999999999999,-9.219999999999999,52.0,0.0,13.119999999999997,213.52,0.0,35.74,454.36,246.52,100.0,207.84,4.190000000000001,0.259999999999998,0.0,-14.131377440347071,25.02,1.19,-1.72,1.0,-0.58,-8.107610208816705,-8.000649651972159,-17.734060324825986,-15.594849187935035,-15.35,12,2008,,,-0.0017441860465101655,,10.023255813953488,-17.24
2009-03-31,43.29,-11.22,-1.12,0.0,,-10.16,-10.16,52.0,0.0,13.58,227.87,0.0,36.17,491.14,294.8,100.0,196.34,19.07,-23.72,0.0,-11.6075,26.48,1.5,-1.12,0.0,0.0,-9.12,-8.48,-22.84,-19.64,-25.92,3,2009,,,0.0,,10.017857142857142,-11.22
2009-06-30,46.1,6.620000000000001,0.6620000000000003,0.0,,5.6000000000000005,5.6000000000000005,52.0,0.0,13.51,273.24,4.62,35.68,549.38,336.15,100.0,213.23,36.02,-7.16,0.0,19.636858006042296,24.39,1.58,-0.46,0.0,0.0,4.835478260869566,5.065739130434784,12.434086956521742,11.628173913043481,-5.15,6,2009,,,0.0,,9.999999999999998,-4.6
2009-09-30,48.52999999999999,-4.800000000000001,-0.48,0.0,,-4.840000000000001,-4.840000000000001,52.0,0.0,13.110000000000003,329.0,4.92,35.02,576.08,361.12,100.0,214.96,49.25,-14.489999999999998,0.0,-27.08375,24.19,1.68,-0.94,0.0,0.0,-3.3293617021276596,-3.656170212765958,-8.925957446808512,-8.70127659574468,-6.82,9,2009,,,0.0,,10.000000000000002,-9.4
2009-12-31,51.18000000000001,-14.479999999999999,-1.449212730318258,0.0,,-14.479999999999999,-14.479999999999999,52.0,0.22,13.799999999999997,273.92,4.79,34.27,525.97,326.26,100.0,199.7,-42.09,-2.990000000000002,0.0,-8.971491712707184,26.04,1.63,-2.39,0.0,0.0,-11.011591289782244,-11.811993299832494,-29.008509212730317,-28.426398659966498,-12.63,12,2009,,,0.0,,9.991631799163178,-23.88
2010-03-31,64.71,-6.02,-0.06,0.0,,-3.59,-3.59,47.25,0.0,14.81,261.9,4.44,33.71,544.2,349.81,100.0,194.39,2.43,-8.45,0.0,-196.875,24.31,1.8,-0.06,0.0,0.0,-4.44,-2.76,-12.4,-12.32,-9.3,3,2010,,,0.0,,100.33333333333333,-6.02
2010-06-30,71.05,11.54,1.1498188405797103,0.0,,11.85,11.85,47.25,0.0,14.589999999999998,201.72,7.66,33.09,592.05,387.19,100.0,204.86,46.01,-13.190000000000001,0.0,10.273466204506066,23.06,1.89,0.55,0.0,0.0,7.776956521739131,12.12536231884058,22.49463768115942,22.076521739130435,4.07,6,2010,,,0.0,,10.036363636363635,5.52
2010-09-30,89.74000000000001,-0.9499999999999993,-0.09562363238512028,0.0,,1.08,1.08,47.25,0.0,14.380000000000003,189.8,8.43,32.49,636.14,421.56,100.0,214.58,13.170000000000002,8.91,0.0,-123.53431578947378,22.02,1.96,0.46,0.0,0.0,-0.5986870897155356,-1.2805251641137845,-1.7711159737417927,-1.7711159737417927,0.0,9,2010,,,0.0,,9.934782608695652,4.57
2010-12-31,77.75999999999999,1.04,0.10381461675579323,0.0,,2.540000000000001,2.540000000000001,47.25,-0.06,13.949999999999996,153.5,9.14,31.98,820.1,591.99,100.0,228.11,9.810000000000002,-66.11999999999999,0.0,113.79129807692307,20.71,2.6,0.56,0.0,0.0,0.5042424242424243,1.3125133689839572,1.8241711229946524,1.9428163992869876,0.0,12,2010,,,0.0,,10.017857142857142,5.61
2011-03-31,78.13,4.75,0.47,0.0,,8.96,8.96,71.25,0.0,0.0,106.1,1.81,34.95,993.87,769.56,100.0,224.3,39.69,-3.09,0.0,37.9,31.77,3.43,0.47,0.0,0.0,1.92,4.68,8.48,9.08,0.0,3,2011,,,0.0,,10.106382978723405,4.75
2011-06-30,66.84,14.059999999999999,1.4052525252525252,0.0,,12.689999999999998,12.689999999999998,90.0,0.0,0.0,88.68,0.0,34.48,1367.83,1126.87,100.0,240.96,-0.5899999999999963,-16.82,0.0,16.010574324324324,37.35,4.68,1.88,0.0,0.0,4.126060606060606,6.607676767676767,23.35111111111111,25.234747474747472,0.0,6,2011,,,0.0,,10.00531914893617,18.81
2011-09-30,68.25,-2.6099999999999994,-0.261,0.0,,-0.41999999999999815,-0.41999999999999815,90.0,0.0,32.44,117.99,0.0,34.83,1366.92,1137.07,100.0,229.85,50.46999999999999,-21.169999999999998,0.0,-86.2137931034483,39.16,4.95,1.62,0.0,0.0,-0.7668888888888887,-1.366222222222222,-4.543333333333332,-4.6979999999999995,0.0,9,2011,,,0.0,,9.999999999999998,16.2
2011-12-31,61.41999999999999,-65.96,-6.601302250803859,0.0,,-66.01,-66.01,90.0,0.0,-32.44,116.8,0.0,35.83,2203.0,2022.61,100.0,180.39,-57.24999999999999,56.07,0.0,-3.4079866585809584,49.89,11.21,-4.98,0.0,0.0,-11.983086816720256,-15.69466237942122,-146.236077170418,-129.16282958199355,0.0,12,2011,,,0.0,,9.991967871485942,-49.76
2012-03-31,64.07,-29.55,-2.95,0.0,,-29.55,-29.55,90.0,0.0,0.0,243.15,0.0,35.37,2151.61,1994.43,100.0,157.18,72.24,54.11,0.0,-7.6275,57.26,12.69,-2.95,0.0,0.0,-5.48,-7.52,-75.2,-61.96000000000001,0.0,3,2012,,,0.0,,10.016949152542372,-29.55
2012-06-30,30.41000000000001,-3.429999999999996,-0.3432080048514247,0.0,,-3.429999999999996,-3.429999999999996,55.0,0.0,0.0,249.82,0.0,35.08,2035.04,1884.45,100.0,150.59,98.03000000000002,-91.37,0.0,-40.07118075801754,36.52,12.51,-3.3,0.0,0.0,-0.6739357186173431,-0.8070588235294109,-9.110612492419637,-7.009763493026069,0.0,6,2012,,,0.0,,9.993939393939394,-32.98
2012-09-30,46.64,-20.150000000000006,-2.01386222473179,0.0,,-20.150000000000006,-20.150000000000006,46.75,0.0,0.0,93.36,0.0,34.38,1900.45,1763.42,100.0,137.03,-119.25,-37.199999999999996,0.0,-5.800794044665011,34.12,12.87,-5.31,0.0,0.0,-4.247694334650857,-4.930359495576888,-58.81539619800491,-43.93329568981744,0.0,9,2012,,,0.0,,10.005649717514126,-53.13
2012-12-31,196.11,-10.189999999999998,-1.018678142766898,0.0,,-10.189999999999998,-10.189999999999998,78.0,0.0,0.0,110.88,0.0,33.24,1818.75,1688.61,100.0,130.14,-48.910000000000004,66.42999999999999,0.0,-19.138920510304224,59.94,12.98,-6.33,0.0,0.0,-2.2401263423878706,-2.027700568540745,-31.323145925457982,-26.250675931775106,0.0,12,2012,,,0.0,,10.003159557661927,-63.32
2013-03-31,81.63,26.02,2.6,0.0,,30.62,30.62,75.0,0.0,0.0,159.89,0.0,32.7,1807.8,1613.75,100.0,194.05,-17.66,66.66,0.0,7.2125,38.65,8.32,2.6,0.0,0.0,5.76,6.2,53.64000000000001,59.28,0.0,3,2013,,,0.0,,10.007692307692308,26.02
