,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2012-12-31,650.8000000000002,145.22000000000003,0.4847109654960582,0.053480136773601784,-63.96000000000001,183.66999999999996,188.84000000000003,19.8,97.89,159.02000000000004,-63.96000000000001,155.16,0.0,54.98,23095.6,19642.07,1725.0,3453.53,-856.7099999999996,-8.269999999999998,912.7500000000005,5.17,10.214592514805123,9.89,5.69,1.63,1.0,0.61,2.5097917477219207,3.7230560049145085,16.819173134022734,21.125071772294465,0.0,12,2012,16.02271459717082,,299.60122699386505,488.35
2013-03-31,661.53,152.7,0.44,1.0,-55.22,191.48,196.74,24.5,31.52,149.72,-55.22,110.9,0.0,55.95,24429.64,20777.86,1725.0,3651.78,-1230.39,-4.32,1106.91,5.26,13.92,11.57,5.69,0.44,1.0,2.27,2.52,3.52,16.72,21.08,0.0,3,2013,347.0454545454545,,347.0454545454545,152.7
2013-06-30,696.3700000000001,161.27000000000004,0.46741949867821775,-0.005864775731323309,-73.03999999999999,202.12000000000003,207.53999999999996,22.8,56.4,168.32000000000002,-73.03999999999999,368.75,0.0,57.94,26175.79,22706.33,1725.0,3469.46,-1356.4799999999998,-4.8100000000000005,1603.4399999999998,5.42,12.192206393005518,11.34,6.54,0.91,1.0,1.1,2.465509443577412,3.472259133038189,18.594050386979653,19.436432780201937,0.0,6,2013,-2.023476523476461,,345.02197802197804,313.97
2013-09-30,737.8199999999997,163.32,0.47221102474386634,0.0024296975207323645,-62.47,204.87,210.52999999999997,16.7,111.81,159.87,-62.47,236.56,0.0,55.22,27423.6,23790.82,1725.0,3632.78,-1216.37,-1.4399999999999995,1063.4300000000003,5.66,8.84032727161401,7.93,6.55,1.38,1.0,0.72,2.3815860378386304,3.3123208112468308,17.98508076850552,18.820004609356992,0.0,9,2013,0.8403408186017032,,345.86231884057975,477.29
2013-12-31,741.9900000000002,163.62999999999994,0.4748670660924919,-0.003719517324281282,-87.03,205.49,211.30000000000007,16.2,152.41,177.16000000000003,-87.03,212.01,0.0,55.85,28380.61,24584.2,1725.0,3796.41,-652.0300000000007,-7.77,734.6100000000001,5.809999999999999,8.52901851738679,7.36,6.48,1.86,1.0,0.54,2.3079560631592075,3.1862048305560746,17.23818510890594,18.055160706484422,0.0,12,2013,-1.2816736792894403,,344.5806451612903,640.92
2014-03-31,744.17,156.18,0.43999999999999995,1.0,-68.75,195.78,201.71,16.5,73.2,160.15,-68.75,148.32,0.0,56.67,28833.23,24880.64,1725.0,3952.59,-398.06,-4.99,253.74,5.93,9.375,7.2,6.29,0.44,1.0,2.27,2.16,2.96,15.8,16.44,0.0,3,2014,354.9545454545455,,354.9545454545455,156.18
2014-06-30,765.43,168.76,0.4778088262448452,-0.00497994035262477,-82.32,211.52,217.76000000000002,21.0,127.82,176.28,-82.32,160.67,0.0,69.18,29206.77,25430.2,1759.48,3776.57,-130.20999999999998,-18.9,233.76,6.24,10.989541656790708,9.78,6.73,0.92,1.0,1.09,2.3059469440512097,3.053821628608358,17.865895242198558,18.634544223548964,0.0,6,2014,-1.758893280632492,,353.195652173913,324.94
2014-09-30,776.9900000000002,169.99,0.4842824237770998,-0.006214756764021772,-74.22,212.91000000000003,219.23000000000002,19.8,189.32,170.11,-74.22,109.42,0.0,84.33,29126.62,25180.06,1759.48,3946.56,211.33999999999997,-22.03,-255.0,6.3199999999999985,10.219449967645154,8.83,6.38,1.41,1.0,0.71,2.3355464409108357,3.0087333562321947,17.2280896288364,17.9424920695856,0.0,9,2014,-2.181467776749855,,351.01418439716315,494.93
2014-12-31,777.5099999999998,176.07,0.5011828614008942,0.0008389087949603831,-70.52000000000001,221.02999999999997,227.5999999999999,18.9,242.4,168.44,-70.52000000000001,144.34,0.0,92.62,29465.4,25342.78,1759.48,4122.63,13.410000000000025,-14.839999999999996,72.0,6.57,9.432186062361563,8.07,6.15,1.91,1.0,0.52,2.3930825633383006,3.0543290611028318,17.08744918032787,17.790679582712368,0.0,12,2014,0.294716126397077,,351.3089005235602,671.0
2015-03-31,769.54,168.9,0.48000000000000004,1.3,-72.75,211.82,218.28,19.9,54.33,172.38,-72.75,197.59,0.0,111.53,29758.34,25466.81,1759.48,4291.52,-7.36,-25.02,88.0,6.46,10.365,8.16,5.93,0.48,1.3,2.71,2.28,2.88,15.76,16.4,0.0,3,2015,457.4375,,351.875,168.9
