,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-03-31,245.81,-111.7,-2.45,0.0,18.81,-92.2,-83.23,5.15,0.0,338.01,18.81,1.88,108.14,885.76,1007.23,695.16,1862.04,771.78,213.44,18.3,1046.73,169.17,1215.9,229.5,646.14,39.84,-4.89,-35.13,8.97,-0.525,0.37,1.88,-2.45,0.0,0.0,-24.0,-17.64,-69.16,-56.959999999999994,-45.24,-48.32,-45.44,0.96,0.12,3,2006,0.0,45.59183673469388,-111.7
2006-06-30,263.62,-30.799999999999997,-0.6721964912280701,0.0,17.280000000000005,-10.89,-1.7399999999999949,3.5,0.0,274.51,17.280000000000005,3.91,195.01,823.29,1029.31,692.13,1878.76,816.02,215.11,19.07,1098.6,164.82,1263.42,229.5,615.34,36.989999999999995,-6.420000000000001,-28.529999999999994,9.15,-1.307021103896104,0.26,2.05,-3.11,0.0,0.0,-6.553375438596491,-4.35738947368421,-20.023242105263158,-17.59382456140351,-11.420856140350878,-29.12,-27.97,0.94,0.19,6,2006,0.0,45.81993569131833,-142.5
2006-09-30,258.40000000000003,-30.080000000000013,-0.6570958396106156,0.0,12.809999999999995,-7.659999999999997,1.7000000000000028,3.76,0.0,266.06000000000006,12.809999999999995,2.26,167.67,819.82,997.66,686.21,1841.16,822.27,205.29,18.9,1095.95,159.96,1255.91,229.5,585.26,0.960000000000008,-3.119999999999999,0.529999999999994,9.36,-1.4343417553191484,0.29,2.15,-3.77,0.0,0.0,-6.532613280797313,-3.9112017615019137,-20.55995364468653,-17.82002085989107,-10.36015297253448,-23.26,-22.48,0.91,0.16,9,2006,0.0,45.77718832891247,-172.58
2006-12-31,269.05000000000007,-28.169999999999987,-0.6146181818181815,0.0,25.300000000000004,-6.890000000000001,2.5799999999999983,3.58,0.0,275.93999999999994,25.300000000000004,2.51,173.73,773.76,961.04,678.58,1796.91,735.65,199.39,27.15,1021.09,218.73,1239.82,229.5,557.09,20.25,-3.25,-16.71,9.470000000000002,-1.4609069932552365,0.29,2.23,-4.38,0.0,0.0,-6.269666749688665,-3.435126276463261,-20.22907696139476,-17.170018430884173,-8.50923437110834,-20.02,-19.36,0.94,0.18,12,2006,0.0,45.833333333333336,-200.75
2007-03-31,270.88,-30.45,-0.66,0.0,19.59,-9.66,-0.26,3.3,0.0,280.54,-9.92,1.78,166.45,752.53,931.68,670.48,1745.14,709.42,224.68,32.56,1013.39,211.58,1224.97,229.5,520.18,18.29,9.33,-28.34,9.4,-1.25,0.29,2.35,-0.66,0.0,0.0,-6.96,-2.16,-23.4,-20.88,-5.28,-11.56,-11.24,0.92,0.18,3,2007,0.0,46.13636363636363,-30.45
2007-06-30,233.17000000000002,-30.849999999999998,-0.6743719412724307,0.0,22.180000000000003,-11.870000000000001,-1.47,3.44,0.0,245.04000000000002,-8.85,17.51,161.84,730.39,919.63,720.97,1808.21,726.0,215.16,32.72,1032.14,207.7,1239.83,229.5,567.35,-5.889999999999999,12.729999999999999,8.68,10.4,-1.2766693679092382,0.28,2.19,-1.34,0.0,0.0,-6.824241435562806,-2.355269168026101,-21.74094616639478,-20.87533442088091,-5.576150081566068,-12.45,-12.16,0.89,0.18,6,2007,0.0,45.74626865671641,-61.3
2007-09-30,262.46999999999997,-57.21000000000001,-1.2454797063538943,0.0,10.909999999999997,-37.96,-28.46,3.38,25.8,300.41999999999996,-19.74,18.99,170.33,627.74,824.0,853.21,1684.43,673.81,211.13,26.72,965.88,206.87,1172.75,229.5,510.15,65.21,-3.799999999999997,-59.74000000000001,9.5,-0.6784133018703024,0.3,2.3,-2.58,0.0,0.0,-13.594073074002196,-6.507390093662983,-44.8565791916294,-41.786326892245384,-15.988483672263945,-15.9,-15.46,0.85,0.2,9,2007,0.0,45.934108527131784,-118.51
2007-12-31,270.28,-35.42999999999999,-0.7710179290632713,0.0,12.160000000000004,-18.71999999999999,-9.45,2.72,17.12,289.01,-17.490000000000002,40.01,160.54,584.11,795.33,707.37,1701.04,665.06,231.82,29.17,975.61,198.79,1174.4,229.5,525.98,55.72000000000001,-18.32,-16.36,9.27,-0.8798433530906014,0.24,2.23,-3.35,0.0,0.0,-8.33159672599714,-4.115164349746653,-26.946501234247105,-26.17318175912693,-9.924266597375599,-15.28,-14.85,0.82,0.22,12,2007,0.0,45.95223880597015,-153.94
2008-03-31,287.68,-20.56,-0.45,0.0,22.01,-3.18,6.22,2.74,1.29,290.86,-7.88,4.02,190.31,566.97,772.38,716.2,1688.42,654.49,261.06,30.76,995.07,187.93,1183.0,229.5,505.42,-0.72,-20.12,-15.11,9.4,-1.5225,0.25,2.34,-0.45,0.0,0.0,-4.88,-0.76,-16.28,-16.04,-1.8400000000000003,-7.38,-7.15,0.78,0.21,3,2008,0.0,45.68888888888888,-20.56
2008-06-30,250.47999999999996,-9.48,-0.20512649800266314,0.0,13.98,8.18,16.970000000000002,3.46,1.22,242.29999999999995,-14.95,2.39,177.2,558.12,744.27,743.14,1688.42,670.65,242.79,28.67,1000.28,185.83,1186.11,229.5,502.3,21.919999999999998,-24.19,0.5999999999999996,8.790000000000001,-4.214472573839663,0.32,2.36,-0.65,0.0,0.0,-2.2469241011984025,0.36607190412782953,-7.548655126498004,-7.09422103861518,0.921491344873502,-5.67,-5.58,0.74,0.19,6,2008,0.0,46.215384615384615,-30.04
