,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-09-30,64.23,2.13,0.3059454545454545,0.0,11.330000000000002,3.8199999999999994,6.039999999999999,8.4,0.0,60.41,3.8,20.35,55.87,91.14,167.96,83.88,297.18,82.31,6.92,0.0,97.4,0.0,97.4,70.0,177.06,2.6899999999999977,-0.07999999999999999,-17.57,2.2199999999999998,6.862089201877935,3.32,0.55,0.79,2.865818181818182,4.337454545454545,4.817672727272726,4.941599999999999,6.413236363636363,2.98,2.97,1.72,0.79,9,2005,0.0,6.962025316455696,5.5
2005-12-31,69.86000000000001,5.050000000000001,0.7227962085308057,0.0,14.509999999999998,6.74,8.93,8.2,0.0,63.110000000000014,7.18,10.77,68.53,74.89,154.63,81.62,281.34,44.31,22.61,0.0,76.84,0.0,76.84,70.0,181.98,28.630000000000003,-0.18,-38.03,2.1900000000000004,2.8359653465346533,3.15,0.42,1.51,7.180094786729858,10.549952606635072,11.10521327014218,11.411563981042654,14.053838862559243,4.14,4.14,2.01,1.04,12,2005,0.0,6.986754966887418,10.55
2006-03-31,89.44,3.7,0.53,0.0,10.9,5.36,7.49,14.0,0.0,84.08,3.55,14.61,86.87,107.53,213.76,79.7,338.55,65.77,57.4,0.0,130.64,0.0,130.64,70.0,185.56,-17.69,-0.45,21.98,2.13,6.605,5.28,0.7,0.53,4.36,6.36,7.96,8.24,10.32,4.22,4.14,1.64,0.81,3,2006,0.0,6.981132075471698,3.7
2006-06-30,57.5,-0.6300000000000003,-0.09029315960912057,0.0,7.9,0.4399999999999995,2.619999999999999,10.1,0.0,57.05999999999999,0.3400000000000003,16.5,73.73,86.11,177.46,42.37,300.69,78.93,8.21,0.0,93.69,0.0,93.69,70.0,184.81,-9.899999999999999,-0.8500000000000001,12.639999999999997,2.1799999999999997,-27.958928571428554,3.83,0.51,0.44,-0.837263843648209,-1.4611074918566784,-1.3626058631921831,-1.4036482084690562,-2.298371335504887,2.12,2.09,1.89,0.98,6,2006,0.0,6.977272727272727,3.07
2006-09-30,44.599999999999994,-0.77,-0.11047826086956523,0.0,6.09,-0.040000000000000036,2.17,8.8,0.0,44.650000000000006,-1.8600000000000003,11.26,41.42,74.33,127.77,40.79,249.0,24.94,11.35,0.0,43.07,0.0,43.07,70.0,183.92,49.230000000000004,-0.47,-54.0,2.21,-19.91590909090909,3.35,0.23,0.33,-1.2320000000000002,-2.8255652173913046,-1.6739130434782612,-1.7006956521739132,-3.7495652173913046,1.22,1.2,2.97,1.24,9,2006,0.0,6.969696969696969,2.3
2006-12-31,68.64000000000001,-0.3599999999999999,-0.051958762886597926,0.0,6.969999999999999,-0.05999999999999961,2.08,7.55,0.0,68.70000000000002,-1.0299999999999998,21.33,56.64,98.81,179.34,38.89,298.27,20.02,65.21,0.0,92.99,0.0,92.99,70.0,183.44,15.049999999999997,-0.07000000000000006,-4.91,2.1400000000000006,-36.32111111111112,2.88,0.51,0.28,-0.4824742268041236,-1.4622680412371127,-0.78680412371134,-0.78680412371134,-2.0635051546391745,0.76,0.75,1.93,0.87,12,2006,0.0,6.928571428571428,1.94
2007-03-31,56.47,-2.97,-0.42,0.0,4.96,-1.99,-0.61,7.25,0.0,58.45,-3.36,29.96,56.57,80.76,167.86,36.35,286.17,70.17,8.75,0.0,84.14,0.0,84.14,70.0,180.35,-42.49,0.0,51.13,1.38,-4.315,2.81,0.47,-0.42,-4.16,-2.56,-6.6,-6.4799999999999995,-3.96,-5.39,-5.26,2.0,1.04,3,2007,0.0,7.071428571428572,-2.97
2007-06-30,43.769999999999996,-2.5399999999999996,-0.3641742286751361,0.0,5.1499999999999995,-1.6900000000000002,-0.30000000000000004,7.8,0.05,45.47,-2.3300000000000005,10.76,45.69,125.15,182.13,35.37,298.9,27.37,65.78,0.0,99.69,0.0,99.69,70.0,177.68,24.650000000000002,-0.09,-43.77,1.3900000000000001,-5.352726377952756,3.07,0.56,-0.79,-3.3928130671506347,-2.2680217785843917,-5.7161524500907435,-5.605517241379309,-3.4112522686025404,-5.61,-5.5,1.83,0.57,6,2007,0.0,6.9746835443037964,-5.51
2007-09-30,38.55,-4.23,-0.6036652977412731,0.0,3.7200000000000006,-3.7399999999999998,-2.36,7.6,0.0,42.290000000000006,-4.489999999999999,17.38,33.58,117.12,171.73,34.55,287.11,78.69,7.14,0.0,92.44,0.0,92.44,70.0,173.32,-45.0,-0.24000000000000002,51.86,1.3800000000000003,-3.148806146572104,3.07,0.53,-1.39,-5.88899383983573,-4.811950718685831,-9.762874743326488,-9.467556468172486,-6.618603696098563,-7.16,-7.02,1.86,0.59,9,2007,0.0,7.007194244604317,-9.74
2007-12-31,46.73000000000002,-3.619999999999999,-0.5175299401197604,0.0,4.540000000000001,-2.42,-1.0399999999999996,5.4,0.0,49.150000000000006,-3.08,11.6,36.96,109.32,159.78,33.5,273.28,56.15,18.87,0.0,82.52,0.0,82.52,70.0,169.59,17.110000000000007,0.23,-23.119999999999997,1.38,-2.611104972375691,2.23,0.49,-1.91,-5.299940119760477,-3.728383233532934,-8.540598802395209,-8.204610778443113,-5.592574850299401,-7.36,-7.2,1.94,0.61,12,2007,0.0,6.994764397905759,-13.36
