Name ,MCap (M),NVDR (Val),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG
SCN,"9,300","422,375.00",30.19,3.71,0.81,0.14,0.26,8.91,12.78,12.2,1.84,25.87,,578,580,0.32,1
SCP,"2,400","9,410.00",8.99,1.41,0.22,0.35,0.89,16.78,16.25,16.48,4.35,52.85,,207,122,0.22,1
SE,682,"109,496.00",25.42,,0.60,0.08,0.11,,,,2.94,27.68,,,,,
SE-ED,"1,568",,126.79,1.78,1.84,0.01,0.03,1.75,1.37,0.29,0.25,37.63,,940,939,-4.04,3
SEAFCO,"3,118","-4,728,530.00",19.97,2.96,0.77,0.15,0.51,10.99,15.33,8.31,2.52,63.07,,425,426,-0.33,2
SEAOIL,"1,638","-1,827,718.00",,1.07,1.04,0.05,0,2.05,-2.16,-0.63,1.25,36.53,19.99,,,,1
SELIC,829,,21.23,2.29,0.35,0.05,0.14,11.68,16.83,6.96,1.79,31.59,,424,427,,
SENA,"4,204","-430,396.00",5.51,1.04,0.89,0.01,0.67,13.15,20.18,18.54,5.62,46.93,,95,118,0.15,1
SF,"11,281","-131,150.00",11.70,1.28,0.60,0.20,0.54,8.05,11.4,48.05,3.15,46.48,,356,361,0.42,
SFP,"3,927",,10.91,1.50,0.14,9.00,17.15,23.44,25.92,19.37,4.74,28.73,,143,124,1.17,2
SGF,"4,978","37,620.00",47.13,3.17,0.03,,0.01,4.26,7.24,91.78,,80.15,,785,806,0.28,
SGP,"11,395","2,716,570.00",10.19,1.18,1.94,0.35,1.22,5.84,11.57,2.31,4.13,30.59,12.77,301,387,-0.13,
SHANG,"8,840",,15.32,1.10,0.07,2.00,4.44,8.29,7.28,24.26,2.90,13.03,,546,436,0.05,
SIAM,"1,566",-100.00,,0.68,0.50,0.01,0,0.18,-1.35,-1.53,0.38,38.26,,,,,2
SIM,"4,268",,,1.80,2.28,,0,-7.3,-26.09,-20.79,,26.92,,,,,3
SIMAT,"1,464","15,040.00",,2.27,1.24,,0,1.71,-1.69,-0.86,,54.44,,,,,
SINGER,"3,321","1,055,100.00",27.71,2.04,0.93,0.25,0.44,5.15,7.48,4.71,2.02,75.00,,686,690,7.43,2
SIRI,"27,428","15,118,514.53",8.11,0.97,1.59,0.08,0.24,6.95,12.23,9.83,6.42,74.51,,251,310,0.44,1
SIS,"2,486","5,730.00",10.93,1.45,1.90,0.40,0.65,7.61,13.8,1.23,5.63,26.72,,288,356,-0.08,2
SITHAI,"5,339","-1,961,513.00",20.84,1.14,1.36,0.10,0.09,4.05,5.45,2.71,5.10,51.94,,657,648,3.37,3
SKR,"7,664","614,750.00",40.39,2.25,0.53,0.55,1.26,6.93,7.13,7.5,1.07,59.12,,769,701,2.72,1
SLP,"2,592","-32,668.00",35.89,2.60,0.05,0.04,0.06,8.79,7.35,13.53,2.91,30.38,,725,602,0.87,1
SMART,483,,,0.88,0.24,,0,-4.87,-6.53,-11.73,,19.86,,,,,
SMIT,"2,364","-111,700.00",12.01,1.12,0.14,0.12,0.37,10.27,9.42,9.56,5.83,36.84,,422,307,20.49,1
SMK,"9,100",,10.86,1.78,1.75,1.80,4.19,7.12,17.65,8.45,3.97,13.55,,218,371,0.73,2
SMM,436,,,1.21,1.90,,0,-12.54,-38.48,-40.68,,56.06,,,,,
SMPC,"8,836","-3,350.00",16.33,6.82,0.61,0.34,1.02,34.86,45.85,14.99,3.86,42.51,,227,225,0.48,2
SMT,"5,228","63,160.00",403.63,2.96,0.98,,0.02,2,0.74,0.36,,61.92,11.67,963,941,-3.45,2
SNC,"4,576","1,965,470.00",11.39,1.82,0.99,0.40,1.4,9.57,16.43,5.34,5.66,48.39,,259,309,-2.42,3
SNP,"12,628",,28.86,5.42,0.55,0.70,0.89,14.81,18.46,5.52,3.08,22.21,,476,450,8.15,2
SOLAR,"1,937","326,506.00",,0.99,1.04,,0,-0.54,-2.54,-3.66,,70.68,,,,,
SORKON,"1,940",,17.77,2.36,1.79,2.75,3.38,8.34,14.35,4.04,4.55,39.55,,412,472,0.88,1
SPA,"7,125",420.00,50.54,11.16,0.35,0.05,0.25,21.76,23.62,19.07,0.80,32.20,,508,475,0.72,1
SPACK,672,,,1.41,1.60,,0,-0.71,-7.19,-3.91,1.25,24.28,,,,,
SPALI,"42,742","-1,022,930.00",8.75,1.86,1.22,0.55,2.85,13.29,22.85,20.73,4.27,64.86,,113,156,0.56,3
SPC,"14,768",,10.75,1.08,0.69,1.10,4.16,7.57,10.63,4.12,2.47,44.64,,348,349,1.29,1
SPCG,"20,605","3,498,007.02",8.90,2.48,1.74,0.70,2.51,13.77,29.93,41.74,4.95,39.53,,86,157,0.04,1
SPG,"6,417","-1,860.00",11.38,1.38,0.08,0.45,1.64,14.5,12.55,16.94,4.21,15.00,,328,203,0.69,
SPI,"16,056",,8.82,0.73,0.12,0.10,3.68,8.01,8.66,39.32,0.71,49.63,,357,291,1.16,2
SPORT,422,,,1.96,6.85,,0,-15.52,-91.19,-32.43,,42.60,9.99,,,,
SPPT,"1,438","-18,325.00",,3.12,0.49,,0,-1.02,-3.66,-4.07,,34.59,,,,,2
SPRC,"56,800","-4,519,010.00",6.54,1.36,0.44,0.64,2,18.21,22.15,5.58,9.10,33.96,,87,64,1.16,2
SPVI,280,"24,568.00",54.51,1.01,0.44,0.01,0.01,1.77,1.85,0.29,1.71,50.12,,896,902,-1.43,1
SQ,"6,328","-20,445,320.00",19.61,2.81,1.67,,0.29,10.63,21.58,11.08,,48.19,,338,429,,
SR,"1,824","-112,838.00",17.91,1.92,0.45,0.06,0.17,9.21,11,7.34,3.82,29.39,,489,452,0.36,2
SRICHA,"5,888","-184,340.00",60.52,3.08,0.16,0.40,0.31,5.69,5,8,2.09,48.91,,848,782,-1.94,
SSC,"13,827",,,1.57,0.42,,0,-4.27,-4.57,-4.03,,14.21,,,,,1
SSF,"2,889",,18.71,1.59,0.63,0.30,0.57,16.12,8.56,2.65,2.78,25.21,,562,319,-0.04,2
SSI,"1,608",,,,-1.53,,0,-0.76,,-14.01,,50.38,,,,,
SSSC,"2,720","84,000.00",9.79,0.99,0.32,2.20,4.34,9.74,10.5,6.06,5.18,41.81,,326,259,2.15,3
SST,"5,387","344,140.00",,2.87,1.59,0.01,0,-1.82,-7.19,-4.18,0.08,32.21,11.96,,,,2
STA,"24,192","23,905,120.00",,1.22,1.82,0.40,0,-0.73,-3.69,-0.97,2.17,54.59,,,,,2
STANLY,"15,785","165,500.00",11.63,1.21,0.14,5.00,17.71,11.72,10.79,11.07,2.43,38.15,,367,257,1.03,1
STAR,"1,165","11,882.00",,,-7.24,,0,-32.94,,-100.36,,65.18,,,,,
STEC,"37,670","-5,012,330.00",27.28,3.64,1.39,0.22,0.91,7.33,14.06,7.4,0.90,70.63,,525,608,2.39,3
STHAI,"9,090",,,91.00,0.11,,0,0.51,0.36,0.65,,84.28,,,,,
STPI,"15,277","-5,212,030.00",11.18,1.43,0.12,0.39,0.84,12.97,13.28,13.63,4.13,75.71,13.33,308,222,0.24,1
SUC,"12,075","306,850.00",9.13,0.63,0.16,1.50,4.41,7.87,7.05,10.81,3.73,56.12,,411,306,0.53,1
SUPER,"33,093","1,446,156.00",91.51,2.88,2.92,,0.01,3.9,3.21,9.51,,51.45,12.64,897,859,2.79,
SUSCO,"4,114","1,550,126.00",14.45,1.23,0.63,0.06,0.26,6.67,8.82,1.47,2.96,65.39,14.23,480,472,0.11,2
SUTHA,"1,710",,25.15,2.95,0.62,0.09,0.23,8.22,11.29,8.45,3.01,29.10,,560,559,-2.74,2
SVH,"34,600",,25.32,4.79,0.37,6.00,13.66,17.6,19.47,13.38,3.15,4.23,,426,384,1.95,
SVI,"12,235","-3,191,200.00",7.63,1.73,0.51,0.08,0.71,19.32,25.08,12.88,1.48,55.24,,80,71,-0.04,3
SVOA,884,"-869,013.00",16.28,0.61,1.68,0.01,0.08,2.67,3.79,1.08,1.11,65.34,,628,641,64.61,
SWC,"1,710","-2,300.00",11.04,2.41,0.31,0.25,1.03,21.76,23.11,12.51,3.95,37.69,,167,130,0.63,2
SYMC,"3,482",,35.04,2.49,1.88,,0.31,5.54,7.37,7.15,,44.83,,731,719,-2.93,2
SYNEX,"6,509","1,870,440.00",15.99,2.62,2.05,0.26,0.53,8.16,16.95,1.7,4.39,25.08,,335,439,1.54,2
SYNTEC,"7,264","667,040.00",8.35,1.71,1.11,0.11,0.54,13.15,22.66,10.84,3.28,70.77,10.72,110,153,0.45,2
T,"1,214","196,911.00",,2.00,0.92,,0,-25.85,-44.46,-79,,59.06,,,,,
TACC,"4,773","100,090.00",46.87,7.27,0.42,0.08,0.17,14.66,16.02,8.6,1.82,49.59,,587,523,0.92,1
TAE,"2,900","14,500.00",16.28,1.68,0.86,0.05,0.18,7.08,10.37,7.36,5.21,40.83,,481,493,0.69,2
TAKUNI,856,"-3,424.00",51.90,1.06,0.62,0.03,0.02,3.58,2.71,1,2.79,39.87,,878,842,2.71,2
TAPAC,"7,778","-5,302,300.00",94.34,13.34,1.59,0.04,0.29,12.03,23.18,6.9,0.09,44.50,,546,615,1.43,
TASCO,"42,344","-15,461,147.50",13.61,3.48,0.60,0.60,2,21.4,27.67,12.75,3.33,36.10,,199,194,0.2,2
TBSP,"1,821",,21.34,2.93,0.57,0.53,7.75,11.17,13.77,6.83,1.36,29.09,,478,442,9.08,2
TC,"1,102",,,0.62,0.39,0.10,0,-2.74,-3.59,-1.62,3.01,41.15,,,,,
TCAP,"56,704","10,620,875.00",9.11,0.96,14.89,1.20,5.16,1.37,10.98,10.28,4.30,78.70,,301,524,0.9,3
TCB,"9,600","1,061,675.00",6.41,0.73,0.38,0.60,4.99,10.71,12.04,27.75,1.88,30.26,,236,180,0.11,
TCC,"1,267","-5,099.00",150.35,1.48,0.07,,0.01,1.55,0.93,0.77,,43.63,,950,955,-0.73,2
TCCC,"25,143","61,750.00",10.90,2.60,0.16,3.20,3.94,27.71,25.8,18.18,7.49,16.54,,142,113,0.44,1
TCJ,680,"312,500.00",,0.52,1.31,,0,2.27,-0.17,-0.18,,63.10,,,,,
TCMC,"1,984","-13,780.00",11.31,1.42,2.22,0.12,0.34,8.78,13.73,4.48,3.08,61.77,,299,325,4.63,1
TCOAT,315,,7.04,0.65,0.16,0.75,4.26,8,9.56,6.14,2.59,27.56,,305,261,-0.04,
TEAM,815,"33,635.00",,1.16,0.44,,0,-1.19,-1.24,-0.72,,24.50,,,,,1
TF,"35,910",,16.57,2.30,0.18,2.65,12.04,13.68,14.8,16.48,2.05,17.85,,387,331,1.05,2
TFD,"2,919","2,686,704.00",,1.43,3.68,,0,0.65,-16.85,-32.74,,56.72,19.14,,,,1
TFG,"31,929","102,585.00",22.07,5.21,1.55,,0.28,12.65,26.84,6.96,,15.63,13.30,340,421,-0.12,1
TFI,"2,048","45,984.00",,3.13,2.34,,0,-0.37,-13.72,-6.81,,15.39,,,,,2
TGCI,"4,346",,21.86,1.27,0.10,0.08,0.12,6.49,5.84,8.45,3.13,16.82,,669,594,-5.09,2
TGPRO,"1,876","-2,148.00",437.59,0.90,0.51,,0,0.98,0.22,0.31,,56.76,,974,981,-2.24,
TH,724,,,0.65,0.05,,0,-6.47,-6.52,-56.05,,61.96,,,,,
THAI,"38,635","-7,757,820.00","2,551.93",1.15,7.45,,0.01,1.34,0.05,0.01,,46.84,,984,979,-23.3,2
THANA,443,,25.25,1.02,2.33,,0.07,2.99,4.05,2.22,,31.34,,728,735,-0.23,2
THANI,"11,936","1,620,931.00",13.55,2.39,5.66,0.21,0.36,3.51,18.41,29.52,4.22,26.98,,279,561,0.32,2
THCOM,"20,495","-4,986,800.00",12.72,1.11,0.75,0.70,1.47,7.5,8.91,13.35,3.76,51.25,,448,406,0.14,3
THE,"4,785","38,830.00",8.78,2.82,2.17,0.10,0.99,14.44,35.51,3.44,5.75,12.13,,71,142,-0.01,
THIP,"3,520","43,200.00",10.87,2.62,0.32,14.18,40.5,25.3,26.41,11.98,3.34,28.96,,127,103,0.24,2
THL,348,,,,0.08,,0,-18.93,,-79.82,,34.16,,,,,
THRE,"8,514","52,770.00",30.66,1.60,1.70,0.05,0.07,2.52,5.17,7.08,7.50,52.31,,761,801,-0.66,2
THREL,"5,160","26,150.00",16.04,3.93,0.56,0.20,0.54,19.13,24.79,15.63,4.57,78.36,,276,264,1.15,2
TIC,587,,14.55,0.97,4.02,0.70,1.72,1.7,7.17,2.97,2.87,42.57,,528,635,-0.4,1
TICON,"28,613","119,850.00",104.04,1.50,2.16,0.08,0.15,3.31,2.38,11.09,0.52,42.55,,919,885,5.27,2
TIP,"13,425","-3,248,850.00",8.56,2.04,7.38,2.00,5.23,3.46,25.23,24.18,6.08,52.26,,97,444,0.04,
TIPCO,"7,914","-4,340,196.90",9.73,1.94,0.58,0.16,1.69,12.15,21.3,13.32,2.39,44.38,,151,198,0.04,2
TISCO,"53,043","15,866,294.50",10.60,1.70,7.68,3.50,6.25,2.26,16.88,22.5,5.26,74.06,,225,523,1.16,3
TIW,900,,,1.19,0.18,20.00,0,-6.52,-7.17,-21.19,13.38,17.01,,,,,1
TK,"5,600","-134,940.00",13.03,1.23,0.89,0.45,0.86,6.33,9.7,12.75,4.02,29.24,,438,456,1.93,2
TKN,"36,570","7,872,450.00",46.77,16.46,0.39,0.30,0.57,33.42,38.46,16.53,1.88,24.84,,450,444,0.47,1
TKS,"4,286","-1,662,420.00",12.74,2.48,0.34,0.50,0.93,16,20.3,19.87,5.51,58.37,,237,217,1.61,2
TKT,417,"39,000.00",,1.10,1.77,,0,-6.07,-16.06,-6.08,,39.26,,,,,3
TLUXE,"6,137","13,498,850.00",25.90,3.37,0.96,,0.42,14.62,13.94,10.58,,80.39,,493,399,-0.18,1
TM,986,"3,560.00",36.63,2.77,0.97,0.01,0.1,6.68,10.41,4.82,0.16,28.57,,660,692,-5.53,
TMB,"102,509","-7,199,012.00",12.46,1.23,8.80,0.06,0.19,1.2,10.27,17.73,2.59,43.92,,412,614,0.25,3
TMC,557,"65,832.00",,1.23,1.05,,0,-18.37,-41.54,-59.72,,51.00,,,,,2
TMD,"3,300","463,000.00",10.54,1.41,0.11,1.20,2.09,12.53,13.84,15.85,5.41,25.01,,276,213,0.89,1
TMI,853,,182.07,3.63,0.52,0.01,0.01,2.5,1.95,0.98,0.47,25.61,,940,923,2.32,2
TMILL,"1,027",,14.77,1.27,0.94,0.07,0.2,6.17,8.68,5.15,4.97,27.91,,500,500,0.51,2
TMT,"6,531","-1,293,330.00",7.16,2.30,1.15,1.50,2.09,22.14,36.17,7.28,10.00,21.29,,39,47,0.06,2
TMW,"1,596","351,700.00",9.30,0.91,0.33,1.05,4.3,9.32,10.2,7.23,2.71,26.70,,329,259,0.02,
TNDT,960,,39.35,1.85,0.75,0.12,0.24,4.11,4.72,7.07,1.25,42.06,,800,777,-2.61,3
TNH,"6,480",,22.69,5.26,0.27,0.65,1.59,24.46,25,16.57,1.81,51.00,,362,329,1.95,
TNITY,"1,363","6,900.00",8.54,0.85,1.87,0.40,0.81,4.77,10.08,20.16,9.42,59.21,,316,391,1.01,2
TNL,"2,808",,13.68,0.80,0.17,0.85,1.71,5.11,6.02,9.62,3.62,18.83,,538,505,-3,2
TNP,"2,272","-5,974.00",40.81,4.00,0.25,0.02,0.07,9.76,9.93,3.82,1.07,25.87,,692,603,0.95,1
TNPC,511,,21.04,0.85,0.73,0.03,0.08,7.27,4.03,2.32,1.86,63.95,,688,555,-0.14,
TNR,"7,800","410,550.00",40.17,8.64,0.33,0.05,0.65,18.58,25.52,15.82,0.19,25.00,,465,467,,
TOG,"4,482","46,750.00",17.90,2.42,0.40,0.32,0.53,12.75,13.7,12.48,4.49,21.85,,428,354,-0.29,2
TOP,"156,062","36,469,860.00",7.36,1.46,0.99,3.00,10.4,13.34,21.3,7.65,5.96,50.05,,104,131,-0.07,3
TOPP,"1,068","-18,200.00",9.76,0.97,0.14,5.15,18.24,9.55,10.28,7.23,2.83,15.01,,342,270,1.4,1
TPA,972,,14.01,1.45,0.48,0.50,0.57,9.08,10.54,6.62,6.21,23.56,,430,382,0.76,1
TPAC,"1,789",,17.05,1.77,0.25,0.11,0.41,10.6,11.8,6.84,2.98,17.56,,456,401,2.02,1
TPBI,"5,720",,14.55,2.18,0.44,0.60,0.98,15.41,19.58,7.82,7.97,25.09,,278,260,1.89,
TPC,"35,219",,11.70,1.95,0.33,1.75,3.44,,,,6.42,,,,,0.3,2
TPCH,"7,663","-148,360.00",38.09,3.88,1.02,0.03,0.5,7.82,10.74,28.07,0.16,41.71,,654,654,0.22,1
TPCORP,"2,009",,6.53,0.90,0.12,0.70,2.85,14.26,14.14,22.33,9.09,23.08,,192,113,0.1,2
TPIPL,"53,705","17,859,292.00",,0.97,1.10,0.02,0,0.51,-0.94,-1.65,0.75,41.42,,,,,1
TPOLY,"2,585","2,700,586.00",21.35,2.10,2.81,0.01,0.21,5.95,10.34,4.32,0.26,43.68,,552,598,-0.2,1
TPP,"1,022",,86.25,1.27,0.15,0.30,0.32,1.74,1.48,4.13,1.35,28.74,,916,920,-0.94,
TR,"9,324","443,225.00",4.80,0.45,0.08,0.70,9.63,9.8,9.9,20.08,1.51,44.29,,282,191,0.01,
TRC,"7,858","-191,617.00",27.02,2.89,0.86,,0.06,8.37,11.28,7.78,0.26,74.36,,579,572,1.1,2
TRITN,"2,490","20,627.00",,2.58,0.20,,0,-21.58,-30.86,-103.59,,75.63,14.57,,,,1
TRT,"1,244",,20.32,1.10,1.92,0.13,0.2,3.98,5.51,2.38,3.28,66.21,,642,639,-1.15,1
TRU,"2,399",,30.57,0.76,0.11,0.09,0.13,2.31,2.48,4.2,2.21,27.89,,808,808,2.81,2
TRUBB,"1,261","-174,009.00",,0.62,2.64,,0,0.76,-9.51,-2.14,,62.49,,,,,
TRUE,"206,883","1,406,095.00",,1.58,2.42,,0,1.05,-2.74,-2.15,,30.42,,,,,2
TSC,"2,858",,20.68,1.72,0.63,0.25,0.53,6.09,8.29,3.45,4.55,23.02,,591,583,2.81,3
TSE,"9,710","-100,160.00",15.72,2.13,0.83,0.11,0.34,10.7,14.36,60.96,2.04,36.69,,378,377,-0.01,2
TSF,"2,111","-58,345.00",,6.60,1.73,,0,-27.12,-58.39,-63.51,,99.89,,,,,
TSI,413,,,1.67,5.29,,0,-11.43,-63.42,-35.41,,36.93,,,,,
TSR,"2,149","-6,524.00",26.66,2.21,0.91,,0.17,7.26,8.59,4.32,2.38,29.75,,652,614,1.58,2
TSTE,"2,837",,28.53,1.08,0.74,0.06,0.26,3.94,4.55,5.66,0.80,25.10,,757,739,0.44,2
TSTH,"7,916","-1,397,139.00",10.30,0.86,0.39,,0.09,8.64,8.72,4.59,,32.10,,385,301,-0.02,2
TTA,"17,951","408,470.00",,0.86,0.72,0.05,0,0.93,-1.97,-2.86,0.51,72.50,,,,,2
TTCL,"9,408","119,800.00",23.51,1.78,3.68,0.22,0.71,3.74,7.61,1.97,2.53,61.12,,642,695,8.64,3
TTI,"1,500",,,0.99,1.52,0.50,0,1.33,-1.56,-0.63,1.67,25.02,,,,,1
TTL,"1,590",,2.69,1.14,0.01,1.00,39.35,0.62,0.29,36.06,0.97,25.07,,469,487,0.05,
TTTM,648,,30.00,0.44,0.11,1.00,3.6,1.55,1.46,1.35,1.75,39.65,,820,831,0.4,
TTW,"42,294","-39,114,490.00",17.08,3.68,1.24,0.30,0.62,13.48,21.64,44.9,5.66,34.90,,307,337,4.51,2
TU,"101,640","-73,946,710.00",19.34,2.35,2.20,0.31,1.1,6.42,11.8,3.87,2.94,64.79,,483,557,2.78,3
TUCC,162,,,,-5.27,,0,,,,,37.76,,,,,
TVD,"1,340","-4,848.00",93.30,2.04,1.32,,0.02,3.56,2.14,0.42,3.50,66.26,,919,871,10.62,2
TVI,"1,151","497,600.00",45.88,1.04,3.39,0.05,0.08,0.54,2.28,0.97,1.32,24.80,,871,924,0.95,1
TVO,"28,706","-14,745,561.50",10.42,3.36,0.25,1.50,3.41,30.58,34.26,9.72,7.64,44.37,,113,98,0.23,2
TVT,"1,384","556,591.00",28.62,2.11,0.16,0.05,0.06,7.34,7.21,9.37,2.62,37.63,,704,620,0.41,
TWP,"1,285",,39.03,0.83,0.10,0.06,0.12,4.25,2.14,2.16,1.24,62.26,11.85,847,776,2.15,1
TWPC,"9,156","-12,442,840.00",13.69,1.80,0.21,0.21,0.76,15.06,13.6,10.58,2.88,54.54,,,,0.02,2
TWZ,"1,684","82,724.00",16.84,0.73,1.05,0.01,0.02,5.05,4.4,2.35,2.91,77.55,,,,0.05,
TYCN,"2,112","716,000.00",30.11,0.41,0.35,,0.12,2.27,1.37,1.1,,24.51,,,,-0.08,
U,"16,841","120,794.00",,1.00,0.34,,0,-0.68,-1.64,-26.81,,54.33,,,,,1
UAC,"3,605","73,950.00",121.62,2.95,1.40,0.05,0.04,3.4,2.59,2.15,0.94,29.81,,,,64.25,2
UBIS,"1,322",,9.29,2.64,1.14,0.04,0.62,18.07,32.67,13.56,0.61,64.31,,93,115,0.37,1
UEC,"1,346",,33.27,0.87,0.12,0.02,0.07,2.93,2.6,4.26,2.94,59.40,,,,-2.04,
UKEM,"1,360","-253,490.00",9.50,1.51,0.96,0.05,0.17,12.57,17.12,4.98,2.76,45.87,,,,1.27,
UMI,"2,744","82,330.00",25.30,1.75,1.28,0.09,0.13,4.15,6.8,3.73,2.58,53.36,,,,-0.24,1
UMS,"1,128",,,10.18,7.90,,0,-2.1,,-11.86,,9.89,,,,,
UNIQ,"19,891","-10,816,306.30",22.51,2.95,2.52,0.33,0.82,6.91,13.69,6.97,1.81,52.33,,,,-0.05,
UOBKH,"1,960",,8.15,0.62,0.97,0.10,0.48,5.66,7.84,22.62,2.56,16.73,,,,0.43,
UP,620,,18.49,1.11,0.26,1.11,1.34,4.94,6.03,4.61,4.46,30.17,,618,588,-5.31,2
UPA,"3,869","-40,002.00",,1.32,0.07,,0,-1.29,-1.61,-22.68,,53.52,,,,,
UPF,623,,11.68,1.57,0.28,4.90,7.11,13.27,13.73,8.72,5.90,18.13,,,,0.69,2
UPOIC,"2,171","-19,350.00",30.07,1.89,0.35,0.15,0.22,6.41,6.53,7.43,2.24,24.33,,,,-0.17,1
UREKA,515,111.00,,3.20,0.85,,0,-19.05,-40.89,-33.26,,43.03,,,,,
UT,585,,21.54,0.91,0.16,,0.6,3.53,4.34,4.55,,25.22,,692,687,-0.1,1
UTP,"4,420","-967,310.00",23.09,2.17,0.60,0.15,0.29,8.25,9.59,10.2,2.26,29.40,,,,0.12,
UV,"13,001","4,751,540.00",12.08,1.43,2.34,0.20,0.56,6.37,12.79,6.19,3.08,33.99,,,,0.12,3
UVAN,"6,439","-61,545.00",18.68,2.00,0.14,0.23,0.37,10.7,10.7,7.69,5.80,37.24,,,,-0.85,
UWC,"2,238","-53,329.00",,1.06,0.70,,0,-0.61,-1.68,-3.1,,56.35,,,,,1
VARO,744,,40.32,0.70,0.60,0.12,0.18,1.73,1.74,1.26,1.62,15.09,,,,-0.13,
VGI,"34,184","2,736,730.00",40.47,13.11,0.81,0.04,0.12,23.7,34.03,29.2,2.20,25.11,,,,0.68,3
VIBHA,"37,385","-1,839,074.00",55.09,5.46,0.77,0.04,0.05,9.37,11.23,11.47,1.24,37.67,,,,1.08,1
VIH,"5,650","-1,902,460.00",36.91,5.63,0.74,0.11,0.27,12.81,16,8.78,1.11,29.54,,,,0.21,2
VNG,"21,625","6,824,000.00",13.59,2.60,0.70,0.30,1.02,13.17,20.16,14.15,3.65,21.58,,,,-0.11,
VNT,"19,200","762,710.00",17.09,1.19,0.15,0.45,0.95,6.25,7.1,7.07,2.78,16.25,,,,-0.11,2
VPO,"1,203",,,1.33,0.89,,0,-10.77,-21.14,-17.95,,19.18,,,,,1
VTE,"2,143","-109,480.00",43.04,1.38,1.35,,0.06,4.15,3.49,2.98,,67.08,,,,-0.05,1
WACOAL,"5,760",,18.52,1.06,0.23,1.30,2.59,5.29,5.86,7.21,2.67,27.79,,618,580,-8.8,3
WAVE,"1,617",,28.39,1.44,1.68,,0.14,3.3,6.17,1.82,,55.21,,,,0.27,3
WG,"2,731",,15.10,1.60,0.12,5.00,10.13,11.84,10.9,16.09,3.36,57.75,,,,9.16,
WHA,"42,681","-9,944,920.00",14.73,1.99,2.46,0.15,0.2,8.34,14.46,15,5.22,32.92,,,,0.11,
WICE,"2,177","-218,570.00",28.21,2.81,0.26,0.08,0.12,11.28,11.2,7.45,2.31,35.21,,,,2.39,1
WIIK,"1,725","-10,033,860.00",12.89,1.86,0.66,0.20,0.36,10.47,17.44,10.83,4.35,65.28,,,,-0.01,1
WIN,291,"35,700.00",35.97,1.33,1.30,,0.02,3.44,3.75,9.37,,58.48,,,,-0.18,1
WINNER,"1,400","-14,412.00",13.29,2.32,0.53,0.13,0.26,14.72,17.73,6.07,6.57,34.66,,,,3.19,2
WORK,"23,579","171,275.00",118.71,7.88,0.82,0.27,0.47,6.67,6.86,7.39,0.48,33.75,,,,0.98,
XO,"1,747","302,860.00",22.55,3.30,0.31,0.08,0.22,13.26,15.27,8.7,1.63,37.02,9.11,,,0.08,1
YCI,92,,,,1.58,,0,-9.9,-97.9,-90.64,,43.23,,,,,
YNP,464,,,,-3.17,,0,2.62,,1.04,,56.50,,,,,
YUASA,"2,335","-207,220.00",20.53,4.87,1.22,0.19,1.06,14.63,26.59,5.44,0.84,13.69,,,,-0.13,2
ZMICO,"1,674","-945,560.00",7.37,0.62,0.25,0.10,0.17,6.93,9.06,56.01,7.14,85.31,,,,0.07,2
