Name ,MCap (M),NVDR (Val),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG
ASN,845,"19,800.00",30.36,3.33,0.14,0.18,0.21,17.53,17.56,16.93,2.19,23.08,,501,433,2.32,
ASP,"7,370","1,847,192.00",9.75,1.55,1.08,0.21,0.36,10.8,16.46,30.47,8.65,73.70,,211,231,0.63,2
ATP30,796,"76,313.00",36.31,3.29,1.10,0.01,0.05,8.17,9.2,7.25,0.74,42.37,,691,634,0.55,
AU,"6,779","199,445.00",68.63,8.35,0.21,0.01,0.14,19.01,21.34,16.23,0.08,22.34,,547,512,,
AUCT,"4,840","-120,195.00",38.53,11.28,0.36,0.12,0.23,23.96,28.63,20.68,2.50,40.93,,440,428,0.61,2
AYUD,"8,125",,13.21,1.15,0.51,1.00,2.46,6.22,8.74,24.23,6.15,35.43,,461,461,0.12,2
BA,"41,160","8,299,290.20",23.28,1.29,0.89,0.50,0.84,7.72,5.63,6.44,3.87,32.53,,686,564,0.2,1
BAFS,"23,587","11,475.00",21.50,3.89,0.79,1.00,1.72,15.33,19.14,29.56,4.05,48.70,,393,372,1.12,3
BANPU,"97,164","-28,401,421.20",57.94,1.20,1.92,0.25,0.33,4.3,2.36,1.97,2.32,85.14,,892,821,-0.57,2
BAT-3K,"3,280","3,144,200.00",20.95,1.67,0.90,3.00,7.83,6.2,8.19,2.92,1.82,38.25,,604,589,-0.34,
BAY,"285,036","-228,850.00",13.31,1.37,8.04,0.45,2.91,1.51,10.74,19.14,2.18,23.11,,411,623,0.64,3
BBL,"348,364","-11,349,950.00",10.95,0.92,6.77,4.50,16.67,1.37,8.59,22.58,3.57,97.24,,411,570,3.06,2
BCH,"30,673","-5,382,468.00",40.73,6.44,1.10,0.10,0.3,12.32,16.52,11.39,1.40,42.37,,553,536,6.14,
BCP,"44,406","-6,088,612.50",9.30,1.12,1.46,1.00,3.47,7.51,12.73,3.27,5.63,59.80,,273,317,0.12,3
BCPG,"24,477","13,842.00",15.88,1.81,0.89,0.15,0.77,10.07,17.67,45.6,5.56,29.63,,334,393,-0.57,
