SET Symbol,ISIN CODE,บริษัท,ประเภทหลักทรัพย์,วันที่มีผล,ราคาพาร์เก่า,ราคาพาร์ใหม่,"ประเภท
การเปลี่ยนพาร์ ",,,
     NMG,TH0113A10Z07,บริษัท เนชั่น มัลติมีเดีย กรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,25 ก.ค. 2555,10.00,1.00,Par Change,,,
     NMG,TH0113A10Z07,บริษัท เนชั่น มัลติมีเดีย กรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,25 ก.ค. 2555,1.00,0.53,Par Change,,,
     NIPPON,TH0404010Z04,บริษัท นิปปอนแพ็ค (ประเทศไทย) จำกัด (มหาชน),หุ้นสามัญ,6 ก.ค. 2555,10.00,1.00,Par Change,,,
     NTV,TH0421010Z08,บริษัท โรงพยาบาลนนทเวช จำกัด (มหาชน),หุ้นสามัญ,17 พ.ค. 2555,10.00,1.00,Par Change,,,
     CWT,TH0225A10Z02,บริษัท ชัยวัฒนา แทนเนอรี่ กรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,16 พ.ค. 2555,5.00,1.00,Par Change,,,
     TYM,TH0949A10Z07,บริษัท เดอะ สตีล จำกัด (มหาชน),หุ้นสามัญ,11 พ.ค. 2555,0.10,1.00,Par Change,,,
     TYM,TH0949A10Z07,บริษัท เดอะ สตีล จำกัด (มหาชน),หุ้นสามัญ,11 พ.ค. 2555,1.00,0.50,Par Change,,,
     AHC,TH0281010Z06,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),หุ้นสามัญ,8 พ.ค. 2555,10.00,1.00,Par Change,,,
     KAMART,TH0467A10Z09,บริษัท คาร์มาร์ท จำกัด (มหาชน),หุ้นสามัญ,2 มี.ค. 2555,1.00,0.60,Par Change,,,
     SIRI,TH0577C10Z04,บริษัท แสนสิริ จำกัด (มหาชน),หุ้นสามัญ,10 ต.ค. 2554,4.28,1.07,Par Change,,,
     TT&T,TH0402010Z08,บริษัท ทีทีแอนด์ที จำกัด (มหาชน),หุ้นสามัญ,26 พ.ค. 2554,10.00,1.00,Par Change,,,
     PR,TH0104010Z00,บริษัท เพรซิเดนท์ไรซ์โปรดักส์ จำกัด (มหาชน),หุ้นสามัญ,23 พ.ค. 2554,10.00,1.00,Par Change,,,
     PF,TH0352A10Z07,บริษัท พร็อพเพอร์ตี้ เพอร์เฟค จำกัด (มหาชน),หุ้นสามัญ,23 พ.ค. 2554,6.00,1.00,Par Change,,,
     TF,TH0043010Z00,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),หุ้นสามัญ,20 พ.ค. 2554,10.00,1.00,Par Change,,,
     PB,TH0687010Z04,บริษัท เพรซิเดนท์เบเกอรี่ จำกัด (มหาชน),หุ้นสามัญ,20 พ.ค. 2554,10.00,1.00,Par Change,,,
     RASA,TH0940010Z07,บริษัท สิงห์ เอสเตท จำกัด (มหาชน),หุ้นสามัญ,18 พ.ค. 2554,5.00,1.00,Par Change,,,
     MODERN,TH0291010Z05,บริษัท โมเดอร์นฟอร์มกรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,13 พ.ค. 2554,10.00,1.00,Par Change,,,
     PLUS,TH0793B10Z03,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,10 พ.ค. 2554,0.10,1.00,Par Change,,,
     PLUS,TH0793B10Z03,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,10 พ.ค. 2554,1.00,0.50,Par Change,,,
