,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-03-31,54.51,-7.72,-0.02,0.0,25.03,2.36,17.86,1.99,52.15,0.16,35.38,8.66,0.26,58.3,1543.5,1904.49,0.0,28.64,79.5,120.08,799.29,919.37,466.9,985.12,2.71,9.4,-19.0,15.5,-24.875,0.94,0.93,-0.02,0.0,0.0,-1.64,0.48,-3.12,-3.04,0.52,-14.76,-14.16,0.49,0.48,3,2013,0.0,386.0,-7.72
2013-06-30,46.910000000000004,-15.200000000000003,-0.03315881326352531,0.0,18.29,-5.33,10.350000000000001,3.92,52.24,-6.15,17.91,7.04,0.27,37.52,1528.92,1870.89,0.0,27.7,83.0,124.78,775.16,899.95,466.9,970.94,2.71,-1.1500000000000004,-19.0,15.68,-29.554736842105264,1.89,0.93,-0.05,0.0,0.0,-3.2628272251308905,-0.4244328097731239,-6.2603839441535785,-6.101221640488657,-0.45095986038394426,-23.29,-22.6,0.3,0.3,6,2013,0.0,458.40000000000003,-22.92
2013-09-30,58.55,-7.809999999999999,-0.017790432801822322,0.0,25.15,2.22,18.1,2.22,56.33,-1.2599999999999998,52.51,11.53,0.26,77.12,1514.24,1853.94,0.0,29.59,86.5,130.32,753.1,883.42,466.9,970.52,3.619999999999999,49.29,-10.939999999999998,15.880000000000003,-31.192327144686306,1.07,0.91,-0.07,0.0,0.0,-1.68754962577286,-0.0406638464041653,-3.2226098275301003,-3.161614057923852,-0.0406638464041653,-20.02,-19.21,0.59,0.59,9,2013,0.0,438.99999999999994,-30.73
2013-12-31,136.48999999999998,29.54,-0.0,,72.34,39.52,60.370000000000005,2.64,96.97,33.93,68.32,83.14,0.26,480.1,1514.2,2035.67,13.65,46.77,0.34,95.69,12.64,108.33,933.8,1927.34,23.200000000000003,-97.47999999999999,90.15,20.849999999999994,-0.0,1.28,0.06,0.0,0.0,0.0,5.95764705882353,-193.6235294117647,5.95764705882353,7.943529411764707,-198.58823529411765,-0.42,-0.4,5.02,5.01,12,2013,,-inf,-1.19
2014-03-31,75.66,1.71,0.0,,31.38,1.68,22.17,2.6,73.98,-0.65,68.03,79.18,0.24,482.48,1499.17,2018.54,11.57,35.01,0.32,78.69,11.18,89.87,933.82,1928.67,3.17,-10.55,-2.65,20.49,0.0,1.26,0.05,0.0,0.0,0.0,0.32,0.36,0.36,0.48,0.36,2.33,2.26,6.13,6.13,3,2014,,inf,1.71
2014-06-30,96.25999999999999,3.0599999999999996,0.006415094339622641,,39.55000000000001,3.5600000000000005,19.509999999999998,3.32,92.7,1.15,55.01,105.19,0.27,506.32,1489.51,2027.65,26.42,33.68,0.33,85.23,10.66,95.89,933.82,1931.76,-5.9399999999999995,-14.370000000000001,7.300000000000001,15.95,129.38235294117646,1.6,0.05,0.01,0.0,0.0,0.6158490566037735,0.6928301886792453,0.6415094339622641,0.8467924528301887,0.6928301886792453,2.85,2.77,5.94,5.94,6,2014,,476.99999999999994,4.77
2014-09-30,93.01000000000002,3.58,0.004287425149700599,0.0,36.22999999999999,3.6899999999999995,19.840000000000003,4.34,89.32,1.16,77.55,129.22,0.24,543.53,1478.72,2050.45,26.36,43.3,0.27,88.18,10.28,98.46,933.85,1951.99,-2.1599999999999997,11.740000000000002,12.959999999999999,16.150000000000006,253.06564245810054,2.08,0.05,0.01,0.0,0.0,0.7031377245508982,0.7888862275449102,0.7374371257485031,0.9775329341317366,0.7888862275449102,3.24,3.15,6.16,6.16,9,2014,0.0,835.0,8.35
2014-12-31,108.83999999999997,4.610000000000001,0.0035570987654320995,0.0,44.81,3.200000000000001,20.419999999999995,4.18,105.63999999999999,0.8100000000000003,62.15,149.27,0.32,537.92,1470.17,2039.97,12.7,14.95,0.19,50.82,32.56,83.38,947.72,1956.6,-1.38,-0.28000000000000114,-13.75,17.22,293.77874186550974,2.02,0.04,0.01,0.0,0.0,0.9106172839506175,0.8537037037037039,0.9390740740740743,0.9533024691358027,0.8679320987654322,3.56,3.47,10.58,10.58,12,2014,0.0,1296.0,12.96
2015-03-31,129.55,5.25,0.01,0.0,41.13,4.63,22.45,3.98,124.92,2.37,78.47,190.51,0.25,606.12,1459.86,2093.16,12.05,53.86,0.1,86.96,32.71,119.67,947.72,1973.49,16.72,-11.31,10.9,17.82,99.5,1.91,0.06,0.01,0.0,0.0,1.0,0.92,1.08,1.08,0.92,4.12,4.05,6.97,6.97,3,2015,0.0,525.0,5.25
2015-06-30,105.94999999999999,10.969999999999999,0.013526510480887793,0.0,39.51,10.309999999999999,22.38,3.0,95.64,4.7299999999999995,63.22,188.75,0.26,622.29,1450.61,2099.9,11.6,47.3,0.02,80.18,34.66,114.84,957.43,1985.06,17.39,-32.699999999999996,0.07000000000000028,12.07,55.44667274384686,1.45,0.06,0.02,0.0,0.0,2.0830826140567202,1.9478175092478422,2.218347718865598,2.2454007398273736,2.001923551171393,7.12,6.89,7.76,7.76,6,2015,0.0,810.9999999999999,16.22
2015-09-30,91.80000000000001,3.25,0.0033384694401643556,0.0,36.69,3.4399999999999995,14.060000000000002,3.58,88.36000000000001,1.7699999999999996,161.27,171.01,0.29,643.05,1441.13,2110.71,17.8,46.35,0.0,86.13,36.2,122.33,957.93,1988.37,30.099999999999994,61.709999999999994,6.249999999999998,10.619999999999997,268.08692307692303,1.72,0.06,0.02,0.0,0.0,0.6142783769902415,0.5875706214689266,0.6543400102722137,0.6610169491525424,0.6076014381099127,6.13,5.95,7.47,7.46,9,2015,0.0,973.4999999999999,19.47
2015-12-31,105.71999999999997,-1.9399999999999977,-0.0022133485453508244,0.0,57.459999999999994,-0.759999999999998,10.329999999999998,3.62,106.47999999999996,0.40000000000000036,71.89,147.01,0.26,623.6,1431.17,2087.29,0.0,36.68,0.0,59.24,42.23,101.47,957.98,1985.82,27.80000000000001,-99.38000000000001,-17.799999999999997,11.090000000000003,-408.88273195876343,1.75,0.05,0.02,0.0,0.0,-0.37184255561893853,-0.3762692527096402,-0.38954934398174507,-0.3939760410724467,-0.3851226468910434,4.13,4.05,10.53,10.52,12,2015,0.0,876.5,17.53
2016-03-31,89.39,5.58,0.01,0.0,39.18,5.58,16.76,3.2,83.81,2.68,82.71,142.57,0.27,640.37,1423.25,2100.29,3.38,32.52,0.0,56.77,43.89,100.66,957.98,1999.64,8.87,-9.67,11.62,11.18,80.0,1.53,0.05,0.01,0.0,0.0,1.08,1.08,1.12,1.12,1.08,6.45,6.24,11.28,11.28,3,2016,0.0,558.0,5.58
2016-06-30,72.49999999999999,-18.939999999999998,-0.014176646706586825,0.0,20.6,-18.8,-7.480000000000002,2.36,91.30000000000001,-20.68,66.06,131.96,5.85,628.11,1415.09,2085.7,8.84,28.65,0.0,54.89,48.05,102.94,964.84,1982.76,-4.569999999999999,-19.61,7.520000000000001,11.32,-41.61774023231257,1.15,0.05,-0.01,0.0,0.0,-3.629221556886227,-3.57251497005988,-3.7993413173652697,-3.7993413173652697,-3.6859281437125744,-8.5,-8.25,11.44,11.34,6,2016,0.0,1336.0,-13.36
2016-09-30,85.9,-5.699999999999999,-0.005981112277019937,0.0,38.28999999999999,-5.519999999999998,5.84,2.76,91.40999999999997,-7.75,582.38,122.32,4.71,1161.74,1405.06,2607.34,8.84,31.45,0.0,58.86,51.11,109.96,966.56,2497.37,14.43,-18.4,520.3000000000001,11.36,-115.36315789473684,1.07,0.04,-0.02,0.0,0.0,-0.8732423924449108,-0.94501573976915,-0.9091290661070304,-1.0167890870933893,-0.8852046169989507,-7.92,-7.69,19.74,19.66,9,2016,0.0,952.9999999999999,-19.06
2016-12-31,115.47,-32.239999999999995,-0.025138401559454186,0.0,34.52000000000001,-26.850000000000005,11.49,3.68,142.33000000000004,-28.25,119.37,125.46,3.81,439.55,3890.8,9578.28,0.0,79.74,161.42,321.19,1426.42,1747.6,3240.09,7830.68,-13.63,214.73000000000002,-664.1200000000001,38.34,-36.59739454094293,1.52,0.22,-0.04,0.0,0.0,-1.3574736842105264,-1.9607953216374268,-1.6591345029239764,-2.63953216374269,-1.2317816764132552,-14.46,-14.12,1.37,1.36,12,2016,0.0,1282.5,-51.3
2017-03-31,123.39,-25.87,-0.01,0.0,29.25,-18.22,27.36,3.6,141.61,-20.19,108.95,131.93,2.66,434.15,3911.24,9581.77,0.0,52.93,164.25,302.98,1473.99,1776.96,3240.09,7804.8,13.11,-72.93,50.45,45.58,-90.0,1.49,0.23,-0.01,0.0,0.0,-1.08,-1.24,-1.32,-2.12,-0.8,-21.31,-20.97,1.43,1.42,3,2017,0.0,2587.0,-25.87
2017-06-30,232.13,-178.29,-0.0523971394984326,0.0,21.46,-30.509999999999998,17.47,3.28,262.65,-141.56,414.85,134.58,1.6,2084.41,3937.46,8848.81,0.0,109.44,36.15,376.01,846.29,1222.29,3240.09,7626.51,-55.769999999999996,1105.75,-744.08,47.980000000000004,-15.65066352571653,1.39,0.16,-0.06,0.0,0.0,-8.06915948275862,-3.1088969435736677,-9.361622257053291,-14.84585619122257,-2.026022727272727,-84.19,-57.43,5.54,5.54,6,2017,0.0,3402.6666666666665,-204.16
2017-09-30,155.25,-27.810000000000002,-0.00839203345260163,0.0,37.809999999999995,-18.160000000000004,37.35000000000001,4.32,173.39999999999998,-23.900000000000006,650.35,105.98,8.56,2011.99,3909.76,8736.31,0.0,107.59,9.97,291.53,846.07,1137.61,3240.09,7598.7,-2.5700000000000003,266.35000000000014,-28.279999999999973,55.50999999999999,-128.6845442286947,1.84,0.15,-0.07,0.0,0.0,-1.2755890847954479,-0.5658628270897099,-1.4626115445962842,-2.2059059361124285,-0.37884036728887366,-59.17,-45.42,6.9,6.87,9,2017,0.0,3313.8571428571427,-231.97
