,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2007-12-31,164.14999999999998,39.07000000000001,0.3256681427455067,-0.004125578337612625,,56.11999999999999,59.19000000000001,13.9,0.0,108.03999999999996,232.02,74.5,1437.07,108.3,120.0,1328.77,-384.34,-74.7,0.0,3.0700000000000003,10.670985410801125,1.26,0.08,0.96,0.6,0.63,10.869174264131285,15.38781974472519,11.76476165668143,11.954734739949643,21.76,12,2007,,-0.49494047619046455,,119.96875,115.17
2008-03-31,117.92,8.89,0.07,0.0,,16.69,22.58,14.2,0.0,101.22,32.34,69.4,1420.44,81.94,120.0,1338.5,-204.22,4.55,0.0,5.89,50.715,1.27,0.06,0.07,0.0,0.0,2.52,4.8,2.64,2.68,7.54,3,2008,,0.0,,127.0,8.89
2008-06-30,175.01999999999998,47.24,0.3955603064314983,0.7000000000000001,,64.75,54.68000000000001,15.2,0.0,110.28,74.72,66.62,1397.86,97.86,120.0,1300.0,128.72,-2.3499999999999996,-84.0,-10.07,9.606499788314988,1.4,0.08,0.47,0.7,1.49,13.533212185996792,20.06416533048281,14.543153393907003,14.778806342419381,19.16,6,2008,,83.59787234042554,,119.42553191489363,56.13
2008-09-30,124.47000000000003,-3.970000000000006,-0.032728144171779196,0.01083042357394581,,2.1099999999999994,0.8299999999999983,11.4,0.0,122.36000000000001,72.38,64.32,1384.55,87.61,120.0,1296.94,7.680000000000007,-10.02,0.0,-1.2800000000000002,-87.0756675062971,1.05,0.07,0.43,0.7,1.63,-1.1477684049079773,-1.8479984662576716,-1.2238803680981614,-1.226924846625769,12.5,9,2008,,1.313755566551194,,121.30232558139534,52.16
2008-12-31,142.93,19.39,0.16259958071278827,-0.012047194188484182,,23.11,35.519999999999996,9.0,0.0,119.82,84.08,60.68,1417.27,102.25,120.0,1315.02,8.93999999999999,2.7600000000000007,0.0,12.41,13.837674058793192,0.82,0.08,0.6,0.7,1.17,5.474185883997205,8.097459119496856,5.896944793850454,5.864424877707896,12.77,12,2008,,-1.4366279069767387,,119.25,71.55
2009-03-31,111.56,4.11,0.029999999999999995,0.0,,8.06,12.87,7.8,0.0,103.5,46.62,54.97,1365.15,61.81,120.0,1303.33,-42.98,5.52,0.0,4.81,65.0,0.72,0.05,0.03,0.0,0.0,1.2,2.32,1.28,1.24,3.68,3,2009,,0.0,,137.00000000000003,4.11
2009-06-30,112.91,16.27,0.1357163886162905,0.7,,22.369999999999997,27.690000000000005,11.5,0.0,90.53999999999999,240.4,52.77,1304.02,66.93,120.0,1237.09,276.32,1.2800000000000002,-83.82,5.320000000000001,21.184803318992014,1.12,0.05,0.17,0.7,4.12,4.981589793915604,7.184985279685967,5.268989205103042,5.14125613346418,9.08,6,2009,,83.9176470588235,,119.88235294117645,20.38
2009-09-30,176.1,55.540000000000006,0.4608825079030559,0.0036338560714066276,,73.02000000000001,78.64,11.5,0.0,103.08000000000001,85.74,55.36,1389.49,89.46,120.0,1300.02,-150.74,-3.9099999999999997,-0.010000000000005116,5.619999999999999,6.236676269355419,1.06,0.07,0.63,0.7,1.11,15.977260273972604,21.82973656480506,17.08923076923077,17.11849315068493,18.95,9,2009,,0.43790849673204946,,120.5079365079365,75.92
2009-12-31,180.10999999999996,45.010000000000005,0.37592078061688583,-0.004532465981238089,,47.769999999999996,54.219999999999985,14.7,0.0,132.33999999999997,54.58,52.17,1464.34,114.47,120.0,1349.87,-36.31999999999999,5.17,0.0,6.449999999999999,9.773003221506332,1.31,0.08,1.01,0.7,0.69,12.297448110477136,15.632349292979411,13.339604730009098,13.518260150500291,20.83,12,2009,,-0.5426842684268536,,119.73267326732673,120.93
2010-03-31,149.22,36.32,0.3,0.0,,46.76,53.35,12.5,0.0,102.46,126.7,49.46,1476.12,82.75,120.0,1393.37,-178.67,250.79,0.0,6.59,10.4175,1.08,0.06,0.3,0.0,0.0,9.84,13.16,10.439999999999998,10.76,24.34,3,2010,,0.0,,121.06666666666668,36.32
2010-06-30,159.85999999999999,36.970000000000006,0.30770500750443447,0.85,,50.13,55.68,14.1,0.0,109.72000000000001,217.39,50.46,1478.23,148.55,120.0,1329.68,190.33999999999997,2.8300000000000125,-102.49,5.550000000000001,11.453421017040842,1.27,0.11,0.61,0.85,1.39,10.007979260472098,14.043454768726976,11.117735025242188,11.521282576067676,23.71,6,2010,,102.12540983606559,,120.14754098360658,73.29
2010-09-30,182.14000000000004,54.55999999999999,0.45662260461478293,-0.004706206684319127,,72.66000000000001,78.49000000000001,13.3,0.0,109.49000000000001,114.5,45.02,1586.96,199.31,120.0,1387.65,-111.51,8.139999999999986,0.4899999999999949,5.829999999999998,7.281779233870968,1.15,0.14,1.07,0.85,0.79,13.758423152131403,19.442734454438792,15.721473601877198,16.233573719202187,26.03,9,2010,,-0.562325723916075,,119.4859813084112,127.85
