,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-09-30,637.2,68.44999999999999,0.22719038669172625,0.003536255750029322,135.0,71.15,85.91000000000003,3.2,0.0,566.05,68.38,223.26,228.34,378.69,853.17,237.28,1095.2,24.99,253.48,18.0,373.54,53.74,427.28,301.04,667.91,231.28000000000003,-30.940000000000005,-111.58,14.760000000000002,3.51632395909423,1.44,0.64,0.83,0.3,0.36,24.996417003239088,27.985476066701317,40.9928100131963,52.31400807773823,39.30667413124325,12.35,12.27,2.28,1.27,9,2006,1.065435512541967,301.28915662650604,250.07
2006-12-31,485.2600000000002,65.72000000000003,0.21851863580227374,-0.0005354328425516837,112.69999999999993,67.93,85.37,3.38,0.0,417.34000000000015,69.05000000000001,215.19,272.6,399.45,898.58,271.09,1173.72,40.18,264.9,18.15,388.44,50.47,438.9,301.31,734.82,29.889999999999986,-49.21,11.239999999999995,17.439999999999998,3.868091144248325,1.39,0.6,1.05,0.3,0.29,22.401281864530233,25.997474270876225,35.77878463535895,43.51226321289466,34.66329902783497,12.57,12.51,2.31,1.28,12,2006,-0.1610327022375202,300.752380952381,315.79
2007-03-31,628.23,85.83,0.28,0.4,136.66,87.24,104.69,4.6,0.0,540.99,86.55,248.95,317.18,430.67,1012.4,280.52,1296.63,18.47,295.08,26.49,679.08,67.57,746.66,301.46,549.98,55.98,-26.58,4.37,17.45,4.1075,2.52,1.36,0.28,0.4,1.43,26.48,27.519999999999996,62.43999999999999,74.32,56.52000000000001,13.69,13.66,1.49,0.86,3,2007,122.61428571428571,306.5357142857143,85.83
2007-06-30,766.29,112.11,0.2492088511670203,0.1274412159528862,170.64000000000001,114.97000000000001,134.32,5.96,0.0,651.31,112.42,206.38,412.61,375.78,1009.49,311.7,1324.84,18.93,295.97,34.83,436.85,74.69,511.54,452.36,813.3,111.33000000000001,-49.84,-104.08,19.349999999999998,5.980927214343056,3.31,0.63,0.44,0.4,0.91,33.84709305850257,36.11262806911185,55.143122158229765,63.68418914822673,51.5862321915732,14.24,14.19,2.31,1.45,6,2007,57.33116883116885,449.8636363636364,197.94
2007-09-30,551.55,81.19,0.18033819367319887,0.0003074487938171256,109.92000000000002,84.24999999999997,103.25,7.08,0.0,467.31999999999994,82.09,298.85,318.05,341.68,973.73,352.83,1330.07,0.0,220.69,43.18,338.77,95.86,434.63,452.73,895.44,140.41000000000003,-59.469999999999985,11.539999999999992,19.0,9.815447099396478,3.58,0.49,0.62,0.4,0.65,24.421281840002862,27.481213771361016,36.26542901157167,41.54759287787052,33.62434707842224,14.4,14.34,2.87,1.87,9,2007,0.13841642228737783,450.2096774193548,279.13
2007-12-31,466.9400000000003,59.45999999999998,0.13170796538586488,0.00110191315217089,86.14999999999998,63.52000000000004,82.34000000000003,5.88,0.0,403.4100000000003,61.610000000000014,343.82,340.8,243.57,943.71,426.86,1374.0,0.96,180.81,52.33,331.52,87.03,418.54,452.91,955.46,135.95,-85.82000000000002,-5.159999999999997,18.820000000000007,11.16105617221662,2.79,0.44,0.75,0.4,0.53,17.30818275790779,19.296094982131777,24.894561564133607,28.139845831241317,23.580994122685247,14.1,14.03,2.85,2.11,12,2007,0.4974623655913888,451.4533333333333,338.59
2008-03-31,308.24,10.36,0.02,0.35,33.18,12.19,31.31,4.92,0.0,296.05,-12.53,370.76,194.77,298.55,883.81,456.59,1343.51,0.01,164.74,52.52,574.44,74.65,649.09,453.02,694.42,88.21,-47.28,-13.98,19.12,61.5,3.21,0.93,0.02,0.35,17.5,3.08,3.6799999999999997,5.960000000000001,6.68,6.36,3.39,3.36,1.54,1.02,3,2008,181.29999999999998,518.0,10.36
2008-06-30,363.48,12.010000000000002,0.021475189986589184,0.025815824765310684,40.62,13.700000000000001,36.709999999999994,2.7,0.0,349.79,10.809999999999999,187.06,238.09,349.37,784.75,451.77,1240.09,0.13,208.91,52.57,358.41,61.57,419.98,566.28,820.11,7.170000000000002,-19.39,-171.49,23.01,31.43161948376353,1.86,0.51,0.04,0.35,8.75,3.865534197586053,4.337988377291015,5.862726866338847,5.884202056325437,6.31370585605722,3.36,3.33,2.19,1.21,6,2008,14.4375,559.25,22.37
2008-09-30,402.93000000000006,26.23,0.048574074074074075,-0.01247685185185182,57.480000000000004,27.810000000000002,53.370000000000005,2.4,0.0,375.1,15.41,153.71,265.69,379.57,810.61,453.89,1267.74,0.08,215.49,52.77,373.03,49.0,422.03,566.28,845.71,5.280000000000001,-25.25,-13.390000000000015,25.559999999999995,12.353812428516965,1.61,0.5,0.09,0.35,3.89,8.26838683127572,8.916041152263373,12.413374485596709,12.04637037037037,12.953086419753086,4.57,4.52,2.17,1.16,9,2008,-6.737499999999983,540.0,48.6
2008-12-31,395.40999999999985,24.740000000000002,0.04385328606490319,0.014985001363512388,86.62,28.58,51.260000000000005,1.7,0.0,366.8399999999999,59.010000000000005,82.88,281.16,353.74,753.8,434.55,1192.67,0.0,170.26,52.88,286.19,35.8,321.99,566.28,870.68,-51.88999999999999,-5.670000000000002,-13.259999999999991,22.680000000000007,9.69368633791431,1.11,0.37,0.13,0.35,2.69,8.298391055358604,8.64921734387783,11.361374420507227,10.835134987728388,12.251933460594492,5.04,4.99,2.63,1.4,12,2008,8.453846153846143,564.1538461538462,73.34
