,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2010-12-31,793.3100000000002,235.83000000000004,0.1190949805307853,-0.00034808441123641756,,384.16999999999996,399.53999999999985,2.68,3.45,409.14,276.23,143.79,11171.91,6167.04,1991.76,5000.94,2323.1200000000003,22.6,-2315.52,15.369999999999997,5.623662701946316,1.07,1.23,0.38,0.1,0.26,8.449475460815716,13.476537270588864,18.86715217882441,19.832448336810774,32.81,0.0,12,2010,,-0.689271255060703,,1980.1842105263158,752.47
2011-03-31,586.37,112.02,0.06,0.33,,252.26,267.72,2.52,1.3,334.11,408.62,135.7,13434.44,8350.22,1991.76,5081.03,117.89,14.8,-0.3,15.46,10.5,0.99,1.64,0.06,0.33,5.5,3.32,8.52,8.8,9.32,19.1,0.0,3,2011,,616.11,,1867.0,112.02
2011-06-30,671.83,93.92,0.04560551616975819,0.030830338933669932,,197.19,212.52999999999997,2.22,2.24,474.64,348.32,131.28,13823.48,9292.88,1991.76,4527.6,577.3100000000001,19.249999999999996,-656.86,15.34,12.169580494037477,0.98,2.05,0.1,0.33,3.3,2.7180887637175877,6.986765077206954,8.300203942895989,8.300203942895989,16.37,0.0,6,2011,,63.49199999999985,,2059.3999999999996,205.94
2011-09-30,560.8799999999999,212.97000000000003,0.10676207299897353,-0.010685159103387243,,269.32,284.78,1.57,3.29,291.55999999999995,874.08,123.61,12960.51,8241.44,1991.76,4716.2,-94.61000000000001,620.63,-0.2699999999999818,15.459999999999997,3.6782725266469454,0.66,1.75,0.21,0.33,1.57,6.568409443555895,10.269494640853644,18.058042061540668,17.956363896779738,23.03,0.0,9,2011,,-21.31485714285691,,1994.809523809524,418.91
2011-12-31,513.8400000000001,115.85999999999996,0.058496549918656604,-0.0023625644135396593,,152.81000000000006,168.21000000000004,2.02,3.75,361.03999999999996,1121.56,124.21,7357.23,2520.79,1991.76,4833.49,262.15999999999997,-14.669999999999959,0.0,15.399999999999999,8.631278266873817,0.83,0.52,0.27,0.33,1.22,6.300295080127904,8.154852366437904,9.584768031116178,9.428777231333093,22.92,0.0,12,2011,,-4.679365079365198,,1980.6296296296293,534.77
2012-03-31,473.16,105.56,0.05,0.25,,145.36,161.02,2.32,0.25,327.8,226.92,124.25,10939.12,5995.4,1991.76,4941.46,-962.18,67.75,-0.2,15.66,11.600000000000001,0.94,1.21,0.05,0.25,5.0,3.84,4.76,8.56,8.44,22.31,0.0,3,2012,,527.8,,2111.2,105.56
2012-06-30,399.72999999999996,89.88,0.045988538681948424,-0.020057306590257874,,111.81,127.50999999999996,2.02,1.01,287.92,271.91,118.07,11931.95,7393.36,1991.76,4536.2,505.91999999999996,36.94,-497.88,15.7,10.980996884735204,0.89,1.63,0.1,0.25,2.5,3.016848137535816,3.6790830945558737,7.928424068767907,7.928424068767907,22.39,0.0,6,2012,,-39.19999999999999,,1954.3999999999999,195.44
2012-09-30,494.15999999999997,111.82,0.054588947471197025,0.011472368677992607,,151.14999999999998,167.14000000000004,2.22,1.0,343.01,213.85,107.99,13203.09,8555.33,1991.76,4645.44,-91.83000000000004,33.97999999999999,-0.21000000000003638,15.990000000000002,10.166893221248436,0.95,1.84,0.15,0.25,1.67,3.391793269543709,4.541800429603593,9.622211807589665,9.549426544294732,22.48,0.0,9,2012,,23.500000000000057,,2048.4,307.26
2012-12-31,541.51,135.59000000000003,0.06735869933386024,-0.004402167776899633,,179.65000000000003,195.69,2.34,1.82,361.8699999999999,199.32,107.64,12369.87,7587.26,1991.76,4780.7,21.370000000000005,-35.89999999999999,0.0,16.04,8.687816210635003,0.97,1.59,0.22,0.25,1.14,4.384438974822175,7.299233600541945,11.340755560573559,11.27952037936096,23.2,0.0,12,2012,,-8.861363636363649,,2012.9545454545455,442.85
2013-03-31,858.65,299.72,0.15,0.0,,381.23,396.99,3.44,0.54,477.42,395.73,99.28,12530.81,7450.88,1991.76,5078.18,191.92,6.98,-0.25,15.76,5.7325,1.35,1.47,0.15,0.0,0.0,9.56,12.999999999999998,23.6,23.92,34.91,0.0,3,2013,,0.0,,1998.1333333333337,299.72
2013-06-30,700.12,178.64999999999998,0.0896293663900328,0.23,,232.76,250.14999999999998,2.96,1.56,467.35999999999996,378.66,105.07,18893.98,14091.65,1991.76,4800.42,411.7700000000001,27.580000000000002,-458.06,17.39,8.253991183879094,1.23,2.94,0.24,0.23,0.96,3.7793716161130497,5.945414637205509,14.89341304847712,15.311683424963938,30.69,0.0,6,2013,,458.4379166666667,,1993.2083333333335,478.37
2013-09-30,911.6300000000001,170.48000000000002,0.08670478538953534,-0.0031579140016953114,,218.68999999999994,236.91999999999996,2.84,1.14,692.94,328.31,94.94,10158.78,5187.94,1991.76,4968.75,-52.8900000000001,4.68,0.0,18.230000000000004,8.19245439347724,1.14,1.04,0.33,0.23,0.7,6.715679741080374,7.493395391847115,13.725630268937351,14.188055791014875,26.26,0.0,9,2013,,-6.209128787878797,,1966.2121212121212,648.85
2013-12-31,288.25999999999976,134.35000000000002,0.06690053626149133,0.004809464667099996,,173.21000000000004,197.27999999999997,2.84,-1.7,115.04999999999995,985.22,103.26,8258.74,3148.8,1991.76,5107.71,671.6600000000001,-19.37,0.0,24.07,10.60978042426498,1.11,0.62,0.39,0.23,0.59,6.504790602655772,6.690053626149132,10.51882277834525,10.868764044943822,28.39,0.0,12,2013,,9.658391608391582,,2008.2051282051282,783.2
2014-03-31,587.73,169.81,0.09,0.0,,222.02,233.06,3.38,0.0,365.71,371.67,102.58,9890.92,4612.05,1991.76,5276.48,-608.33,-4.18,0.0,11.04,9.39,1.28,0.87,0.09,0.0,0.0,6.88,7.920000000000001,12.88,13.12,28.89,0.0,3,2014,,0.0,,1886.7777777777778,169.81
2014-06-30,537.76,129.88,0.06500717407988255,0.36,,163.68999999999997,174.77999999999997,3.14,0.22,374.07,344.95,99.02,11785.83,7094.49,1991.76,4689.22,811.34,-120.47,-717.39,11.09,12.073667423775793,1.33,1.51,0.15,0.36,2.4,4.403152591010711,4.351146851746805,11.077222463211985,10.955875738262872,26.63,0.0,6,2014,,719.256,,1997.9333333333334,299.69
2014-09-30,778.9000000000001,250.13000000000005,0.12738059728638465,-0.006286566512676854,,315.84999999999997,327.57,3.32,1.45,463.05999999999995,311.4,104.22,15320.06,10376.86,1991.76,4940.82,-44.59,11.710000000000008,0.0,11.720000000000002,6.51747611242154,1.34,2.1,0.28,0.36,1.29,6.532804917973156,10.026672729256848,20.25351496853516,20.198923283983852,28.87,0.0,9,2014,,-12.344571428571385,,1963.642857142857,549.82
2014-12-31,679.2499999999998,211.51999999999998,0.10557385662122047,0.007166387084426329,,261.2900000000001,273.44000000000005,3.46,-3.47,417.94000000000005,393.17,103.88,10522.44,5361.33,1991.76,5158.52,78.69000000000003,-1.4200000000000017,0.0,12.149999999999999,8.197578715960667,1.34,1.04,0.38,0.36,0.95,8.045839178290906,11.390863477552735,16.402843407675938,16.48063467044947,29.47,0.0,12,2014,,14.358045112781952,,2003.5263157894738,761.34
2015-03-31,701.12,188.3,0.08999999999999998,0.0,,246.86,259.17,3.92,1.95,454.26,491.86,109.4,10933.03,5582.51,1991.76,5348.11,78.89,20.85,0.0,12.31,10.890000000000002,1.46,1.04,0.09,0.0,0.0,6.88,9.48,14.08,14.160000000000002,26.86,0.0,3,2015,,0.0,,2092.2222222222226,188.3
2015-06-30,545.63,108.69,0.05489578773696084,0.37,,137.18,150.10999999999996,3.46,3.0,408.45000000000005,361.48,107.76,18565.27,13818.45,1991.76,4744.2,548.4,45.550000000000004,-727.4,12.929999999999998,15.759405879105714,1.45,2.91,0.15,0.37,2.43,2.342220276776996,3.703635812653624,9.163936832889995,9.22249233980942,23.82,0.0,6,2015,,732.5753333333333,,1979.9333333333334,296.99
2015-09-30,612.53,114.84999999999997,0.058562791375291356,-0.0035451146076146147,,146.10999999999996,159.55000000000007,3.28,-2.28,466.4200000000001,269.77,105.79,14872.26,10004.93,1991.76,4864.88,-107.64999999999998,9.969999999999999,-0.44000000000005457,13.440000000000001,14.002918589464521,1.34,2.06,0.21,0.37,1.74,3.0898844211344203,3.9153409090909075,9.44813034188034,9.370046620046619,22.15,0.0,9,2015,,-6.9524761904762045,,1961.142857142857,411.84
2015-12-31,622.6699999999998,175.38000000000005,0.08661183202207011,0.01164941832459974,,215.55000000000007,229.44999999999993,3.42,-1.6,407.1099999999999,447.0,112.55,9649.3,4606.0,1991.76,5040.59,170.25,7.679999999999993,0.0,13.899999999999999,9.869032671912416,1.35,0.91,0.29,0.37,1.26,7.2753938898538895,8.828433636456527,13.917625421477474,13.762321446817209,23.66,0.0,12,2015,,23.588866995074,,2024.8965517241381,587.22
2016-03-31,678.08,173.04,0.09,0.0,,222.81,236.88,3.6,2.13,455.26,240.41,107.14,20629.36,15428.44,1991.76,5197.91,-191.81,-12.77,0.0,14.07,10.0,1.38,2.97,0.09,0.0,0.0,3.3600000000000003,5.64,13.32,13.12,25.52,0.0,3,2016,,0.0,,1922.6666666666667,173.04
2016-06-30,788.68,244.35999999999999,0.122941063727839,0.29,,306.94,321.22,3.26,4.13,481.76,260.3,101.14,16031.91,11156.73,1991.76,4872.61,521.14,67.17,-568.28,14.280000000000001,6.627565886397119,1.33,2.29,0.21,0.29,1.36,6.088509822712027,7.1657077144226164,20.06866506947772,20.32625586966938,28.46,0.0,6,2016,,576.4095238095238,,1987.6190476190475,417.4
