,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-09-30,418.3299999999999,60.81,1.6885972526546438,-0.0012882373579796722,164.48000000000002,82.54999999999998,110.65999999999997,80.0,0.0,335.78,78.20999999999998,727.92,169.62,171.23,1112.91,639.72,1870.77,61.26,0.0,148.09,0.0,148.09,360.0,1722.68,72.58000000000001,-36.56999999999999,-0.6099999999999852,28.11,11.844535438250288,1.67,0.09,6.59,4.5,0.68,13.006554862632733,18.110782066408227,14.123745154222147,14.677215573908647,18.96148660037081,19.11,18.92,7.52,6.36,9,2002,-0.04639218358053654,36.01213960546282,237.32
2002-12-31,437.71000000000004,72.94999999999999,2.026715441389757,-0.0022428700676921693,186.99,103.97000000000003,124.38,70.0,0.0,333.74,98.48000000000002,643.47,192.9,167.81,1050.86,644.63,1972.7,46.75,0.0,177.06,0.0,177.06,360.0,1795.64,100.85999999999996,-100.99000000000001,0.0,20.409999999999997,8.63396984235778,1.4,0.1,8.62,4.5,0.52,14.793612015341475,20.991317239823378,16.2513423792181,16.947291069068875,22.138692106874654,18.54,18.33,5.94,4.99,12,2002,-0.08073031274975051,35.99419953596288,310.27
2003-03-31,443.6,94.23,2.62,0.0,193.4,125.53,143.12,86.5,0.03,318.08,120.58,652.19,182.1,184.68,1055.44,729.61,2095.06,41.12,0.0,205.19,0.0,205.19,360.0,1889.87,147.6,-135.37,0.0,17.59,8.255,1.65,0.11,2.62,0.0,0.0,18.0,25.0,19.96,20.8,26.56,21.49,21.24,5.14,4.24,3,2003,0.0,35.965648854961835,94.23
2003-06-30,432.40999999999997,83.58999999999999,2.3222056011697223,5.25,190.55999999999997,112.09,130.38,90.0,0.0,320.31,109.39999999999999,503.42,178.93,182.42,917.47,788.06,1991.21,49.07,0.0,206.75,0.0,206.75,360.0,1784.46,94.0,-53.76999999999998,-189.0,18.290000000000003,9.689796626390716,1.82,0.12,4.94,5.25,1.06,16.791332808457987,23.278465864357216,18.728071083117758,19.404989315037678,25.045974581037,20.51,20.3,4.44,3.56,6,2003,188.97874493927122,35.99595141700404,177.82
2003-09-30,443.1600000000001,79.32,2.2024764719607997,0.0026318780959920436,187.28000000000003,108.98000000000002,128.44,94.5,0.0,334.19000000000005,108.82000000000002,502.29,178.82,213.94,942.32,801.64,2029.94,56.56,0.0,166.16,0.0,166.16,360.0,1863.78,31.890000000000015,-33.02000000000001,0.0,19.46,10.730375693393848,1.83,0.09,7.14,5.25,0.74,15.633264369604106,21.926054289492104,17.027549194991057,17.693844598273312,22.950175001944466,19.68,19.49,5.67,4.38,9,2003,0.09478447249347255,36.01400560224089,257.14
2003-12-31,477.91999999999985,81.24000000000001,2.256800047284119,-0.002352906408736262,198.68999999999994,116.09999999999997,136.06,99.0,0.0,361.80000000000007,111.00999999999999,553.92,192.74,186.34,981.84,808.03,2099.75,39.41,0.0,154.72,0.0,154.72,360.0,1945.02,102.32,-50.67999999999998,0.0,19.959999999999994,10.964861521418017,1.83,0.08,9.4,5.25,0.56,15.480687983923403,21.81893492523199,16.709923754359004,17.37255866185945,22.8464992020805,19.02,18.83,6.35,5.14,12,2003,-0.08469962453065705,35.99787234042553,338.38
2004-03-31,439.99,84.27,2.34,0.0,192.26,112.66,130.06,103.0,0.0,327.33,109.84,684.48,166.85,207.78,1118.12,825.26,2220.87,48.37,0.0,191.58,0.0,191.58,360.0,2029.29,132.8,-2.25,0.0,17.4,11.005,1.83,0.09,2.34,0.0,0.0,15.16,20.88,16.6,17.2,22.2,19.28,19.15,5.84,4.75,3,2004,0.0,36.01282051282051,84.27
2004-06-30,468.85,86.98,2.4176630656934304,8.45,202.0,116.77000000000001,138.13,107.0,0.0,352.07,114.60999999999999,394.6,182.12,233.57,860.24,818.99,1960.75,53.37,0.0,148.68,0.0,148.68,360.0,1812.07,35.44,-21.12,-304.2,21.36,11.064899977006208,2.13,0.08,4.76,8.45,1.78,17.736301313868612,23.587452262773724,19.19908905109489,19.341304525547447,25.720684379562044,18.99,18.84,5.79,4.21,6,2004,304.0047268907563,35.976890756302524,171.25
2004-09-30,497.26999999999987,82.00999999999999,2.279674642659717,-0.0005775776313844087,201.66999999999996,112.44999999999999,140.10000000000002,107.0,0.0,384.83000000000004,108.48000000000002,502.33,212.7,228.35,995.67,823.98,2030.91,63.29,0.0,136.82,0.0,136.82,360.0,1894.09,70.03999999999999,37.69,0.0,27.65,11.7350079258627,2.03,0.07,7.04,8.45,1.2,16.152012951117428,21.812341467266837,17.31775566611387,17.460235331280106,23.379617784095394,18.15,18.01,7.28,5.61,9,2004,-0.020778027119945364,35.97443181818182,253.26
2004-12-31,463.0500000000002,54.35000000000002,1.5088878775072334,0.010667977973883086,171.96000000000004,79.06,107.75999999999993,103.0,0.0,384.0,80.01999999999998,668.73,184.74,226.27,1142.1,829.11,2090.37,44.89,0.0,141.93,0.0,141.93,360.0,1948.44,106.34,60.07,0.0,28.700000000000003,17.064289788408455,1.9,0.07,8.54,8.45,0.99,10.403198855693901,14.198387568674626,11.15940964207926,11.166477032606227,15.26556353824649,16.6,16.46,8.05,6.45,12,2004,0.3842595672770699,36.01990632318502,307.61
2005-03-31,529.54,89.26,2.48,0.0,211.35,119.64,144.9,101.0,0.0,409.9,116.21,785.34,0.0,212.17,1271.64,836.42,2227.02,55.74,0.0,189.33,0.0,189.33,360.0,2037.7,149.82,-33.21,0.0,25.26,10.1825,1.78,0.09,2.48,0.0,0.0,16.04,21.52,17.52,17.56,23.48,17.0,16.86,6.72,5.6,3,2005,0.0,35.99193548387097,89.26
2005-06-30,451.45000000000005,61.219999999999985,1.7005555555555552,8.45,174.60999999999999,81.86,109.46000000000001,104.0,0.0,369.59000000000003,77.53000000000002,522.72,180.65,229.73,986.92,833.04,1937.31,49.82,0.0,142.59,0.0,142.59,360.0,1794.72,64.38,-22.799999999999997,-304.2,27.599999999999998,15.288885984972232,2.09,0.08,4.18,8.45,2.02,12.64432216905901,16.826549707602336,13.636990962254119,13.571897926634765,18.274869750132908,15.48,15.34,6.92,5.31,6,2005,304.2,36.0,150.48
2005-09-30,466.96000000000004,61.85000000000002,1.718621956388641,-0.0027857580181793926,176.76000000000005,81.94,110.82999999999998,100.0,0.0,385.02,78.01999999999998,578.45,175.75,208.71,1021.62,832.6,1965.12,47.55,0.0,108.56,0.0,108.56,360.0,1856.56,77.78000000000003,-22.050000000000004,0.0,28.89,14.547265561843163,1.94,0.06,5.9,8.45,1.43,12.583808223049031,16.533725804172757,13.329515377007493,13.189695285640282,17.792106626477658,14.79,14.66,9.41,7.49,9,2005,-0.10025423728814076,35.98813559322034,212.33
2005-12-31,535.8799999999999,59.73999999999998,1.6599933840555732,-9.47537803419078e-06,194.62,85.35000000000002,115.69999999999999,94.0,0.0,450.53,81.49000000000001,706.76,203.13,172.84,1123.37,821.38,2055.35,43.91,0.0,139.04,0.0,139.04,360.0,1916.3,146.56,-18.25999999999999,0.0,30.349999999999994,14.152285319718784,1.77,0.07,7.56,8.45,1.12,11.628736722167087,15.625017091189763,12.471907964861979,12.366511559525119,16.898556989010174,13.86,13.71,8.08,6.84,12,2005,-0.00034100080711141345,35.98809523809524,272.07
2006-03-31,545.73,89.6,2.49,0.0,221.86,121.17,149.67,94.0,0.0,424.56,115.4,821.36,189.79,185.44,1239.82,827.28,2175.75,46.37,0.0,169.84,0.0,169.84,360.0,2005.91,147.12,-32.51,0.0,28.5,9.4375,1.69,0.08,2.49,0.0,0.0,16.48,22.0,17.88,17.72,24.160000000000004,16.64,16.42,7.3,6.21,3,2006,0.0,35.98393574297188,89.6
2006-06-30,514.3499999999999,87.07,2.419843210505462,8.0,208.64,118.49,144.81000000000003,89.5,0.0,395.84999999999997,117.91999999999999,552.93,195.09,202.29,1035.36,806.94,1960.84,52.12,0.0,155.86,0.0,155.86,360.0,1804.98,77.85999999999999,-58.29,-288.0,26.32,9.247427644424027,1.79,0.09,4.91,8.0,1.63,17.761944868964736,24.247716080828663,19.299604913114845,19.358745684043697,26.179647931171107,16.91,16.67,6.64,5.34,6,2006,287.85336048879833,35.98167006109979,176.67
2006-09-30,512.6100000000001,72.17000000000002,2.0040777206236946,0.0066439439897257755,190.15999999999997,99.47999999999999,127.37,93.0,0.0,413.14,89.59000000000003,584.84,198.61,206.77,1069.67,795.12,1984.81,39.78,0.0,107.67,0.0,107.67,360.0,1877.14,49.609999999999985,-17.700000000000003,0.0,27.889999999999993,11.60241928779271,1.78,0.06,6.91,8.0,1.16,14.54769008198039,19.9189664041151,15.382964153673045,15.46417135508761,20.963058993730915,16.07,15.82,9.93,8.01,9,2006,0.23925890338688305,36.01157742402315,248.84
2006-12-31,543.6999999999998,70.22,1.9499442111201655,-6.458915176157487e-05,209.12,101.19,129.41999999999996,101.0,0.0,442.5,88.51999999999998,150.49,221.2,178.15,1169.4,796.81,2090.14,36.57,0.0,142.78,0.0,142.78,360.0,1947.36,119.08000000000004,-67.80000000000001,0.0,28.230000000000004,12.949601253204216,1.87,0.07,8.86,8.0,0.9,13.442730520905158,18.698336363066506,14.419903466432645,14.543150504607283,19.904396665204036,15.31,15.08,8.19,6.94,12,2006,-0.002325938460614907,36.011286681715575,319.06
2007-03-31,587.91,105.22,2.92,0.0,240.08,150.67,174.18,107.0,0.0,437.24,142.54,793.04,221.39,173.01,1316.66,824.0,2256.22,51.65,0.0,203.63,0.0,203.63,360.0,2052.59,183.77,-15.34,0.0,23.51,9.16,1.88,0.1,2.92,0.0,0.0,18.64,27.2,20.52,20.76,29.359999999999996,18.15,17.9,6.47,5.62,3,2007,0.0,36.034246575342465,105.22
2007-06-30,507.66999999999996,86.34,2.3978325328878682,8.5,211.06999999999996,122.82000000000002,147.37,108.0,0.0,384.84000000000003,119.41,472.11,213.09,214.66,1036.75,855.1,2003.12,46.66,0.0,170.19,0.0,170.19,360.0,1832.93,41.69999999999999,-56.629999999999995,-306.0,24.55,11.259752142691683,2.12,0.09,5.32,8.5,1.6,17.23554813113385,24.879766130716227,18.84011275840468,18.984343286698685,26.898993526832324,17.74,17.48,6.09,4.83,6,2007,306.06390977443607,36.00751879699248,191.56
2007-09-30,546.1500000000001,97.80000000000001,2.7174177495161733,-0.0041257761489689,232.5,138.39,163.84999999999997,119.0,0.0,407.76999999999987,133.57,214.55,225.55,220.75,1101.96,852.07,2061.02,51.94,0.0,130.3,0.0,130.3,360.0,1930.72,50.41,-307.98,0.0,25.459999999999994,10.947157464212678,2.22,0.07,8.04,8.5,1.06,18.98136577273984,27.525684268730995,20.26571744539674,20.549626762510368,28.837074923970142,17.85,17.63,8.46,6.76,9,2007,-0.14848688886388572,35.99004975124379,289.36
2007-12-31,587.3499999999999,92.80000000000001,2.578857023236341,-0.0012083709566060314,244.52999999999997,131.24,158.32000000000005,120.0,0.0,456.1100000000001,129.93000000000006,277.49,243.64,211.33,1236.34,862.15,2210.69,51.28,0.0,187.16,0.0,187.16,360.0,2023.53,178.64999999999998,-119.81,0.0,27.08,11.63364224137931,2.13,0.09,10.62,8.5,0.8,16.794138580699183,24.535566254971744,18.348252041029937,18.697927569604357,26.070253297048357,17.31,17.14,6.61,5.48,12,2007,-0.043483149225664874,35.984934086629,382.16
2008-03-31,634.14,118.28,3.29,0.0,261.36,168.58,192.06,135.0,0.0,465.56,158.84,716.6,253.35,255.06,1398.65,880.67,2391.42,71.62,0.0,249.5,0.0,249.5,360.0,2141.92,140.99,298.12,0.0,23.48,10.2575,2.27,0.12,3.29,0.0,0.0,19.8,29.0,22.08,22.56,31.479999999999997,18.94,18.65,5.61,4.58,3,2008,0.0,35.951367781155014,118.28
2008-06-30,595.67,94.47999999999999,2.6244444444444444,8.72,233.3,134.65,158.99,134.0,0.0,461.02000000000004,133.08,509.25,244.8,262.54,1123.58,891.86,2137.03,65.02,0.0,214.66,0.0,214.66,360.0,1922.37,68.22,38.35000000000002,-313.92,24.34,12.762672523285351,2.51,0.11,5.91,8.72,1.48,17.691686407219404,26.02241022748637,19.663350253807106,20.1251814250799,28.01183681143072,17.52,17.3,5.23,4.01,6,2008,313.92,36.0,212.76
2008-09-30,573.72,93.47000000000003,2.597491101459688,-0.00370179277013912,211.99999999999994,113.40999999999997,138.59999999999997,134.0,0.0,460.31000000000006,108.27999999999997,214.06,249.0,267.28,1125.09,915.34,2152.4,59.78,0.0,136.56,0.0,136.56,360.0,2015.85,9.819999999999993,-305.0,0.0,25.190000000000005,12.900188563175348,2.39,0.07,8.51,8.72,1.02,17.37358325441662,24.149646997354935,18.54565914508703,18.948560232504985,25.2362590209973,17.17,16.98,8.24,6.28,9,2008,-0.13320799059926003,35.98472385428907,306.23
2008-12-31,529.0699999999999,69.04999999999995,1.9172377957791504,0.007416401785450914,195.95000000000005,98.09000000000003,123.29000000000008,122.0,0.0,430.99,91.85000000000002,340.06,236.31,229.52,1202.37,913.37,2234.26,46.85,0.0,149.36,0.0,149.36,360.0,2084.9,163.05999999999997,-37.06,0.0,25.19999999999999,15.910676321506166,2.11,0.07,10.42,8.72,0.84,12.364527819228302,17.04538477936473,13.247708377744608,13.44642400341078,18.171439991473026,16.28,16.09,8.05,6.51,12,2008,0.2671043437662206,36.01535508637236,375.28
2009-03-31,637.83,114.25,3.17,0.0,253.55,152.55,174.55,137.0,0.0,485.28,151.8,696.8,253.0,237.66,1340.02,930.44,2403.56,63.22,0.0,204.74,0.0,204.74,360.0,2198.83,187.25,169.48,0.0,22.0,10.805,2.24,0.09,3.17,0.0,0.0,19.0,25.44,20.8,21.04,27.76,18.05,17.91,6.54,5.38,3,2009,0.0,36.041009463722396,114.25
2009-06-30,613.9999999999999,141.31,3.9258921583972453,8.75,248.96999999999997,181.58999999999997,203.92000000000002,130.0,0.0,432.4100000000001,159.55,406.21,239.05,252.0,1119.67,945.77,2218.39,62.44,0.0,193.13,0.0,193.13,360.0,2025.26,115.57999999999998,-91.16,-315.0,22.33,8.278436770221498,2.31,0.1,7.1,8.75,1.23,25.479593050555643,33.92855532947253,27.912540303646892,28.642424479574267,36.49420879636876,21.01,20.41,5.8,4.49,6,2009,314.9507042253521,35.9943661971831,255.56
2009-09-30,584.0900000000001,93.38,2.5931455264515386,0.0038765290776000666,236.64,133.3,156.41999999999996,137.0,0.0,450.78999999999996,135.70999999999998,318.68,235.66,238.35,1158.88,969.89,2276.7,60.67,0.0,157.98,0.0,157.98,360.0,2118.72,75.90000000000003,-163.43,0.0,23.120000000000005,13.209497751124438,2.33,0.07,9.69,8.75,0.9,16.409874476987447,22.597028715538485,17.63017825414111,18.069059437152518,23.613948529833205,19.41,19.01,7.34,5.83,9,2009,0.13959505225363955,36.01031991744066,348.94
2009-12-31,623.44,81.04000000000002,2.2503781571235875,0.0003414731508146897,245.89999999999998,116.63000000000005,141.02999999999997,142.0,0.0,506.79999999999995,120.10999999999996,352.42,251.58,237.02,1276.8,987.4,2409.62,59.12,0.0,209.83,0.0,209.83,360.0,2199.78,171.37,-137.63,0.0,24.39999999999999,15.771415967423493,2.32,0.1,11.94,8.75,0.73,13.449496255639799,18.96047258012001,14.738657611981957,15.130683287594776,20.015926322154524,17.79,17.48,6.08,4.96,12,2009,0.012297037302118952,36.01172529313233,429.98
2010-03-31,653.08,105.74,2.94,0.0,258.37,141.32,164.29,160.0,0.0,511.76,142.47,347.17,257.96,256.15,1424.0,999.86,2567.09,83.7,0.0,261.51,0.0,261.51,360.0,2305.57,162.83,-168.08,0.0,22.97,13.605,2.5,0.11,2.94,0.0,0.0,16.48,22.76,18.36,18.76,24.52,16.28,16.19,5.45,4.47,3,2010,0.0,35.965986394557824,105.74
2010-06-30,626.5500000000001,106.17999999999999,2.951114571536429,10.1,250.69,142.01,165.29999999999998,180.0,0.0,484.53999999999996,147.30999999999997,407.39,257.38,257.88,1147.64,996.05,2298.86,109.65,0.0,250.75,0.0,250.75,360.0,2048.11,105.17999999999998,318.64,-363.6,23.29,15.248340553776604,3.16,0.12,5.89,10.1,1.71,18.478286145715366,25.132072480181197,20.742978482446205,20.863227633069084,27.717429218573045,16.66,16.56,4.58,3.55,6,2010,363.39422750424444,35.97962648556876,211.92
2010-09-30,600.7199999999998,97.37000000000003,2.7042849752659324,0.007347750456013069,239.20999999999998,138.5,162.16000000000003,176.0,0.0,462.23,141.19000000000005,294.21,262.8,241.98,1197.0,1007.81,2338.82,84.46,0.0,193.31,0.0,193.31,360.0,2145.51,71.37,-184.56,0.0,23.660000000000004,16.27131585704015,2.95,0.09,8.59,10.1,1.18,16.64756571502474,23.019478159655993,18.158691195964956,18.272025607035474,24.75727246273724,16.54,16.45,6.19,4.94,9,2010,0.26456178562750665,36.0058207217695,309.29
2010-12-31,680.6199999999999,109.14999999999998,3.031074945033935,0.0012639051039289994,270.71000000000004,156.24000000000007,180.23000000000002,176.0,0.0,524.3700000000001,156.85000000000002,341.9,271.72,230.88,1341.82,1013.38,2494.28,81.66,0.0,239.48,0.0,239.48,360.0,2254.8,169.57,-121.87,0.0,23.989999999999995,14.519848831882733,2.81,0.11,11.62,10.1,0.87,17.50824013000669,24.6033553197591,19.36549087085364,19.605472708154092,26.752757862537038,16.44,16.34,5.6,4.64,12,2010,0.0455136361177324,36.010327022375215,418.44
2011-03-31,684.27,111.15,3.09,0.0,273.86,159.48,180.06,190.0,0.0,524.79,154.11,315.01,281.7,272.14,1502.33,1034.18,2675.3,104.61,0.0,307.98,33.66,341.64,360.0,2333.66,165.25,-192.14,0.0,20.58,15.3725,2.93,0.15,3.09,0.0,0.0,16.6,24.32,19.04,19.16,26.96,16.38,16.24,4.88,3.99,3,2011,0.0,35.97087378640777,111.15
2011-06-30,609.4000000000001,96.03,0.26883579496090354,1.05,242.97000000000003,137.96,159.07999999999998,22.9,0.0,471.44000000000005,131.41999999999996,281.96,246.24,274.78,1144.0,1044.27,2332.73,82.71,0.0,246.0,35.03,281.03,360.0,2051.7,43.16999999999999,301.78,-378.0,21.120000000000005,21.294039362699156,4.02,0.14,0.58,1.05,1.81,16.463874891398785,23.805873153779324,18.725803649000866,18.744344048653343,26.420069504778454,16.17,16.01,4.65,3.53,6,2011,375.0672413793104,357.2068965517242,207.18
2011-09-30,659.8299999999999,121.49000000000001,0.3363735661910123,0.011538352587177161,272.62,173.97000000000003,195.84000000000003,22.5,0.0,485.8599999999999,166.49,327.88,234.84,266.82,1227.27,1044.49,2420.5,94.8,0.0,211.06,36.4,247.46,360.0,2173.04,182.44000000000003,-136.53,0.0,21.869999999999997,16.725675158449253,3.73,0.11,0.91,1.05,1.15,20.078914412632734,29.29037514832507,22.355904706848815,22.503761219460248,31.55257979128001,17.0,16.82,5.81,4.55,9,2011,4.167374005304964,361.1758241758242,328.67
2011-12-31,723.8699999999999,149.71999999999997,0.4162453228537385,-0.0043323197841478025,308.55999999999995,215.53000000000003,237.75,22.4,0.0,508.35000000000014,206.27999999999997,307.93,262.49,259.6,1431.49,1037.79,2615.59,71.04,0.0,258.34,34.4,292.74,360.0,2322.85,180.22000000000003,-200.16000000000003,0.0,22.220000000000006,13.451922922789208,3.47,0.13,1.33,1.05,0.79,22.896622421037222,33.6626668617655,25.775913376115717,26.163991722234993,36.47936453521185,18.08,17.87,5.54,4.54,12,2011,-1.5582995951417047,359.69172932330827,478.39
2012-03-31,717.21,174.83,0.49,0.0,317.7,228.43,247.17,24.5,0.0,488.78,216.29,329.84,250.41,276.67,1667.87,1051.82,2880.61,107.26,0.0,347.02,35.83,382.85,360.0,2497.76,216.68,-194.77,0.0,18.74,12.499999999999998,3.53,0.15,0.49,0.0,0.0,24.28,32.88,28.0,28.96,36.08,24.8,24.38,4.81,4.01,3,2012,0.0,356.795918367347,174.83
2012-06-30,652.6099999999999,144.54999999999998,0.40281013213100375,1.22,284.09999999999997,188.40999999999997,208.76000000000002,30.0,0.0,464.19000000000005,179.87000000000003,278.87,252.58,268.77,1258.62,1079.51,2497.17,89.87,0.0,256.88,37.26,294.15,360.0,2203.02,89.11000000000001,299.12,-439.2,20.350000000000005,18.62037322725701,4.9,0.13,0.89,1.22,1.37,23.15479366272152,31.24720395766798,26.250547936627214,27.173843070949964,33.691220489698786,23.67,23.32,4.9,3.85,6,2012,437.80179775280897,358.85393258426967,319.38
2012-09-30,647.28,137.62,0.3824450765864333,0.0033516780173578533,274.20000000000005,179.51000000000005,202.91000000000003,30.5,0.0,467.78,172.25999999999993,326.15,258.52,273.75,1340.32,1087.42,2585.75,85.12,0.0,206.34,38.7,245.04,360.0,2340.71,146.81,-99.53999999999999,0.0,23.4,19.941033280046504,4.69,0.1,1.27,1.22,0.96,21.28442363238512,28.69241487964989,23.51284376367615,24.392166301969365,30.18605864332604,22.98,22.66,6.5,5.17,9,2012,1.206076262939007,359.84251968503935,457.0
2012-12-31,664.19,114.10000000000002,0.31766590789704086,-0.002242198713078763,260.8299999999999,150.91999999999996,176.90999999999997,33.0,0.0,513.27,143.46000000000004,411.56,259.62,272.34,1425.89,1133.41,2715.62,66.69,0.0,222.22,38.43,260.65,360.0,2454.97,136.63,-51.22,0.0,25.990000000000002,25.964778702892197,4.84,0.11,1.59,1.22,0.77,16.806324636666087,22.400441253720896,18.588450358956404,19.10790404482578,23.950810716161797,21.6,21.3,6.42,5.19,12,2012,-0.8053582924775355,359.1823899371069,571.1
2013-03-31,698.81,139.04,0.39,0.0,275.62,173.87,193.51,31.5,0.0,524.94,162.07,752.63,278.7,279.47,1626.39,1135.72,2952.08,97.29,0.0,284.37,39.96,324.32,360.0,2627.76,207.51,133.56,0.0,19.64,20.1925,4.32,0.12,0.39,0.0,0.0,18.84,23.839999999999996,21.16,21.72,26.08,20.25,19.9,5.72,4.74,3,2013,0.0,356.5128205128205,139.04
