,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-06-30,3873.5600000000004,-1047.3400000000001,-0.1121918747360238,0.0,-43.610000000000014,-911.8400000000001,-703.4699999999998,0.43,0.0,4785.41,-200.62,193.31,85.36,4315.73,5649.31,24166.83,30491.61,349.44,471.15,0.0,1700.11,14142.36,15842.47,76138.52,14649.14,-516.26,-73.83,298.56,208.37,-0.9592940687837759,3.24,1.08,-0.35,-13.745107396230575,-11.975681257536714,-28.592900647009497,-25.310486940446967,-13.321983754369,-46.39,-41.26,0.0,3.32,0.78,6,2006,0.0,9335.257142857145,-3267.34
2006-09-30,5507.19,36.07999999999993,0.0034614360961358654,0.0,726.11,195.30999999999995,404.0999999999999,0.34,0.0,5311.880000000001,240.23000000000002,386.91,860.83,3826.78,5983.21,24057.22,30716.87,196.71,484.07,0.0,1751.53,9427.2,11178.73,171478.84,19538.14,515.25,57.26,-378.90999999999997,208.78999999999996,24.62850609756103,4.32,0.57,-0.31,0.4698620352432168,0.39840012874234737,0.7387374584527382,0.7682154948843468,0.43100462358336905,-25.85,-24.07,0.0,3.42,1.23,9,2006,0.0,10423.41935483871,-3231.26
2006-12-31,4565.299999999999,-263.8199999999997,-0.020380477700081237,0.0,241.31,-122.84999999999991,95.94000000000005,0.34,0.0,4688.139999999999,-163.28999999999996,798.4,400.4,4554.56,6731.92,23926.72,31351.12,307.36,1246.36,0.0,2525.98,9546.59,12072.57,23279.55,19278.56,339.28,-39.53,111.75,218.79000000000008,-4.173111212190134,0.6,0.63,-0.27,-3.366552983050456,-2.7566483170628397,-5.474045343740337,-5.688417775844896,-3.055561989997364,-20.53,-19.43,0.0,2.67,0.86,12,2006,0.0,12944.740740740739,-3495.08
2007-03-31,5270.85,-295.85,-0.01,0.0,65.26,-181.12,44.81,0.3,0.0,5451.96,-322.93,676.11,558.04,3896.34,6356.66,23806.9,30852.85,535.08,488.99,0.0,2322.94,7911.92,10234.85,27640.34,20618.0,-159.67,-138.03,176.98,225.93,-7.499999999999999,0.58,0.5,-0.01,-3.84,-2.36,-5.72,-6.52,-2.52,-5.77,-5.61,0.0,2.74,1.06,3,2007,0.0,29585.0,-295.85
2007-06-30,5947.84,125.64000000000001,0.0073814699488866705,0.0,494.24,222.68,459.43,0.33,0.0,5725.169999999999,91.53,354.55,705.31,3966.76,6266.88,23679.26,30654.51,484.57,582.1,0.0,1922.0,7561.58,9483.58,28755.69,21170.93,-276.65,33.599999999999994,-77.57,236.75,11.176635625596942,0.65,0.45,-0.01,1.6534492685506141,-0.41336231713765353,2.3620703836437347,2.804958580576934,-0.41336231713765353,-1.56,-1.52,0.0,3.26,1.2,6,2007,0.0,17021.0,-170.21
2007-09-30,6674.999999999998,61.38000000000001,-0.0,-0.0,398.70000000000005,159.4,389.11,0.32,0.0,6515.590000000002,103.86,499.57,1148.27,3091.02,6100.56,23588.97,30424.85,155.53,845.37,0.0,1618.86,7572.71,9191.57,28755.69,21233.27,793.28,-227.55,-421.28999999999996,229.70999999999998,-0.0,0.63,0.43,0.0,0.8121584122025178,-1.4889570890379493,1.1505577506202336,1.1956776624092624,-1.5791969126160068,-0.62,-0.61,0.0,3.77,1.86,9,2007,0.0,-inf,-108.83
2007-12-31,6044.5,-67.69000000000001,-0.003834692952639928,0.0,366.99,27.73999999999998,288.82000000000005,0.24,0.0,6016.779999999999,11.350000000000009,360.94,1430.34,4079.59,6820.53,23452.37,31101.43,801.19,939.35,0.0,2800.59,7132.37,9932.96,28755.69,21168.47,-820.41,69.93,612.04,261.08000000000004,-15.64662431673807,0.47,0.47,-0.01,-0.8743099932019034,1.1197303421708589,-1.273118060276456,-1.3344731475186948,1.2424405166553367,-0.75,-0.74,0.0,2.44,0.98,12,2007,0.0,17652.0,-176.52
2008-03-31,6688.32,473.69,0.02,0.0,560.14,488.75,714.04,0.27,0.0,6199.58,76.65,375.82,2105.79,3450.13,7669.32,23359.46,31880.69,358.97,1042.78,0.0,3487.98,850.84,4338.82,44466.72,27541.87,566.54,-110.55,-440.4,225.29,3.375,0.63,0.16,0.02,5.96,6.24,6.88,7.88,6.88,7.55,7.08,0.0,2.2,1.21,3,2008,0.0,23684.5,473.69
2008-06-30,7993.58,537.3599999999999,0.015944612036991244,0.0,1220.2600000000002,556.9100000000001,838.44,0.46,0.0,7436.66,556.07,304.94,1433.62,4963.39,8766.69,23196.12,33198.95,384.87,2340.07,0.0,4219.44,886.83,5106.26,30967.89,28092.68,477.28,-154.27999999999997,-394.5400000000001,281.53,7.210899815765968,0.73,0.18,0.03,6.484142228376439,6.97311033084417,7.653413777755797,8.716387913555213,7.674673260471785,7.09,6.89,0.0,2.08,0.9,6,2008,0.0,33701.666666666664,1011.05
2008-09-30,7895.640000000001,53.680000000000064,0.001512496125778368,0.0,1399.48,99.0,481.8399999999999,0.24,0.0,7796.629999999999,576.6800000000001,131.19,1964.8,6131.99,10691.32,22897.62,34782.31,1516.21,3066.59,0.0,6056.3,607.71,6664.02,30967.89,28118.29,-1612.9899999999998,258.12,1180.94,382.84,39.66952309985092,0.38,0.24,0.03,0.6170984193175741,0.7078481868642763,0.7643147088933354,0.8691811069473022,0.8026312774130541,4.84,4.72,0.0,1.77,0.75,9,2008,0.0,35491.0,1064.73
