,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2009-03-31,74.38,,,,,,,6.85,0.0,17.62,-3.83,42.57,0.0,947.2,31.59,68.74,-61.65,0.16,3,2009,,,,,,,,,,,,
2009-06-30,-57.75999999999999,,,,,,,6.9,0.0,-13.530000000000001,2.45,19.17,0.0,943.67,29.03,-78.64,48.15,0.31,6,2009,,,,,,,,,,,,
2009-09-30,16.63,,,,,,,6.95,0.0,4.74,-0.9900000000000002,29.89,0.0,943.34,29.41,23.32,-12.600000000000001,0.45,9,2009,,,,,,,,,,,,
2009-12-31,17.159999999999997,,,,,,,7.55,0.0,4.709999999999999,-1.1799999999999997,30.89,0.0,946.58,30.97,13.15,-12.149999999999999,0.59,12,2009,,,,,,,,,,,,
2010-03-31,68.23,,,,,,,7.4,0.0,17.04,-4.32,45.23,0.0,948.92,31.14,53.06,-50.4,0.14,3,2010,,,,,,,,,,,,
2010-06-30,-50.84,,,,,,,8.25,0.0,-13.6,3.39,55.84,0.0,949.13,30.9,-28.950000000000003,36.9,0.29,6,2010,,,,,,,,,,,,
2010-09-30,18.22,,,,,,,8.1,0.0,3.27,-1.0299999999999998,63.37,0.0,956.99,37.32,21.03,-13.5,0.44,9,2010,,,,,,,,,,,,
2010-12-31,19.490000000000002,,,,,,,8.05,0.0,3.000000000000001,-0.7600000000000002,38.7,0.0,938.43,37.88,-9.740000000000002,-14.939999999999998,0.6,12,2010,,,,,,,,,,,,
2011-03-31,72.63,,,,,,,8.15,0.0,13.51,-3.06,117.16,0.0,967.49,53.21,113.86,-41.94,0.0,3,2011,,,,,,,,,,,,
2011-06-30,-53.92999999999999,,,,,,,8.15,0.0,-9.77,1.8800000000000001,27.36,0.0,936.11,32.58,-174.85,13.139999999999997,0.15,6,2011,,,,,,,,,,,,
2011-09-30,18.680000000000003,,,,,,,8.1,0.0,2.9299999999999997,-0.9600000000000002,30.27,0.0,930.74,29.45,20.9,-17.999999999999996,0.35,9,2011,,,,,,,,,,,,
2011-12-31,17.099999999999994,,,,,,,8.0,0.0,2.58,-0.6699999999999999,87.81,0.0,915.87,29.76,71.95,-14.400000000000006,0.51,12,2011,,,,,,,,,,,,
2012-03-31,73.53,,,,,,,7.85,0.0,11.88,-3.24,23.47,0.0,932.91,30.38,-32.49,-61.2,0.0,3,2012,,,,,,,,,,,,
2012-06-30,-56.13,,,,,,,7.6,4.58,-1.7200000000000006,2.6100000000000003,25.45,0.0,929.92,44.9,47.07,48.6,0.14,6,2012,,,,,,,,,,,,
2012-09-30,16.64,,,,,,,7.65,6.15,5.34,-1.3900000000000001,28.79,0.0,919.44,33.02,25.39,-22.049999999999997,0.25,9,2012,,,,,,,,,,,,
2012-12-31,15.240000000000002,,,,,,,7.6,5.91,3.1900000000000013,-2.39,32.87,0.0,938.11,33.64,13.980000000000004,-9.899999999999999,0.36,12,2012,,,,,,,,,,,,
2013-03-31,63.73,,,,,,,7.4,5.91,22.65,-6.5,38.23,0.0,944.72,39.67,69.21,-54.45,0.11,3,2013,,,,,,,,,,,,
2013-06-30,-45.58,,,,,,,6.8,0.55,-17.7,4.4399999999999995,45.2,0.0,949.92,41.56,-52.33999999999999,44.550000000000004,0.22,6,2013,,,,,,,,,,,,
2013-09-30,21.4,,,,,,,6.8,0.9,6.169999999999999,-3.06,47.1,0.0,949.4,35.72,11.8,-9.9,0.33,9,2013,,,,,,,,,,,,
2013-12-31,18.82,,,,,,,6.85,0.0,3.6900000000000013,-2.5199999999999996,46.67,0.0,947.21,29.85,14.04,-14.459999999999997,0.49,12,2013,,,,,,,,,,,,
2014-03-31,75.5,,,,,,,6.9,0.0,18.28,-9.35,44.55,0.0,945.64,29.61,55.57,-49.25,0.17,3,2014,,,,,,,,,,,,
2014-06-30,-55.57,,,,,,,7.35,0.0,-14.490000000000002,7.47,48.07,0.0,950.75,31.54,-39.08,36.28,0.31,6,2014,,,,,,,,,,,,
2014-09-30,15.450000000000003,,,,,,,7.55,0.0,5.63,-3.76,41.5,0.0,947.17,30.29,5.57,-12.15,0.45,9,2014,,,,,,,,,,,,
2014-12-31,18.339999999999996,,,,,,,7.0,0.0,5.67,-3.8,46.21,0.0,946.72,27.38,14.620000000000001,-9.900000000000002,0.56,12,2014,,,,,,,,,,,,
2015-03-31,74.13,,,,,,,7.05,0.0,20.49,-12.69,55.93,0.0,955.86,32.6,57.5,-46.12,0.12,3,2015,,,,,,,,,,,,
2015-06-30,-56.97,,,,,,,7.45,0.0,-14.43,8.36,42.92,0.0,954.54,35.16,-55.53,31.139999999999997,0.29,6,2015,,,,,,,,,,,,
2015-09-30,18.069999999999997,,,,,,,7.25,0.34,5.53,-3.2699999999999996,33.74,0.0,952.26,31.15,1.6199999999999999,-10.8,0.41,9,2015,,,,,,,,,,,,
2015-12-31,16.840000000000003,,,,,,,7.3,0.34,3.8900000000000006,-2.040000000000001,34.96,0.0,971.31,31.55,12.739999999999998,-11.519999999999996,0.54,12,2015,,,,,,,,,,,,
2016-03-31,70.13,,,,,,,7.4,0.34,22.57,-14.78,33.81,2.56,972.27,33.7,27.33,-49.46,0.14,3,2016,,,,,,,,,,,,
2016-06-30,-51.28999999999999,,,,,,,7.8,0.0,-19.1,13.2,35.18,2.7,972.64,32.6,-12.069999999999999,35.56,0.29,6,2016,,,,,,,,,,,,
2016-09-30,20.470000000000002,,,,,,,7.85,0.0,5.039999999999999,-3.13,31.12,1.25,979.22,36.81,9.000000000000002,-13.049999999999999,0.43,9,2016,,,,,,,,,,,,
2016-12-31,21.379999999999995,,,,,,,7.95,0.0,4.540000000000001,-2.3099999999999996,41.18,0.25,988.21,32.09,23.099999999999998,-13.05,0.58,12,2016,,,,,,,,,,,,
2017-03-31,79.65,,,,,,,8.2,0.0,16.41,-8.44,11.97,0.34,990.41,32.2,31.65,-53.5,0.15,3,2017,,,,,,,,,,,,
2017-06-30,-79.65,,,,,,,8.4,,-16.41,8.44,13.65,0.91,984.77,32.82,-11.969999999999999,35.5,0.35,6,2017,,,,,,,,,,,,
2017-09-30,37.64,,,,,,,8.45,0.1,11.06,-7.25,9.6,0.36,986.61,31.87,8.010000000000002,-12.059999999999999,0.48,9,2017,,,,,,,,,,,,
