,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-09-30,64284.44,587.1800000000001,0.12280574123436541,0.18734948361266093,5621.899999999998,1840.08,3926.33,25.5,0.0,62444.36,1304.2799999999997,3561.08,30331.74,29525.72,69741.5,98241.74,191412.85,12264.53,31198.37,3943.38,55432.65,74808.52,130241.17,4814.26,59111.38,6152.140000000001,-2931.76,-3190.33,2086.25,51.911253789297994,2.08,2.2,0.51,0.33,0.65,1.2232415009226985,3.438560754562231,3.9779428337092475,4.006838302234981,4.709961369694485,1.29,1.27,2.8,1.26,0.73,9,2014,895.7876780185758,4781.3725490196075,2438.5
2014-12-31,55062.75,-953.1199999999999,-0.1796668865879438,0.032568485148977575,4312.230000000003,292.9400000000005,2342.4299999999985,20.2,0.0,54769.81,163.85000000000036,5419.58,26202.99,29141.06,72180.19,98900.6,195488.08,8581.04,27764.21,4434.57,48065.72,71867.6,119933.33,4814.26,73481.04,3330.6699999999983,-8054.230000000001,6583.51,2049.49,-28.10645910273628,1.32,1.63,0.28,0.33,1.18,-1.9506690543833898,-9.265678008321101,-5.184673012966378,-5.698006974646217,-12.089014797560218,0.61,0.6,1.97,1.5,0.9,12,2014,172.77348739495824,5304.928571428572,1485.38
2015-03-31,54047.48,248.95,0.01,0.0,5502.02,1541.43,3650.76,26.0,0.0,52506.04,1381.97,14172.64,26094.75,24883.7,71397.09,97672.98,193731.64,7621.66,28754.91,5981.79,50650.59,70242.18,120892.77,4814.26,71062.72,9019.5,2930.78,-3174.25,2109.33,650.0,1.76,1.7,0.01,0.0,0.0,0.52,3.24,1.4,1.52,4.32,0.46,0.46,1.83,1.41,0.92,3,2015,0.0,24895.0,248.95
2015-06-30,65054.30999999999,5328.62,1.0222414779195959,0.19,8391.199999999999,7347.59,9757.0,27.75,0.0,57706.74,3503.71,5548.74,33651.86,32133.04,78377.19,110496.13,218685.36,12224.33,36559.82,5210.72,63104.0,75466.78,138570.79,4814.27,78043.37,6258.280000000001,-16951.989999999998,2069.01,2409.41,6.785358596597242,1.71,1.78,1.07,0.19,0.18,9.74473184558867,16.508722185467867,27.323463802336864,30.686351654932164,21.820556407180906,4.85,4.68,3.87,1.24,0.73,6,2015,990.4096261682241,5212.682242990653,5577.57
2015-09-30,62795.31999999999,625.1300000000001,0.11690889451367954,0.24477821491364404,6745.17,2122.3500000000004,4527.4299999999985,23.0,0.0,60672.95999999999,1771.38,4897.6,33356.26,32060.66,78376.94,120035.23,229427.42,14068.5,34024.96,6510.0,64581.69,79931.28,144512.98,4814.27,81700.13,2727.3500000000004,-4725.18,1346.02,2405.08,49.18958496632699,1.36,1.77,1.16,0.43,0.37,1.088462121334258,2.108391442436359,3.0597879633063028,3.5516115885017823,2.6929359150047563,3.5,3.41,3.38,1.21,0.72,9,2015,1308.867097969707,5347.1551724137935,6202.7
2015-12-31,58236.47,406.5600000000004,0.07381643330720844,0.012535402001810038,5882.360000000001,1409.9699999999993,3811.84,21.3,0.0,56826.5,683.71,3232.48,27499.57,31785.63,70548.2,120365.58,221640.62,12106.39,31148.97,5024.6,57383.15,81304.5,138687.65,4814.27,79825.24,6800.98,-2553.130000000001,-5848.259999999999,2401.870000000001,72.13840823002748,1.28,1.74,1.2,0.43,0.36,0.7332432375182705,1.466486475036541,2.0373335592789528,2.120992183693789,1.8601741193416528,2.82,2.75,3.41,1.23,0.68,12,2015,69.04144252873584,5507.716666666667,6609.26
2016-03-31,60785.09,4104.46,0.81,0.0,6553.85,5318.58,7661.7,22.8,0.0,55466.52,1776.45,7185.8,29548.17,34487.46,78850.0,133853.74,245808.23,21012.62,31455.99,8739.58,71762.73,87752.26,159514.99,4814.27,83143.44,4964.77,-18027.87,17011.09,2343.12,7.0375,1.32,1.92,0.81,0.0,0.0,6.68,9.68,19.76,21.28,12.24,7.18,6.75,5.16,1.1,0.62,3,2016,0.0,5067.234567901234,4104.46
2016-06-30,70424.66,5949.54,1.1835170081559578,0.24,11238.51,8322.12,11174.099999999999,29.0,0.0,62102.52,5278.06,3780.85,34761.69,38082.34,85856.71,137507.69,258293.75,17680.45,34082.59,13858.42,75878.78,93182.55,169061.32,4814.27,86172.44,3709.4799999999996,-10188.14,3055.829999999998,2851.9800000000005,6.125809726466247,1.62,1.96,2.0,0.24,0.12,9.207762323453352,13.539434573304158,27.62328697036006,28.97249635965785,17.70541444201313,8.11,7.66,4.98,1.13,0.63,6,2016,1206.48,5027.0,10054.0
2016-09-30,66495.28,3183.66,0.6301105482388881,0.3012132657886666,9396.59,4954.549999999999,7887.470000000001,28.25,0.0,61540.740000000005,3908.3600000000006,3415.29,31080.36,37005.48,79794.13,134189.78,250724.13,7406.52,34420.96,12113.96,64051.12,97424.45,161475.56,4814.27,86208.91,10426.41,-3811.3600000000006,-7015.769999999999,2932.92,11.205811455997186,1.58,1.87,2.62,0.54,0.21,5.079364419391342,7.455506486796004,14.776332856411178,15.170753199583611,9.581528336579124,6.99,6.7,4.75,1.25,0.67,9,2016,1521.8926717557251,5052.541984732824,13237.66
2016-12-31,65740.06000000003,2959.4400000000005,0.5755496971680116,0.009388105523177974,9232.84,4048.4000000000015,6985.810000000001,33.5,0.0,61691.649999999994,3779.879999999999,4025.65,31085.5,40458.85,84495.25,136860.35,258380.48,9205.55,37316.1,9910.58,65861.51,100704.04,166565.55,4814.27,89055.38,5845.52,-4354.820000000003,-828.4699999999993,2937.41,14.544573720028112,1.81,1.87,3.15,0.54,0.17,4.582471874594835,6.891979230849968,13.294284433633184,14.017832624358682,8.594875477708973,6.36,6.15,5.22,1.28,0.67,12,2016,48.2730425299892,5141.936507936508,16197.1
2017-03-31,72000.18,4426.47,0.8699999999999999,0.0,7857.38,6352.72,9162.78,35.25,0.0,65647.46,6026.19,4832.68,34075.12,40735.0,87740.8,134730.29,258923.38,8093.71,39933.01,11501.23,69137.24,96345.97,165483.21,4814.31,90805.77,7727.03,-4933.35,-1991.1,2810.06,10.13,1.87,1.82,0.87,0.0,0.0,6.84,10.08,19.48,20.359999999999996,13.4,6.18,6.15,6.06,1.27,0.68,3,2017,0.0,5087.896551724139,4426.47
2017-06-30,71767.96000000002,2937.08,0.5663916996557367,0.36,14013.86,4325.61,7201.17,38.0,0.0,67442.33999999998,4298.330000000001,5070.24,33351.72,41088.14,89032.48,142627.2,270777.17,11203.94,39561.46,4904.01,66558.76,109421.92,175980.68,4814.33,92787.62,8237.650000000001,-11813.78,3769.1899999999996,2875.56,16.772491556239533,1.97,1.9,1.42,0.36,0.25,4.339677248066489,6.445697089039933,12.668028437370563,13.13071461455412,8.344305885069023,5.14,5.12,3.84,1.34,0.72,6,2017,1866.8154929577468,5185.5985915492965,7363.55
2017-09-30,73101.25,3516.45,0.6657984375,0.456540448943662,12600.869999999999,5078.99,8212.32,42.25,1871.31,68022.27000000002,6580.939999999999,4448.26,31413.17,41931.71,86144.59,145108.84,269531.55,5598.83,34401.03,5517.43,57757.83,101137.97,158895.81,5244.96,108629.44,5840.450000000001,-5427.559999999998,-994.0799999999999,3133.330000000001,15.864636209813877,2.04,1.46,2.06,0.81,0.39,5.2229624999999995,7.834443749999998,12.953981249999998,14.440715624999998,9.618525,5.04,5.02,4.15,1.49,0.77,9,2017,2411.242759469438,5281.553398058252,10880.0
