,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2009-12-31,37.58,-107.33000000000001,-0.16205758210082016,0.0,-36.72,-139.66000000000003,-108.51000000000002,0.44,0.0,177.23999999999995,-45.76999999999998,7.58,23.56,35.78,1984.09,2080.64,0.0,403.46,115.76,666.69,517.73,1184.42,660.21,786.78,-8.35,69.13000000000001,-58.13999999999999,31.14999999999999,-0.6787710798472002,0.37,1.51,-0.44,0.0,0.0,-20.640242956659005,-23.896127106139115,-54.56920764558526,-46.03908582409664,-38.73176212209602,-264.49,-179.05,-10.62,0.05,0.05,12,2009,0.0,662.2954545454546,-291.41
2010-03-31,58.64,-16.6,-0.03,0.0,-38.67,-15.54,12.66,0.38,0.0,74.17,-46.44,6.65,23.64,39.95,1956.51,2046.62,0.0,410.14,24.72,838.63,410.27,1248.91,660.21,693.38,-0.47,9.98,-10.42,28.2,-3.1675,0.36,1.8,-0.03,0.0,0.0,-3.24,-2.76,-9.56,-7.76,-5.16,-63.07,-28.31,-25.48,0.05,0.05,3,2010,0.0,553.3333333333334,-16.6
2010-06-30,11.5,-42.53,-0.06473363774733638,0.0,-44.489999999999995,-54.300000000000004,-25.86,0.36,0.0,65.80999999999999,-51.900000000000006,2.81,11.9,22.63,1928.71,2000.88,0.0,424.76,256.81,1184.56,79.29,1263.85,660.21,650.86,0.42,0.5,-4.779999999999999,28.44,-1.3903127204326358,0.37,1.94,-0.09,0.0,0.0,-8.51606967698292,-9.120250295958058,-26.123619144258413,-20.743534584813123,-24.627552849653306,-151.23,-84.3,-9.96,0.02,0.02,6,2010,0.0,657.0,-59.13
2010-09-30,91.33999999999999,-0.3200000000000003,-0.0004844407064760306,0.0,-57.46000000000001,8.780000000000001,36.230000000000004,0.48,0.0,82.56,-63.69999999999999,33.98,9.66,47.72,1864.92,1961.56,0.0,441.62,265.7,859.05,363.35,1222.4,660.21,650.54,13.09,40.519999999999996,-22.430000000000003,27.450000000000003,-247.55351562499982,0.49,1.88,-0.09,0.0,0.0,-0.06523801513877213,-0.062008410428931925,-0.19679058031959648,-0.16578637510513053,-0.11928006728343156,-104.87,-36.82,-3.75,0.06,0.06,9,2010,0.0,660.5555555555557,-59.45
2010-12-31,31.450000000000017,-211.54000000000002,-0.3200538765268091,0.0,-20.579999999999984,-349.95,-323.03999999999996,0.41,0.0,381.4000000000001,-27.76000000000002,29.48,15.61,47.4,1511.42,1607.11,0.0,438.42,0.0,1142.08,81.78,1223.86,660.21,439.0,-7.119999999999999,-2.979999999999997,5.600000000000001,26.909999999999997,-0.32025857993760043,0.62,2.79,-0.41,0.0,0.0,-52.64495959260489,-69.60000885641537,-192.7504955902432,-138.0759260489317,-275.96450348721356,-343.9,-140.46,-22.62,0.04,0.04,12,2010,0.0,660.9512195121952,-270.99
2011-03-31,21.48,-33.36,-0.05,0.0,-27.64,-41.22,-21.66,0.34,0.0,62.7,-36.79,25.42,15.67,44.24,1492.5,1584.42,0.0,444.43,0.0,1165.16,87.42,1252.58,660.21,401.6,-5.02,-0.03,0.99,19.56,-1.7,0.56,3.12,-0.05,0.0,0.0,-8.44,-9.08,-33.24,-24.36,-39.32,-156.25,-155.31,-8.83,0.04,0.04,3,2011,0.0,667.1999999999999,-33.36
2011-06-30,20.360000000000003,-45.83,-0.06944816264679884,0.0,-38.42,-63.269999999999996,-43.44,0.37,0.0,83.61999999999999,-46.86000000000001,24.48,14.32,44.42,1476.8,1564.78,0.0,472.03,0.0,1212.91,88.53,1301.44,660.21,355.77,0.27999999999999936,-3.5100000000000002,2.29,19.830000000000002,-1.3304887628191142,0.69,3.66,-0.12,0.0,0.0,-11.713590099760069,-13.565541103674708,-51.530536683924744,-36.413986614471526,-68.75368102033084,-190.59,-189.27,-10.87,0.04,0.04,6,2011,0.0,659.9166666666666,-79.19
2011-09-30,22.019999999999996,-45.120000000000005,-0.06896307618051645,0.0,-37.81,-61.92999999999999,-40.900000000000006,0.32,0.0,83.96000000000001,-45.359999999999985,22.63,16.66,43.79,1466.13,1552.87,0.0,512.97,0.0,1267.85,89.1,1356.95,660.21,310.65,6.76,-9.75,1.1300000000000003,21.03,-1.1571409574468083,0.68,4.37,-0.19,0.0,0.0,-11.629352425388143,-13.749059609041913,-58.10320649987934,-37.559469069262335,-84.77376880379697,-196.04,-194.66,-11.52,0.03,0.03,9,2011,0.0,654.2631578947369,-124.31
2011-12-31,39.09,-102.63,-0.15375958403102144,0.0,-27.319999999999993,-102.00000000000003,-80.43,0.32,0.0,141.09,-34.76000000000002,30.31,19.52,54.8,1399.09,1496.21,0.0,543.79,0.0,1384.78,90.41,1475.19,660.21,208.02,15.98,-3.2600000000000016,-5.03,21.569999999999993,-0.5196424047549449,1.02,7.09,-0.34,0.0,0.0,-27.44156340883053,-31.294597691019653,-197.35494844452276,-126.89688023266064,-435.7546611439147,-224.16,-220.44,-15.88,0.04,0.04,12,2011,0.0,667.470588235294,-226.94
2012-03-31,14.86,143.07,0.22,0.0,-3.85,-7.26,-0.51,0.36,3.54,22.12,-7.27,30.3,6.23,40.29,363.92,445.89,0.0,1.61,0.0,3.76,91.05,94.8,660.21,351.09,0.76,-0.3,0.0,6.75,0.41,0.68,0.27,0.22,0.0,0.0,128.36,-2.88,163.0,152.08,-6.5600000000000005,1266.11,962.79,0.0,10.72,10.72,3,2012,0.0,650.3181818181818,143.07
2012-06-30,14.350000000000001,-8.340000000000003,-0.012999331997327996,0.0,-4.109999999999999,-8.34,-1.59,0.68,7.84,22.679999999999996,-7.68,29.9,5.55,38.94,357.8,437.81,0.0,1.14,0.0,2.77,92.29,95.06,660.21,342.75,0.6699999999999999,-1.07,0.0,6.75,-13.085287769784166,1.31,0.28,0.21,0.0,0.0,-7.618846582052998,0.38626586506346045,-9.733404586951687,-9.552651970607887,0.8889067022934762,611.85,461.25,0.0,14.06,14.06,6,2012,0.0,641.5714285714286,134.73
2012-09-30,19.14,-3.859999999999985,-0.005898983724306541,0.0,-0.3899999999999997,-3.8499999999999996,3.0100000000000002,0.76,11.49,23.0,-3.780000000000001,29.26,9.67,42.37,353.41,436.23,0.0,1.42,0.0,3.72,93.62,97.34,660.21,338.89,1.5600000000000003,-2.67,0.0,6.859999999999999,-32.20893782383432,1.48,0.29,0.2,0.0,0.0,-3.5393902345839248,0.23124016199281638,-4.556375028654372,-4.754580881791072,0.5309085351875887,348.34,270.67,0.0,11.39,11.39,9,2012,0.0,654.35,130.87
2012-12-31,24.869999999999997,-3.6300000000000097,-0.005420465262496086,0.0,4.3999999999999995,-3.629999999999999,3.2699999999999996,0.76,16.09,28.5,0.620000000000001,29.55,14.12,47.48,350.13,434.01,0.0,1.41,0.0,3.8,94.95,98.75,660.21,335.26,4.59,-4.3,0.0,6.900000000000002,-35.05234159779605,1.5,0.29,0.19,0.0,0.0,-3.345853505187057,0.27273498899717147,-4.330666457088978,-5.3451493241119294,0.6116567117258741,216.8,173.78,0.0,12.49,12.49,12,2012,0.0,669.6842105263157,127.24
2013-03-31,18.53,-7.92,-0.01,0.0,-0.82,-7.92,-1.15,2.02,7.64,26.45,-4.49,25.6,10.04,39.59,350.56,426.0,0.0,1.41,0.0,5.36,93.29,98.65,660.21,327.35,7.02,-10.97,0.0,6.77,-50.5,4.07,0.3,-0.01,0.0,0.0,-7.44,-7.28,-9.68,-9.32,-7.52,-55.31,-42.74,0.0,7.39,7.39,3,2013,0.0,792.0,-7.92
2013-06-30,6.579999999999998,-279.46999999999997,-0.4278743171300323,0.0,-6.58,-279.46999999999997,-272.52000000000004,0.99,13.86,286.05,-9.629999999999999,14.01,6.18,24.03,134.47,403.54,0.0,0.45,0.0,264.25,91.42,355.67,660.21,47.87,-2.1599999999999993,-9.42,0.0,6.950000000000001,-0.5784408881096361,13.65,7.43,-0.44,0.0,0.0,-277.0291715090991,-265.7488486029437,-2335.2602275653294,-572.3791433244024,-802.5366282751661,-1243.57,-1144.52,0.0,0.09,0.09,6,2013,0.0,653.1590909090909,-287.39
2013-09-30,11.509999999999998,-19.420000000000016,-0.02911639125191489,0.0,-2.0600000000000005,-19.420000000000016,-12.399999999999977,0.95,13.86,30.930000000000007,-6.49,12.42,7.0,23.22,337.84,395.77,0.0,0.53,0.0,276.97,90.35,367.32,660.21,28.45,-1.5900000000000003,-0.00999999999999801,0.0,7.019999999999998,-8.175807157569508,22.05,12.91,-0.46,0.0,0.0,-19.626979563899496,-18.672468302858462,-273.0408578599135,-42.29219125843359,-65.38781917147426,-892.67,-837.82,0.0,0.08,0.08,9,2013,0.0,666.9782608695652,-306.81
2013-12-31,10.690000000000005,71.17000000000002,0.10873026650823292,0.0,-3.1999999999999993,71.17000000000002,78.19,0.68,13.86,-60.48000000000002,-6.859999999999999,10.03,6.75,20.9,121.65,386.46,0.0,0.32,0.0,219.75,67.08,286.83,660.21,99.62,-2.42,0.029999999999997584,0.0,7.020000000000003,1.5644218069411264,4.51,2.88,-0.36,0.0,0.0,73.65871498896624,69.39407231369889,285.7673026650824,130.92332201663558,170.7669241215414,-526.1,-498.08,0.0,0.1,0.1,12,2013,0.0,654.5555555555555,-235.64
2014-03-31,6.45,-11.17,-0.02,0.0,-7.21,-11.15,-4.22,0.81,0.21,17.6,-11.14,8.17,2.54,16.1,326.78,376.62,0.0,0.3,0.36,220.85,67.31,288.17,660.21,88.45,-1.55,-1.93,1.62,6.93,-10.125,6.05,3.26,-0.02,0.0,0.0,-11.88,-11.12,-50.519999999999996,-21.48,-28.64,-178.72,-173.18,-557.5,0.07,0.07,3,2014,0.0,558.5,-11.17
2014-06-30,6.249999999999999,-11.56,-0.015257369115706115,0.0,-7.420000000000001,-11.53,-4.500000000000001,0.99,0.21,17.78,-11.75,6.03,2.32,11.94,320.34,365.46,0.0,0.34,0.36,211.56,77.01,288.57,660.21,76.89,-2.04,0.0,-0.1100000000000001,7.030000000000001,-16.22166955017301,8.5,3.75,-0.03,0.0,0.0,-12.653444786625604,-12.00246370435548,-60.13437747470304,-74.13047074351077,-29.985816102067755,-185.1,-178.98,-453.6,0.06,0.06,6,2014,0.0,757.6666666666667,-22.73
2014-09-30,4.210000000000001,-12.8,-0.018012946805516464,0.0,-9.449999999999998,-12.780000000000001,-5.67,0.94,0.21,16.979999999999997,-12.969999999999999,1.48,1.56,6.77,314.3,353.53,0.0,0.26,0.37,211.82,77.62,289.44,660.21,64.09,-3.95,-0.4800000000000002,-0.1200000000000001,7.109999999999999,-13.046171875,9.68,4.52,-0.05,0.0,0.0,-14.48240923163524,-13.632198142414863,-79.89102167182662,-110.65713481564876,-36.05471432592176,-217.98,-210.11,-506.57,0.03,0.03,9,2014,0.0,710.6,-35.53
2014-12-31,6.16,-11.439999999999998,-0.01704918032786885,0.0,-8.36,-11.39,-4.280000000000001,1.38,0.52,17.560000000000002,-11.829999999999998,1.35,1.65,6.37,307.79,346.05,0.0,0.35,0.37,215.36,78.04,293.4,660.21,52.65,-2.9899999999999993,-0.020000000000000018,2.8900000000000006,7.109999999999999,-20.23117788461539,17.3,5.57,-0.07,0.0,0.0,-13.220421545667445,-12.460515222482432,-86.911850117096,-60.10079625292739,-34.92646370023419,-216.35,-203.6,-468.5,0.03,0.03,12,2014,0.0,670.9999999999999,-46.97
2015-03-31,6.18,-41.17,-0.06,0.0,-6.67,-41.03,-34.5,1.3,0.06,47.21,-10.93,3.35,2.15,9.46,92.06,342.62,0.0,0.3,0.38,252.5,78.64,331.13,660.21,11.48,-3.88,-0.01,5.89,6.53,-5.4175,74.76,28.84,-0.06,0.0,0.0,-48.08,-45.64,-1434.48,-329.6000000000001,-182.12,-688.46,-666.18,-2051.5,0.04,0.04,3,2015,0.0,686.1666666666667,-41.17
2015-06-30,6.030000000000001,-11.829999999999998,-0.017856603773584903,0.0,-6.460000000000001,-11.649999999999999,-5.880000000000003,0.33,0.17,17.669999999999995,-11.79,420.48,1.32,425.64,86.85,753.02,0.0,0.29,0.39,259.42,75.95,335.37,6620.18,417.65,-3.76,0.01,420.88,5.7700000000000005,-4.625739644970414,5.23,0.8,-0.08,0.0,0.0,-6.285524528301886,-8.41046037735849,-11.33001509433962,-19.133350943396223,-9.526498113207547,-451.06,-434.07,-1317.0,1.64,1.64,6,2015,0.0,662.5,-53.0
2015-09-30,8.21,-9.560000000000002,-0.003056265984654732,0.0,-4.549999999999999,-9.54,-3.6899999999999977,0.33,0.24,17.760000000000005,-10.259999999999998,33.83,2.54,41.26,81.72,536.88,0.0,0.34,0.39,23.53,73.17,96.7,7015.84,440.18,-233.05,-172.83,19.230000000000018,5.849999999999998,-26.99372384937238,5.26,0.22,-0.02,0.0,0.0,-7.121099744245527,-8.545319693094632,-8.68590792838875,-15.16519181585678,-7.40838874680307,-324.82,-306.37,-168.16,1.75,1.75,9,2015,0.0,3128.0,-62.56
