,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2015-06-30,121.76,,,,,,,13.1,31.200000000000003,-2.57,285.01,0.27,4097.76,111.27,291.53000000000003,-82.49999999999999,0.52,6,2015,,,,,,,,,,,,
2015-09-30,119.73999999999998,,,,,,,13.3,32.410000000000004,-2.4299999999999997,294.17,0.16,4116.51,116.51,91.65999999999997,-82.5,0.77,9,2015,,,,,,,,,,,,
2015-12-31,120.69,,,,,,,13.1,31.929999999999993,-3.4400000000000013,290.26,0.21,4131.85,109.98,78.59000000000003,-82.5,1.02,12,2015,,,,,,,,,,,,
2016-03-31,121.91,,,,,,,14.6,28.35,-2.39,293.92,0.83,4124.04,109.29,89.46,-85.8,0.26,3,2016,,,,,,,,,,,,
2016-06-30,120.37,,,,,,,14.8,28.71,-3.15,197.16,0.36,4143.85,110.11,-14.269999999999996,-82.50000000000001,0.51,6,2016,,,,,,,,,,,,
2016-09-30,121.41999999999999,,,,,,,15.3,32.17,-4.2299999999999995,203.77,0.29,4151.24,111.16,89.12,-82.5,0.76,9,2016,,,,,,,,,,,,
2016-12-31,121.71000000000004,,,,,,,14.7,32.06,-5.140000000000001,248.92,0.52,4176.97,129.52,127.64999999999998,-82.5,1.01,12,2016,,,,,,,,,,,,
2017-03-31,117.26,,,,,,,14.6,28.69,-2.85,230.05,0.81,4085.69,111.39,66.93,-85.8,0.26,3,2017,,,,,,,,,,,,
2017-06-30,110.51,,,,,,,13.0,28.23,-2.9099999999999997,270.42,0.58,4121.78,111.47,114.62,-74.25000000000001,0.49,6,2017,,,,,,,,,,,,
2017-09-30,108.56999999999996,,,,,,,12.5,30.789999999999992,-3.7200000000000006,207.15,0.31,4138.67,106.85,10.97999999999999,-74.25,0.71,9,2017,,,,,,,,,,,,
