,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-12-31,62.85000000000002,-49.14999999999998,-0.9536678656466889,0.0,-33.49000000000001,-34.959999999999994,-28.86,1.0,0.0,97.82000000000005,-47.78,2.26,23.33,30.35,62.47,363.23,480.64,481.0,16.34,0.23,551.97,0.06,552.02,523.45,-71.38,-11.410000000000004,1.51,9.959999999999994,6.100000000000001,-0.26104476093591056,-7.33,-7.73,-3.83,-40.90562845128931,-28.19669689447286,275.42326358984735,-773.8603880642381,218.44223111606453,-77.44,-69.22,0.11,0.06,12,2004,0.0,51.53785900783289,-197.39
2005-03-31,29.84,-118.86,-2.27,0.0,-7.46,-107.64,-101.98,2.28,0.0,137.48,-22.82,1.5,13.92,11.57,30.78,275.22,340.63,482.36,28.19,0.23,599.33,0.0,599.33,523.45,-258.7,6.38,0.0,-7.13,5.66,-0.25,-4.61,-2.32,-2.27,-139.56,-92.56,183.8,557.72,166.44,-423.44,-398.32,0.05,0.03,3,2005,0.0,52.36123348017621,-118.86
2005-06-30,8.55,-29.470000000000013,-0.5622605002359605,0.0,-5.569999999999999,-17.980000000000004,-15.819999999999993,2.78,0.0,26.53,-10.369999999999997,1.9,5.85,1.84,11.51,273.66,319.86,489.72,28.78,0.17,608.04,0.0,608.04,523.45,-288.17,6.46,0.0,-6.069999999999999,2.16,-1.2331472684085507,-5.05,-2.11,-2.83,-36.850910806984444,-22.307635677206235,40.90395469561115,104.8625766871166,34.641604530438904,-418.54,-386.38,0.02,0.02,6,2005,0.0,52.41342756183746,-148.33
2005-12-31,15.21,-35.17999999999998,-0.6728886709171158,0.0,-4.369999999999999,-11.879999999999995,-7.6200000000000045,2.78,0.0,27.080000000000013,-11.800000000000004,0.41,0.0,1.35,2.45,270.58,307.79,510.96,25.36,0.1,631.15,0.0,631.15,523.45,-323.35,-2.0999999999999996,0.0,0.6199999999999992,4.26,-1.0302224275156346,-4.5,-1.95,-3.51,-45.718088387553784,-26.746845403520233,43.5173015094545,71.29936025284722,32.6053860825023,-484.83,-342.37,0.0,0.0,12,2005,0.0,52.282051282051285,-183.51
2006-12-31,371.90999999999997,622.48,11.897412579447343,0.0,17.4,576.48,570.79,2.78,0.0,-204.56,28.46,0.4,0.0,0.0,0.92,383.19,384.2,0.0,0.0,496.08,498.14,0.0,498.14,5.24,-113.94,-18.93,2.14,18.62,-5.69,0.05817861618043954,-0.13,-4.37,8.39,648.1041055197394,719.6303856755586,-2185.266827345832,-1138.805017199353,-2185.3235492174863,0.0,103.16,0.0,0.0,12,2006,0.0,52.32061978545888,438.97
2007-12-31,444.26,-304.77000000000004,-1.9757816691505221,0.0,140.26,-373.84000000000003,-377.38,2.78,0.0,818.1,72.69,58.17,0.0,1177.61,1904.39,278.39,2397.33,3.96,116.36,240.59,783.96,872.03,1655.99,720.0,741.34,-430.84,-440.09,928.71,-3.5399999999999996,-0.35226564294385926,2.7,2.23,0.87,-50.8707004470939,-42.51337108792847,-164.42137108792852,-388.61581520119233,-36.69957675111774,15.8,15.43,2.43,0.93,12,2007,0.0,154.25287356321837,134.2
2008-03-31,506.87,57.2,0.08,0.0,104.18,63.64,65.68,2.78,0.0,443.23,64.09,112.44,0.0,955.88,2131.22,289.16,2635.71,87.02,126.77,207.36,728.06,990.61,1718.67,780.0,917.04,-185.11,-11.09,250.46,2.04,8.6875,2.36,1.87,0.08,8.68,0.0,24.96,0.0,13.36,11.31,11.28,2.93,1.61,3,2008,0.0,715.0,57.2
2008-06-30,408.47,26.679999999999993,0.03498807820696232,0.0,79.47999999999999,33.629999999999995,35.28999999999999,2.78,0.0,374.84000000000003,30.099999999999994,17.98,0.0,912.2,2272.9,296.72,2786.5,89.92,109.23,184.17,666.33,1176.44,1842.78,780.0,943.72,-256.02,-3.4399999999999995,165.01000000000002,1.6600000000000001,19.861765367316345,2.3,1.95,0.11,3.829604196471148,0.0,11.310691463996184,0.0,5.839828326180256,9.19,9.16,3.41,2.04,6,2008,0.0,762.5454545454545,83.88
2008-09-30,282.32000000000005,14.510000000000005,0.019171663786970227,0.0,48.360000000000014,21.189999999999998,22.540000000000006,1.57,0.0,261.13,7.990000000000009,4.42,0.0,862.26,2306.02,296.12,2748.8,96.94,98.92,156.28,609.41,1181.15,1790.56,780.0,958.23,2.159999999999968,1.0599999999999987,-16.79000000000002,1.3499999999999996,20.478139214334934,1.28,1.87,0.13,2.111832503303182,0.0,6.058245756682592,0.0,3.2680313039943094,8.33,8.22,3.78,2.37,9,2008,0.0,756.8461538461538,98.39
2008-12-31,51.02999999999997,-62.25,-0.0861234089651356,0.0,31.789999999999992,-49.61999999999999,-47.89,0.69,0.0,100.64999999999986,-46.07000000000001,3.14,0.0,698.18,2145.49,276.31,2778.19,92.01,116.39,1089.75,1622.92,259.29,1882.21,780.0,895.98,-16.579999999999984,9.11,6.199999999999989,1.7300000000000004,-2.0029397590361446,0.6,2.1,0.05,-8.956834532374101,-18.32706142778085,-27.76618705035971,-30.384338682899834,-41.06364139457665,2.91,2.89,1.32,0.89,12,2008,0.0,722.8,36.14
2009-03-31,79.06,-119.81,-0.15,0.0,12.17,-87.04,-85.91,0.29,0.0,166.1,-36.16,9.25,0.0,704.06,2109.86,275.76,2741.72,101.79,121.03,1289.93,1888.03,77.52,1965.55,780.0,776.16,-31.64,0.0,37.75,1.13,-0.4825,0.29,2.53,-0.15,-17.48,-12.96,-61.76,-56.6,-40.8,-153.8,-151.54,1.12,0.74,3,2009,0.0,798.7333333333333,-119.81
2009-06-30,47.769999999999996,-212.31,-0.27488046489220763,0.0,9.500000000000002,-176.85999999999996,-175.76000000000002,0.35,50.25,224.63000000000002,-34.36,3.54,0.0,725.36,2023.54,216.56,2589.45,102.61,114.82,1280.4,1934.94,90.65,2025.59,780.0,563.85,-11.649999999999999,1.29,4.649999999999999,1.1,-0.3167740568037304,0.48,3.59,-0.43,-32.80666385643743,-25.11001083945562,-150.60892448512584,-112.66263519209924,-103.0993520414308,-265.34,-261.86,1.05,0.67,6,2009,0.0,772.3720930232558,-332.12
2009-09-30,108.86,-69.13,-0.08786616822429906,0.0,28.909999999999997,-35.84000000000003,-34.75999999999999,0.44,50.25,144.69999999999993,29.849999999999994,5.43,0.0,733.02,2013.81,216.09,2541.39,65.59,0.0,1368.1,2010.2,36.46,2046.66,780.0,494.72,5.68,0.53,-4.32,1.08,-1.2479205844061914,0.69,4.14,-0.51,-10.881621931464174,-7.80802890965732,-55.89666591900311,-38.061556635514016,-38.8885323364486,-171.85,-170.24,1.0,0.64,9,2009,0.0,786.7647058823529,-401.25
2009-12-31,60.610000000000014,-119.16999999999996,-0.1534220437339072,0.0,11.54,-80.51999999999998,-79.42000000000002,0.4,98.99,141.12,-15.79,1.65,0.0,757.62,1796.5,84.85,2184.5,64.5,0.0,1155.93,1773.21,30.18,1803.39,780.0,381.11,92.45,0.1499999999999999,-96.38,1.1,-0.6550558026348915,0.82,4.73,-0.67,-21.817988547711458,-14.032392298528109,-125.07331386188076,-74.65012874216976,-84.68896814111676,-180.01,-175.64,1.01,0.59,12,2009,0.0,776.7462686567163,-520.42
2010-03-31,96.99,-45.45,-0.06,0.0,14.2,-20.24,-19.59,0.33,0.0,117.22,-11.17,18.51,0.0,737.79,1091.0,84.4,1493.81,64.5,85.31,513.65,1122.9,35.25,1158.14,780.0,335.67,652.23,-5.1,-630.27,0.65,-1.375,0.77,3.45,-0.06,-12.159999999999998,-3.84,-54.16,-32.72,-21.84,-58.9,-46.86,0.97,0.31,3,2010,0.0,757.5000000000001,-45.45
2010-06-30,195.02999999999997,-31.980000000000004,-0.041301820999612555,0.0,65.72,-15.940000000000001,-15.309999999999999,0.33,0.0,210.98,20.27,13.74,0.0,651.83,765.02,84.68,1170.41,64.0,96.52,121.12,697.28,169.44,866.73,780.0,303.68,280.15999999999997,1.3199999999999998,-286.25,0.63,-1.9974906191369604,0.85,2.85,-0.1,-10.936722200697405,-3.171979852770244,-42.1278574196048,-29.489500193723366,-12.638357225881443,-26.76,-26.52,1.1,0.16,6,2010,0.0,774.3000000000001,-77.43
2010-09-30,84.05000000000001,-33.33,-0.04212892741061755,0.0,12.670000000000002,-16.89,-16.270000000000003,0.39,0.0,100.94,-10.86,5.71,0.0,616.68,664.75,84.21,1068.8,64.0,102.22,175.64,635.16,163.29,798.45,780.0,270.36,23.149999999999977,1.6999999999999997,-32.889999999999986,0.6199999999999999,-2.317884788478848,1.13,2.95,-0.14,-12.470162513542794,-3.538829902491874,-49.314918743228596,-34.846641386782224,-14.73308775731311,-30.18,-29.45,1.05,0.08,9,2010,0.0,791.1428571428571,-110.76
2010-12-31,35.84000000000003,-37.33,-0.047894523600513196,0.0,4.829999999999998,-27.65,-27.03,0.33,0.0,63.49000000000001,-15.520000000000001,15.67,0.0,396.36,432.29,83.74,1002.23,64.0,67.57,108.47,617.96,151.25,769.21,780.0,233.03,-3.1499999999999773,0.1100000000000001,13.019999999999982,0.6200000000000001,-1.7256670238414145,1.1,3.3,-0.19,-14.902759132959686,-5.112110203254778,-64.0778310486866,-48.63058680532108,-21.184504017826995,-37.94,-35.95,0.7,0.06,12,2010,0.0,779.421052631579,-148.09
2011-03-31,155.67,0.06,0.0,0.0,2.91,10.93,11.44,0.31,0.0,144.74,-17.78,0.99,0.0,374.9,378.64,83.39,948.41,64.0,54.98,106.21,563.01,157.15,720.16,780.0,228.26,-15.29,0.73,-0.12,0.51,0.0,1.06,3.15,0.0,0.04,3.6,0.12,0.08,11.36,0.05,0.04,0.67,0.01,3,2011,0.0,inf,0.06
2011-06-30,45.26000000000002,-24.189999999999998,-0.030074595938665558,0.0,7.470000000000001,-7.959999999999999,-7.449999999999999,0.29,0.0,53.22,-9.79,1.08,0.0,358.84,362.59,83.03,932.34,64.0,54.16,101.08,559.47,168.8,728.27,780.0,204.07,-13.84,-0.12,14.04,0.51,-2.41150372054568,1.11,3.57,-0.03,-10.385760464152506,1.1227849150435143,-47.39756319933692,-38.09448818897638,3.2079569001243264,-15.14,-12.01,0.65,0.01,6,2011,0.0,804.3333333333334,-24.13
2011-09-30,17.00999999999999,-31.720000000000002,-0.039756490599820955,0.0,1.75,-20.72,-20.240000000000002,0.26,0.0,37.72999999999999,-18.85,13.88,0.0,347.16,363.97,83.39,934.02,64.0,56.45,126.58,618.52,143.15,761.67,780.0,172.35,-10.040000000000003,0.15000000000000002,22.699999999999996,0.48,-1.6330666771752835,1.18,4.42,-0.07,-13.58536078782453,-4.0210850492390335,-73.60630259623993,-57.31750044762758,-12.790230975828111,-32.06,-25.63,0.59,0.03,9,2011,0.0,797.8571428571428,-55.85
2011-12-31,253.67000000000002,7.880000000000003,0.009856160100062543,0.0,56.32,17.9,18.38,0.25,0.0,235.76999999999998,1.0700000000000003,25.16,4.17,349.79,379.5,8.58,742.0,45.0,80.44,97.69,387.18,174.6,561.78,780.0,180.22,90.34,-0.050000000000000044,-79.02,0.48,6.346284898477155,1.08,3.12,-0.06,4.244719616426935,-0.013141546800083389,17.491398790910996,15.257335834896816,-0.026283093600166778,-11.3,-10.17,0.98,0.08,12,2011,0.0,799.5,-47.97
2012-03-31,43.79,-37.49,-0.03,0.0,-7.94,-30.08,-29.61,0.25,0.0,73.86,-31.58,199.3,2.66,308.21,510.54,1.49,856.44,45.0,73.27,13.66,255.3,263.4,518.7,1560.0,337.73,-24.1,-0.06,198.3,0.47,-2.0825,1.15,1.54,-0.03,-17.52,-13.32,-44.4,-53.0,-19.999999999999996,-88.67,-85.61,2.0,0.79,3,2012,0.0,1249.6666666666667,-37.49
2012-06-30,16.880000000000003,-17.33,-0.012645020065669463,0.0,0.5100000000000007,-13.5,-13.030000000000001,0.23,0.0,30.39,-23.910000000000004,108.02,2.33,315.16,425.86,2.87,764.52,45.0,60.45,13.66,175.11,269.02,444.13,1560.0,320.39,-71.09,-1.22,-18.960000000000008,0.47,-4.547244662435084,1.12,1.39,-0.04,-9.066479387085005,-6.499540313754104,-21.63562933236045,-26.440736957314847,-9.344669828529732,-121.44,-90.36,2.43,0.63,6,2012,0.0,1370.5,-54.82
